exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
fdc.nal.usda.gov/fdc-app.html,699999,2530228,541781,3.614616592309418,154.05180150257357,699999
usda.gov/,246973,372072,201910,1.506529053783207,70.00822762002325,246973
usda.gov/media/blog/2016/11/18/how-safely-thaw-turkey,220541,234697,183877,1.0641876113738489,27.2048507987177,220541
nal.usda.gov/human-nutrition-and-food-safety/dri-calculator/results,167441,368082,127908,2.198278796710483,120.33989883003565,167441
myplate.gov/,165404,458822,141618,2.7739474256970813,179.8003494474136,165404
fns.usda.gov/snap/state-directory,141021,562977,119988,3.9921501053034656,71.31689606512505,141021
fsis.usda.gov/recalls-alerts/tyson-foods-inc--recalls-chicken-patty-product-due-possible-foreign-matter,119236,144807,101274,1.21445704317488,42.487168304874366,119236
farmers.gov/,107147,117972,102529,1.1010294268621614,17.599858138818632,107147
ars.usda.gov/news-events/news/research-news/2023/usda-unveils-updated-plant-hardiness-zone-map/,89543,106272,85415,1.1868264409278224,54.68812749181957,89543
fsis.usda.gov/,86471,126398,52584,1.4617386175712088,92.95357981288524,86471
myplate.gov/widgets/myplate-plan-start,86421,576643,74157,6.672487011258838,262.1479964360514,86421
fns.usda.gov/snap/recipient/eligibility,81605,325713,73955,3.991336315176766,74.80458305250903,81605
usdasearch.usda.gov/search,81034,126488,57211,1.5609250438087716,61.51182219808969,81034
nal.usda.gov/human-nutrition-and-food-safety/dri-calculator,75938,125762,64257,1.656114198425031,82.28637836129474,75938
(not set),70192,0,52280,0.0,80.36371666286756,0
fs.usda.gov/recarea/coconino/recarea/,70170,108336,56786,1.5439076528430953,109.95355565056292,70170
fs.usda.gov/,57045,141689,51919,2.4838110263826803,78.8126040844947,57045
nfc.usda.gov/,55082,69596,30603,1.2634980574416326,84.54794669765077,55082
myplate.gov/eat-healthy/protein-foods,49148,303375,42449,6.172682509969887,570.3606047041588,49148
myplate.gov/eat-healthy/what-is-myplate,49076,178147,43256,3.6300228217458637,227.25144673567527,49076
