date,language,visits
2023-12-30,Portuguese,489
2023-12-30,Italian,360
2023-12-30,Dutch,327
2023-12-30,Turkish,323
2023-12-30,Korean,275
2023-12-30,Japanese,270
2023-12-30,Polish,249
2023-12-30,Vietnamese,191
2023-12-30,Greek,190
2023-12-30,(other),166
2023-12-30,Indonesian,148
2023-12-30,Swedish,143
2023-12-30,Persian,118
2023-12-30,Norwegian Bokmål,112
2023-12-30,Danish,106
2023-12-30,Hebrew,97
2023-12-30,Hungarian,92
2023-12-30,Ukrainian,92
2023-12-30,Czech,90
2023-12-30,Thai,89
2023-12-30,Finnish,61
2023-12-30,Romanian,51
2023-12-30,Croatian,40
2023-12-30,Slovak,37
2023-12-30,Catalan,34
2023-12-30,Bulgarian,30
2023-12-30,Hindi,30
2023-12-30,Slovenian,16
2023-12-30,Serbian,15
2023-12-30,Lithuanian,14
2023-12-29,English,299172
2023-12-29,Spanish,7050
2023-12-29,Chinese,4745
2023-12-29,French,1146
2023-12-29,German,951
2023-12-29,Russian,910
2023-12-29,Portuguese,623
2023-12-29,Italian,442
2023-12-29,Turkish,416
2023-12-29,Arabic,382
2023-12-29,Korean,375
2023-12-29,Japanese,354
2023-12-29,Dutch,353
2023-12-29,Polish,261
2023-12-29,Vietnamese,210
2023-12-29,Greek,193
2023-12-29,Indonesian,171
2023-12-29,Persian,150
2023-12-29,Swedish,140
2023-12-29,Danish,116
2023-12-29,Ukrainian,116
2023-12-29,Norwegian Bokmål,112
2023-12-29,Czech,102
2023-12-29,Hebrew,98
2023-12-29,Thai,90
2023-12-29,Hungarian,83
2023-12-29,(other),81
2023-12-29,Romanian,70
2023-12-29,Finnish,47
2023-12-29,Hindi,43
2023-12-29,Croatian,39
2023-12-29,Catalan,36
2023-12-29,Bulgarian,34
2023-12-29,Slovak,34
2023-12-29,Serbian,21
2023-12-29,Slovenian,16
2023-12-29,Lithuanian,14
2023-12-28,English,320786
2023-12-28,Spanish,7464
2023-12-28,Chinese,4966
2023-12-28,French,1148
2023-12-28,German,979
2023-12-28,Russian,900
2023-12-28,Portuguese,864
2023-12-28,Turkish,664
2023-12-28,Korean,571
2023-12-28,Japanese,501
2023-12-28,Italian,446
2023-12-28,Dutch,403
2023-12-28,Arabic,385
2023-12-28,Vietnamese,298
2023-12-28,Polish,232
2023-12-28,Greek,196
2023-12-28,Indonesian,192
2023-12-28,Swedish,170
2023-12-28,Ukrainian,133
2023-12-28,Hebrew,124
2023-12-28,Persian,112
2023-12-28,Danish,111
2023-12-28,Czech,102
2023-12-28,Norwegian Bokmål,101
2023-12-28,Thai,99
2023-12-28,Hungarian,95
2023-12-28,(other),82
2023-12-28,Romanian,62
2023-12-28,Finnish,57
2023-12-28,Croatian,42
2023-12-28,Slovak,40
2023-12-28,Serbian,36
2023-12-28,Hindi,33
2023-12-28,Slovenian,33
2023-12-28,Bulgarian,26
2023-12-28,Catalan,22
2023-12-28,Lithuanian,17
2023-12-28,Latvian,11
2023-12-27,English,331815
2023-12-27,Spanish,7350
2023-12-27,Chinese,4655
2023-12-27,French,1083
2023-12-27,Russian,1081
2023-12-27,German,905
2023-12-27,Portuguese,853
2023-12-27,Japanese,673
2023-12-27,Korean,588
2023-12-27,Turkish,544
2023-12-27,Arabic,452
2023-12-27,Italian,402
2023-12-27,Dutch,367
2023-12-27,Vietnamese,264
2023-12-27,Polish,257
2023-12-27,Indonesian,215
2023-12-27,Greek,177
2023-12-27,Thai,156
2023-12-27,Swedish,146
2023-12-27,Ukrainian,134
2023-12-27,Hebrew,114
2023-12-27,Persian,113
2023-12-27,Norwegian Bokmål,104
2023-12-27,Danish,99
2023-12-27,(other),80
2023-12-27,Hungarian,73
2023-12-27,Romanian,71
2023-12-27,Finnish,66
2023-12-27,Czech,59
2023-12-27,Hindi,42
2023-12-27,Croatian,40
2023-12-27,Slovenian,32
2023-12-27,Bulgarian,30
2023-12-27,Slovak,30
2023-12-27,Catalan,27
2023-12-27,Lithuanian,25
2023-12-27,Serbian,21
2023-12-27,Estonian,12
2023-12-27,Latvian,11
2023-12-26,English,286199
2023-12-26,Spanish,7195
2023-12-26,Chinese,3676
2023-12-26,Russian,1112
2023-12-26,French,1000
2023-12-26,Portuguese,839
2023-12-26,German,821
2023-12-26,Japanese,696
