page_title,event_label,page,total_events
"Feeder and Replacement Cattle Auctions | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/feeder-and-replacement-cattle-auctions,11728
"Valley Meats, LLC, Recalls Ground Beef Products Due to Possible E. Coli O157:H7 Contamination | Food Safety and Inspection Service",file_download,www.fsis.usda.gov/recalls-alerts/valley-meats-llc-recalls-ground-beef-products-due-possible-e--coli-o157h7,10739
"Reports | Mars Document",file_download,mymarketnews.ams.usda.gov/filerepo/reports,6718
"Daily Beef Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/daily-beef-reports,6128
"Pay Period Calendars | National Finance Center",file_download,nfc.usda.gov/Publications/Forms/pay_period_calendar.php,5456
"Print Resources | MyPlate",file_download,www.myplate.gov/resources/print-materials,5175
"USDA Food Plans: Monthly Cost of Food Reports | Food and Nutrition Service",file_download,www.fns.usda.gov/cnpp/usda-food-plans-cost-food-monthly-reports,4540
"Fratelli Beretta USA, Inc. Recalls Busseto Foods Brand Ready-to-Eat Charcuterie Meat Products Due to Possible Salmonella Contamination | Food Safety and Inspection Service",file_download,www.fsis.usda.gov/recalls-alerts/fratelli-beretta-usa-inc--recalls-busseto-foods-brand-ready-eat-charcuterie-meat,4412
Notices,file_download,www.fsa.usda.gov/FSA/notices,4358
"Handbooks | Rural Development",file_download,www.rd.usda.gov/resources/directives/handbooks,4166
"Daily Pork Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/daily-pork-reports,3784
"Pay Period Calendars | National Finance Center",file_download,www.nfc.usda.gov/Publications/Forms/pay_period_calendar.php,3696
"Payment Schedules | Natural Resources Conservation Service",file_download,www.nrcs.usda.gov/getting-assistance/payment-schedules,3583
"Single Family Housing Guaranteed Loan Program | Rural Development",file_download,www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,3442
"WIC Publication of the 2023-2024 Income Eligibility Guidelines | Food and Nutrition Service",file_download,www.fns.usda.gov/wic/income-eligibility-guidelines-2023-24,3140
"WASDE Report | USDA",file_download,www.usda.gov/oce/commodity/wasde,2727
"List of Bioengineered Foods | Agricultural Marketing Service",file_download,www.ams.usda.gov/rules-regulations/be/bioengineered-foods-list,2719
"Single Family Housing Programs | Rural Development",file_download,www.rd.usda.gov/programs-services/single-family-housing-programs,2352
"Home | Dietary Guidelines for Americans",file_download,www.dietaryguidelines.gov/,2350
Emergency Relief Program,file_download,www.fsa.usda.gov/programs-and-services/emergency-relief/index,2296
"Cost of Living Adjustment (COLA) Information | Food and Nutrition Service",file_download,www.fns.usda.gov/snap/allotment/COLA,2200
"Regional Direct Slaughter Cattle | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/regional-direct-slaughter-cattle,1771
ARC/PLC Program Data,file_download,www.fsa.usda.gov/programs-and-services/arcplc_program/arcplc-program-data/index,1718
FoodData Central,file_download,fdc.nal.usda.gov/download-datasets.html,1662
"Weekly and Monthly Beef Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/weekly-and-monthly-beef-reports,1623
"Child Nutrition Programs: Income Eligibility Guidelines (2023-2024) | Food and Nutrition Service",file_download,www.fns.usda.gov/cn/fr-020923,1595
Beginning Farmers and Ranchers Loans,file_download,www.fsa.usda.gov/programs-and-services/farm-loan-programs/beginning-farmers-and-ranchers-loans/index,1569
"Specialty Crops Terminal Markets Standard Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/fruit-and-vegetable-terminal-markets-standard-reports,1562
"Single Family Housing Direct Home Loans | Rural Development",file_download,www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans,1560
Livestock Forage Program (LFP),file_download,www.fsa.usda.gov/programs-and-services/disaster-assistance-program/livestock-forage/index,1556
"Swine Direct Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/swine-direct-reports,1471
"Egg Market News Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/egg-market-news-reports,1444
FSA Directives,file_download,www.fsa.usda.gov/programs-and-services/laws-and-regulations/notices/index,1396
"Dietary Guidelines for Americans, 2020-2025 and Online Materials | Dietary Guidelines for Americans",file_download,www.dietaryguidelines.gov/resources/2020-2025-dietary-guidelines-online-materials,1379
"Open Purchase Requests | Agricultural Marketing Service",file_download,www.ams.usda.gov/open-purchase-request,1359
"Feeder and Replacement Cattle Auctions | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/feeder-and-replacement-cattle-auctions#Kentucky,1321
"Nutrition Standards for CACFP Meals and Snacks | Food and Nutrition Service",file_download,www.fns.usda.gov/cacfp/meals-and-snacks,1313
"SNAP FY 2024 Cost-of-Living Adjustments | Food and Nutrition Service",file_download,www.fns.usda.gov/snap/fy-2024-cola,1279
Fact Sheets,file_download,www.fsa.usda.gov/news-room/fact-sheets/index,1262
"Goat Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/goat-reports,1214
Farm Ownership Loans,file_download,www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,1145
El Yunque National Forest - Maps & Publications,file_download,www.fs.usda.gov/detail/elyunque/maps-pubs/,1115
"Your MyPlate Plan - 1800 Calories, Ages 14+ Years | MyPlate",file_download,www.myplate.gov/myplate-plan/results/1800-calories-ages-14-plus,1063
USDA MyPlate What Is MyPlate?,file_download,www.myplate.gov/eat-healthy/what-is-myplate,1046
El Yunque National Forest - Maps & Publications,file_download,www.fs.usda.gov/main/elyunque/maps-pubs,1024
"Single Family Housing Repair Loans & Grants | Rural Development",file_download,www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants,999
"Standard Trail Plans and Specifications | US Forest Service",file_download,www.fs.usda.gov/managing-land/trails/trail-management-tools/trailplans,995
"Your MyPlate Plan - 2000 Calories, Ages 14+ Years | MyPlate",file_download,www.myplate.gov/myplate-plan/results/2000-calories-ages-14-plus,995
"USDA Foods in Schools Product Information Sheets - Meat/Meat Alternates | Food and Nutrition Service",file_download,www.fns.usda.gov/usda-fis/usda-foods-product-info-sheets-meat-meat-alternates,987
"Sheep Auction Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/sheep-auction-reports,938
"Feeder and Replacement Cattle Auctions | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/feeder-and-replacement-cattle-auctions#Missouri,897
"Slaughter Cattle Auctions | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/slaughter-cattle-auctions,859
"WIC Food Packages - Maximum Monthly Allowances | Food and Nutrition Service",file_download,www.fns.usda.gov/wic/food-packages-maximum-monthly-allowances,837
"USDA Climate Change Fellows Program | USDA",file_download,www.usda.gov/oce/energy-and-environment/climate-change-fellows-program,827
"Your MyPlate Plan - 1600 Calories, Ages 14+ Years | MyPlate",file_download,www.myplate.gov/myplate-plan/results/1600-calories-ages-14-plus,824
"Specialty Crops Shipping Point Market Price Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/fruit-and-vegetable-shipping-point-market-price-reports,788
"USDA 1890 National Scholars Program | USDA",file_download,www.usda.gov/partnerships/1890NationalScholars,783
"Hay Reports | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/hay-reports,751
Conservation Reserve Program,file_download,www.fsa.usda.gov/programs-and-services/conservation-programs/conservation-reserve-program/index,747
"Printable Materials and Handouts | Nutrition.gov",file_download,www.nutrition.gov/topics/basic-nutrition/printable-materials-and-handouts,721
USDA MyPlate Nutrition Information for Kids,file_download,www.myplate.gov/life-stages/kids,715
National Forests in North Carolina - Maps & Publications,file_download,www.fs.usda.gov/detail/nfsnc/maps-pubs/,690
"Rural Innovation Stronger Economy (RISE) Grants | Rural Development",file_download,www.rd.usda.gov/programs-services/business-programs/rural-innovation-stronger-economy-rise-grants,688
"Single Family Housing Repair Loans & Grants in California | Rural Development",file_download,www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants/ca,686
"Your MyPlate Plan - 2200 Calories, Ages 14+ Years | MyPlate",file_download,www.myplate.gov/myplate-plan/results/2200-calories-ages-14-plus,686
"Feeder and Replacement Cattle Auctions | Agricultural Marketing Service",file_download,www.ams.usda.gov/market-news/feeder-and-replacement-cattle-auctions#Nebraska,677
"Direct Loan Application Packagers | Rural Development",file_download,www.rd.usda.gov/programs-services/services/direct-loan-application-packagers,676
"Single Family Housing Direct Home Loans in Texas | Rural Development",file_download,www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans/tx,649
El Yunque National Forest - Home,file_download,www.fs.usda.gov/elyunque,643
"Handbooks | Rural Development",file_download,www.rd.usda.gov/resources/directives/handbooks#hb13555,642
"PAYE Schedule, Calendars, and Additional Information | National Finance Center",file_download,nfc.usda.gov/ClientServices/HR_Payroll/PAYE/,638
National Forests and Grasslands in Texas - Districts,file_download,www.fs.usda.gov/detail/texas/about-forest/districts/,636
"Single Family Housing Direct Home Loans in California | Rural Development",file_download,www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans/ca,615
"Single Family Housing Direct Home Loans in North Carolina | Rural Development",file_download,www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans/nc,594
"Professional Resources | Dietary Guidelines for Americans",file_download,www.dietaryguidelines.gov/professional-resources,589
"Request Cash Flow Based Assistance from the Inflation Reduction Act | Farmers.gov",file_download,www.farmers.gov/loans/inflation-reduction-investments/request-based,577
