domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
(other),(other),3067235,4194587,3008902,0.73123647214850951,73.137674798593522,0.33868984002477481
aglearn.usda.gov,/pluginfile.php/639884/mod_scorm/content/1/page93037.html,1475033,25354,22725,58.177526228602979,1395.3252204144908,0.016368225920959219
www.myplate.gov,/,1240254,226293,182666,5.4807439911972535,494.87774275246693,0.21512375548514537
www.myplate.gov,/myplate-plan,496763,71929,61439,6.9062964868133854,433.00263382037843,0.041221204243073031
www.usda.gov,/,358969,234640,192900,1.5298712921922946,113.7146146808856,0.49340265939311284
www.fns.usda.gov,/snap/supplemental-nutrition-assistance-program,212427,85541,77528,2.4833354765551023,171.07376320187981,0.26107948235349132
www.fsis.usda.gov,/,184093,97436,54113,1.8893735375015395,153.36856305004312,0.63278459706884516
www.fns.usda.gov,/snap/recipient/eligibility,176787,78306,71190,2.2576430924833346,176.90866334713814,0.24686486348427963
www.nal.usda.gov,/human-nutrition-and-food-safety/dri-calculator,174496,91720,76683,1.90248582642826,192.30949181272351,0.23652420409943306
fdc.nal.usda.gov,/,156718,58750,44954,2.6675404255319148,382.1785958380425,0.22217872340425532
www.myplate.gov,/eat-healthy/what-is-myplate,150048,28141,23080,5.3320066806439,523.32486221193278,0.26228634376887816
www.fns.usda.gov,/snap/state-directory,148663,70037,64218,2.1226351785484816,169.24867422797948,0.18128988962976714
www.rd.usda.gov,/,140024,47732,38236,2.9335456297661944,272.9402201594109,0.22221989441045839
www.fsis.usda.gov,/recalls,137446,37593,31143,3.6561593913760539,302.58947372037346,0.34687308807490758
www.fs.usda.gov,/,135249,53394,45424,2.533037419934824,191.79836006264753,0.43830767501966511
www.farmers.gov,/,121788,93624,89829,1.3008203024865419,57.101245092209261,0.82784328804580021
www.fs.usda.gov,/elyunque,102594,28961,25226,3.5424881737509062,249.64170956068503,0.225441110458893
www.fns.usda.gov,/wic,101849,39300,35386,2.5915776081424937,163.7397108500509,0.33002544529262084
www.rd.usda.gov,/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,98065,41288,34426,2.3751453206742879,252.65924368291024,0.2663970160821546
www.fsa.usda.gov,/,96916,42404,36430,2.2855391000848977,178.05919268722292,0.28509102914819356
