date,browser,os_version,visits
2023-12-15,Opera,10,448
2023-12-15,Firefox,7,181
2023-12-15,Chrome,8,107
2023-12-14,Chrome,10,92221
2023-12-14,Edge,10,40792
2023-12-14,Chrome,11,32083
2023-12-14,Edge,11,13943
2023-12-14,Firefox,10,5233
2023-12-14,Chrome,7,1465
2023-12-14,Chrome,8.1,566
2023-12-14,Opera,10,446
2023-12-14,Firefox,7,178
2023-12-14,Internet Explorer,10,131
2023-12-13,Chrome,10,87277
2023-12-13,Edge,10,43007
2023-12-13,Chrome,11,34260
2023-12-13,Edge,11,14679
2023-12-13,Firefox,10,5695
2023-12-13,Chrome,7,1414
2023-12-13,Chrome,8.1,576
2023-12-13,Opera,10,533
2023-12-13,Firefox,7,191
2023-12-13,Internet Explorer,10,146
2023-12-12,Chrome,10,92833
2023-12-12,Edge,10,42423
2023-12-12,Chrome,11,35929
2023-12-12,Edge,11,14976
2023-12-12,Firefox,10,5749
2023-12-12,Chrome,7,1540
2023-12-12,Chrome,8.1,610
2023-12-12,Opera,10,516
2023-12-12,Firefox,7,225
2023-12-12,Internet Explorer,10,151
2023-12-11,Chrome,10,91168
2023-12-11,Edge,10,46365
2023-12-11,Chrome,11,36359
2023-12-11,Edge,11,15258
2023-12-11,Firefox,10,5968
2023-12-11,Chrome,7,1602
2023-12-11,Chrome,8.1,543
2023-12-11,Opera,10,539
2023-12-11,Firefox,7,326
2023-12-11,Internet Explorer,10,168
2023-12-10,Chrome,10,23835
2023-12-10,Chrome,11,18804
2023-12-10,Edge,11,8166
2023-12-10,Edge,10,7177
2023-12-10,Firefox,10,2794
2023-12-10,Chrome,7,901
2023-12-10,Opera,10,472
2023-12-10,Chrome,8.1,364
2023-12-10,Firefox,7,252
2023-12-09,Chrome,10,20106
2023-12-09,Chrome,11,15003
2023-12-09,Edge,11,6254
2023-12-09,Edge,10,6164
2023-12-09,Firefox,10,2575
2023-12-09,Chrome,7,1150
2023-12-09,Opera,10,378
2023-12-09,Chrome,8.1,336
2023-12-09,Firefox,7,265
2023-12-08,Chrome,10,80431
2023-12-08,Edge,10,36632
2023-12-08,Chrome,11,31077
2023-12-08,Edge,11,13107
2023-12-08,Firefox,10,5290
2023-12-08,Chrome,7,1411
2023-12-08,Chrome,8.1,652
2023-12-08,Opera,10,486
2023-12-08,Firefox,7,313
2023-12-08,Internet Explorer,10,150
2023-12-07,Chrome,10,90875
2023-12-07,Edge,10,43441
2023-12-07,Chrome,11,36538
2023-12-07,Edge,11,15169
2023-12-07,Firefox,10,5578
2023-12-07,Chrome,7,1668
2023-12-07,Chrome,8.1,593
2023-12-07,Opera,10,536
2023-12-07,Firefox,7,211
2023-12-07,Internet Explorer,10,158
2023-12-06,Chrome,10,94067
2023-12-06,Edge,10,44657
2023-12-06,Chrome,11,38084
