date,visits
2024-01-04,132940
2024-01-03,131978
2024-01-02,121458
2024-01-01,51815
2023-12-31,42711
2023-12-30,51490
2023-12-29,84619
2023-12-28,100301
2023-12-27,108014
2023-12-26,77946
2023-12-25,32678
2023-12-24,30291
2023-12-23,37479
2023-12-22,75495
2023-12-21,106218
2023-12-20,116738
2023-12-19,117438
2023-12-18,114816
2023-12-17,44197
2023-12-16,52077
2023-12-15,114600
2023-12-14,123768
2023-12-13,122710
2023-12-12,123897
2023-12-11,117904
2023-12-10,55070
2023-12-09,56714
2023-12-08,111695
2023-12-07,123942
2023-12-06,128622
2023-12-05,132580
2023-12-04,129225
2023-12-03,67805
2023-12-02,91338
2023-12-01,130859
2023-11-30,163369
2023-11-29,174356
2023-11-28,165635
2023-11-27,133819
2023-11-26,54186
2023-11-25,52289
2023-11-24,54290
2023-11-23,35447
2023-11-22,81597
2023-11-21,106637
2023-11-20,120256
2023-11-19,52218
2023-11-18,55890
2023-11-17,125348
2023-11-16,156426
2023-11-15,144897
2023-11-14,142760
2023-11-13,134748
2023-11-12,64277
2023-11-11,53934
2023-11-10,105740
2023-11-09,133189
2023-11-08,153686
2023-11-07,140952
2023-11-06,144719
2023-11-05,69724
2023-11-04,68659
2023-11-03,140198
2023-11-02,150519
2023-11-01,156288
2023-10-31,139188
2023-10-30,137688
2023-10-29,60803
2023-10-28,68602
2023-10-27,120752
2023-10-26,145959
2023-10-25,167003
2023-10-24,171064
2023-10-23,139905
2023-10-22,64683
2023-10-21,73103
2023-10-20,139146
2023-10-19,166881
2023-10-18,183744
2023-10-17,221681
2023-10-16,165813
2023-10-15,89298
2023-10-14,113006
2023-10-13,152452
2023-10-12,133773
2023-10-11,103782
2023-10-10,16010
2023-10-09,12528
2023-10-08,6143
2023-10-07,6040
