domain,page,page_title,pageviews
(other),(other),(other),931801
my.navy.mil,my.navy.mil/quick-links.html,Quick Links - MyNavy Portal,309712
ipps-a.army.mil,ipps-a.army.mil/,"The Integrated Personnel and Pay System - Army | Home",228088
www.travel.dod.mil,www.travel.dod.mil/Allowances/Basic-Allowance-for-Housing/BAH-Rate-Lookup/,"Basic Housing Allowance | BAH Rate Lookup | Defense Travel Management Office",138557
armypubs.army.mil,armypubs.army.mil/ProductMaps/PubForm/Details.aspx,Army Publishing Directorate,119838
www.metoc.navy.mil,www.metoc.navy.mil/jtwc/jtwc.html,Joint Typhoon Warning Center (JTWC),85033
www.mycg.uscg.mil,www.mycg.uscg.mil/,United States Coast Guard (USCG),80423
www.defense.gov,www.defense.gov/,U.S. Department of Defense,77985
www.nro.gov,www.nro.gov/,> Home,70437
www.dcma.mil,www.dcma.mil/,Defense Contract Management Agency,67913
www.dfas.mil,www.dfas.mil/RetiredMilitary/newsevents/newsletter/,Defense Finance and Accounting Service > RetiredMilitary > newsevents > newsletter,66253
www.dfas.mil,www.dfas.mil/,Defense Finance Accounting Service (DFAS),65542
www.marines.mil,www.marines.mil/,Marines.mil - Official website of the United States Marine Corps,64838
www.nsa.gov,www.nsa.gov/,"National Security Agency | Central Security Service",59906
www.dla.mil,www.dla.mil/,The Nation's Combat Logistics Support Agency,58692
www.shadesofgreen.org,www.shadesofgreen.org/,Home :: Shades of Green,57048
my.navy.mil,my.navy.mil/,Home Page - MyNavy Portal,55061
www.navy.mil,www.navy.mil/,United States Navy - Home,53085
www.marines.mil,www.marines.mil/News/Messages/MARADMINS/,MARADMINS,49984
www.defense.gov,www.defense.gov/News/Contracts/,Contracts,48091
