date,visits
2024-01-04,1615478
2024-01-03,1520281
2024-01-02,1229492
2024-01-01,666004
2023-12-31,589221
2023-12-30,653446
2023-12-29,903985
2023-12-28,1180012
2023-12-27,1097383
2023-12-26,851615
2023-12-25,553968
2023-12-24,622938
2023-12-23,598369
2023-12-22,934189
2023-12-21,1159954
2023-12-20,1250387
2023-12-19,1272524
2023-12-18,1334088
2023-12-17,760752
2023-12-16,710632
2023-12-15,1343025
2023-12-14,1666128
2023-12-13,1397613
2023-12-12,1429078
2023-12-11,1487002
2023-12-10,796538
2023-12-09,819868
2023-12-08,1208070
2023-12-07,1421918
2023-12-06,1490349
2023-12-05,1513534
2023-12-04,1440866
2023-12-03,801455
2023-12-02,806814
2023-12-01,1244342
2023-11-30,1419063
2023-11-29,1446471
2023-11-28,1448491
2023-11-27,1450172
2023-11-26,715959
2023-11-25,564263
2023-11-24,670249
2023-11-23,599479
2023-11-22,1163609
2023-11-21,1374222
2023-11-20,1382081
2023-11-19,687561
2023-11-18,672934
2023-11-17,1157762
2023-11-16,1345459
2023-11-15,1408017
2023-11-14,1380769
2023-11-13,1348228
2023-11-12,768078
2023-11-11,809730
2023-11-10,1086385
2023-11-09,1571918
2023-11-08,1716226
2023-11-07,1617897
2023-11-06,1570017
2023-11-05,894866
2023-11-04,855384
2023-11-03,1312703
2023-11-02,1551174
2023-11-01,1543807
2023-10-31,1428022
2023-10-30,1514848
2023-10-29,734581
2023-10-28,703399
2023-10-27,1326739
2023-10-26,1605876
2023-10-25,1546995
2023-10-24,1557577
2023-10-23,1541744
2023-10-22,871371
2023-10-21,760370
2023-10-20,1278279
2023-10-19,1565076
2023-10-18,1624667
2023-10-17,1627413
2023-10-16,1538641
2023-10-15,876851
2023-10-14,859409
2023-10-13,1341296
2023-10-12,1621688
2023-10-11,1595600
2023-10-10,1656784
2023-10-09,1093282
2023-10-08,847328
2023-10-07,751223
