domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.travel.dod.mil,/Allowances/Basic-Allowance-for-Housing/BAH-Rate-Lookup/,1344477,464187,352822,2.8964124372289617,169.10735047537261,0.18633007817969913
my.navy.mil,/quick-links.html,1189456,940423,337133,1.2648095591026591,390.05843659871277,0.42102543217254362
ipps-a.army.mil,/,957731,737950,364303,1.2978264110034554,297.75204546488936,0.34772952097025545
www.metoc.navy.mil,/jtwc/jtwc.html,704080,406212,110260,1.7332821285437161,164.14869023968288,0.54539501541067226
www.defense.gov,/,544505,252542,120929,2.1560928479223258,211.74807506949875,0.455492551733969
www.marines.mil,/,515181,272677,214449,1.8893452693113097,114.97574967633922,0.62768036908136737
www.dfas.mil,/,514724,183068,144066,2.8116546856905629,301.23107353101506,0.29308781436406145
www.tricare.mil,/,466952,129350,114450,3.6099884035562426,283.51031269625804,0.19845380749903363
armypubs.army.mil,/,451137,136657,101151,3.3012359410787591,353.66259251485195,0.19415031794931836
my.navy.mil,/,410479,196995,111647,2.0837026320464989,414.31105809536183,0.11609939338561892
www.dfas.mil,/RetiredMilitary/newsevents/newsletter/,409996,184334,168408,2.2242071457246086,201.88721271818454,0.31264986383412718
www.mycg.uscg.mil,/,400163,324838,67766,1.2318817379740055,166.67339786194412,0.50429752676718853
armypubs.army.mil,/ProductMaps/PubForm/Details.aspx,388396,233875,179501,1.660699091394976,170.06439876458384,0.52829502939604489
www.dcma.mil,/,374178,232185,31903,1.6115554407046107,340.05400758609807,0.48422594052156687
www.shadesofgreen.org,/,363660,148145,107005,2.4547571635897261,241.98114431538809,0.49800533261331803
www.navy.mil,/,337795,201844,181649,1.6735449158756268,68.402777049089551,0.7808604664988803
www.mynavyhr.navy.mil,/,325775,85666,45039,3.8028506058412908,405.83189862418976,0.17017253052552939
www.travel.dod.mil,/Allowances/Basic-Allowance-for-Housing/,314958,69775,64297,4.5139089931924046,203.0914154697563,0.084199211752060188
www.travel.dod.mil,/,300394,115903,87538,2.5917707048135079,208.66563791698837,0.32409859969112104
www.marines.mil,/News/Messages/MARADMINS/,282465,129678,35409,2.1782029334197013,297.08405649092418,0.41837474359567545
