exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
nasa.gov/,1270125,2550419,621675,2.008006298592658,185.40241236098808,1270125
apod.nasa.gov/apod/astropix.html,1156844,1599025,335570,1.3822304476662368,108.52826223760508,1156844
eyes.nasa.gov/apps/solar-system/,755983,2540437,579313,3.3604419676103827,199.99585440413344,755983
europa.nasa.gov/message-in-a-bottle/sign-on/,481916,764878,397035,1.5871604179981573,81.82742635646046,481916
spotthestation.nasa.gov/sightings/view.cfm,399601,690099,227905,1.7269701527273456,80.09511988208237,399601
apod.nasa.gov/apod/,245606,323047,123302,1.3153058150045194,94.99307834499157,245606
science.nasa.gov/eclipses/future-eclipses/eclipse-2024/where-when/,244211,284714,196969,1.1658524800275172,43.584277530496166,244211
urs.earthdata.nasa.gov/oauth/authorize,178442,414855,132524,2.324873067999686,106.99797693368153,178442
spaceplace.nasa.gov/blue-sky/sp/,174331,210368,118461,1.2067159598694437,37.15354698820061,174331
worldview.earthdata.nasa.gov/,168752,343217,102052,2.0338544135773207,149.42123352612117,168752
eyes.nasa.gov/apps/orrery/,151428,444550,114461,2.9357186253533034,182.83750033018993,151428
eyes.nasa.gov/apps/exo/,144626,349195,89936,2.4144690442935572,97.4089444498223,144626
webb.nasa.gov/,130163,187183,71402,1.4380661170993294,71.02599048884859,130163
firms.modaps.eosdis.nasa.gov/map/,126817,213807,53138,1.685949044686438,127.82537041563828,126817
eclipse2017.nasa.gov/,124769,125336,124463,1.0045443980475919,0.48508042863211215,124769
spaceplace.nasa.gov/blue-sky/en/,121297,149089,90808,1.2291235562297502,36.153350866056044,121297
spotthestation.nasa.gov/tracking_map.cfm,115201,202815,91766,1.760531592607703,84.42274806642304,115201
nasa.gov/nasatv/,111162,211932,68591,1.9065148162141738,125.03451719112647,111162
spotthestation.nasa.gov/,101698,154506,87811,1.5192629156915574,65.27680977010364,101698
mobile.arc.nasa.gov/public/iexplore/scripts/v15/getubernewsitem.php,93756,234229,74162,2.498282776568966,105.2774435769444,93756
