domain,page,page_title,pageviews
(other),(other),(other),690826
www.nasa.gov,www.nasa.gov/,NASA,400220
europa.nasa.gov,europa.nasa.gov/message-in-a-bottle/sign-on/,"Sign On | Message in a Bottle – NASA's Europa Clipper",400173
apod.nasa.gov,apod.nasa.gov/apod/astropix.html,Astronomy Picture of the Day,341906
science.nasa.gov,science.nasa.gov/eclipses/future-eclipses/eclipse-2024/where-when/,2024 Total Eclipse: Where & When - NASA Science,269217
sdo.gsfc.nasa.gov,sdo.gsfc.nasa.gov/data/,"SDO | Solar Dynamics Observatory",157115
blogs.nasa.gov,blogs.nasa.gov/solarcycle25/2023/12/31/strong-solar-flare-erupts-from-sun-8/,Strong Solar Flare Erupts from Sun – Solar Cycle 25,153453
europa.nasa.gov,europa.nasa.gov/message-in-a-bottle/check-in/,"Check In | Message in a Bottle – NASA's Europa Clipper",105962
eyes.nasa.gov,eyes.nasa.gov/apps/solar-system/#/story/total_solar_eclipse,NASA/JPL Eyes on the Solar System,90210
apod.nasa.gov,apod.nasa.gov/apod/archivepix.html,Astronomy Picture of the Day Archive 2015,89445
science.nasa.gov,science.nasa.gov/eclipses/future-eclipses/eclipse-2024/,2024 Total Eclipse - NASA Science,82376
apod.nasa.gov,apod.nasa.gov/apod/,Astronomy Picture of the Day,71594
spaceplace.nasa.gov,spaceplace.nasa.gov/blue-sky/sp/,"Why Is the Sky Blue? | NASA Space Place – NASA Science for Kids",60142
apod.nasa.gov,apod.nasa.gov/apod/archivepixFull.html,Astronomy Picture of the Day Archive,59116
eyes.nasa.gov,eyes.nasa.gov/apps/solar-system/#/home,NASA/JPL Eyes on the Solar System,57586
europa.nasa.gov,europa.nasa.gov/message-in-a-bottle/participation-map/,"Participation Map | Message in a Bottle – NASA's Europa Clipper",55014
science.nasa.gov,science.nasa.gov/mission/hubble/multimedia/what-did-hubble-see-on-your-birthday/,What Did Hubble See on Your Birthday? - NASA Science,52530
spaceplace.nasa.gov,spaceplace.nasa.gov/blue-sky/en/,"Why Is the Sky Blue? | NASA Space Place – NASA Science for Kids",46871
www.nasa.gov,www.nasa.gov/missions/mars-science-laboratory/curiosity-rover/nasas-curiosity-rover-captures-a-martian-day-from-dawn-to-dusk/,"NASA’s Curiosity Rover Captures a Martian Day, From Dawn to Dusk - NASA",46058
urs.earthdata.nasa.gov,urs.earthdata.nasa.gov/oauth/authorize,Earthdata Login,43307
