page_title,event_label,page,total_events
"Electrolyzer Installation Webinar | Department of Energy",file_download,www.energy.gov/eere/fuelcells/electrolyzer-installation-webinar,1421
"GREET | Department of Energy",file_download,www.energy.gov/eere/greet,1188
"Grid Resilience and Innovation Partnerships (GRIP) Program Projects | Department of Energy",file_download,www.energy.gov/gdo/grid-resilience-and-innovation-partnerships-grip-program-projects,968
"Home Energy Rebates Programs Guidance | Department of Energy",file_download,www.energy.gov/scep/home-energy-rebates-programs-guidance,582
"Making Our Homes More Efficient: Clean Energy Tax Credits for Consumers | Department of Energy",file_download,www.energy.gov/policy/articles/making-our-homes-more-efficient-clean-energy-tax-credits-consumers,462
"Clean Hydrogen Production Tax Credit (45V) Resources | Department of Energy",file_download,www.energy.gov/articles/clean-hydrogen-production-tax-credit-45v-resources,447
"National Transmission Needs Study | Department of Energy",file_download,www.energy.gov/gdo/national-transmission-needs-study,418
"National Definition for a Zero Emissions Building | Department of Energy",file_download,www.energy.gov/eere/buildings/national-definition-zero-emissions-building,359
Vapor Intrusion Screening Level Home,file_download,epa-visl.ornl.gov/cgi-bin/visl_search,328
"EECBG Program Formula Grant Application Hub | Department of Energy",file_download,www.energy.gov/scep/eecbg-program-formula-grant-application-hub,275
Transmission Business Practices - Bonneville Power Administration,file_download,www.bpa.gov/energy-and-services/transmission/business-practices,240
"ZERH Single Family Version 2 | Department of Energy",file_download,www.energy.gov/eere/buildings/zerh-single-family-version-2,226
"Grid Resilience and Innovation Partnerships (GRIP) Program | Department of Energy",file_download,www.energy.gov/gdo/grid-resilience-and-innovation-partnerships-grip-program,218
"Homeowner’s Guide to the Federal Tax Credit for Solar Photovoltaics | Department of Energy",file_download,www.energy.gov/eere/solar/homeowners-guide-federal-tax-credit-solar-photovoltaics,202
"Cybersecurity Capability Maturity Model (C2M2) | Department of Energy",file_download,www.energy.gov/ceser/cybersecurity-capability-maturity-model-c2m2,194
"Weatherization Program Notice BIL-5: BIL Average Cost Per Dwelling Unit and Allowable Use of Funds Update | Department of Energy",file_download,www.energy.gov/scep/wap/articles/weatherization-program-notice-bil-5-bil-average-cost-dwelling-unit-and-0,166
"Annual Merit Review Presentations | Department of Energy",file_download,www.energy.gov/eere/vehicles/annual-merit-review-presentations,155
"State-Based Home Energy Efficiency Contractor Training Grants | Department of Energy",file_download,www.energy.gov/scep/state-based-home-energy-efficiency-contractor-training-grants,153
"Weatherization Assistance Program Fact Sheet | Department of Energy",file_download,www.energy.gov/scep/wap/articles/weatherization-assistance-program-fact-sheet,150
"Offshore Wind Market Report: 2023 Edition | Department of Energy",file_download,www.energy.gov/eere/wind/articles/offshore-wind-market-report-2023-edition,148
"Qualifying Advanced Energy Project Credit (48C) Program | Department of Energy",file_download,www.energy.gov/infrastructure/qualifying-advanced-energy-project-credit-48c-program,141
Explore a Career at BPA - Bonneville Power Administration,file_download,www.bpa.gov/about/careers/explore-a-career-at-bpa,140
"Air-Source Heat Pumps | Department of Energy",file_download,www.energy.gov/energysaver/air-source-heat-pumps,122
"Home Efficiency Rebates Program: Sample Application Responses and Guidance | Department of Energy",file_download,www.energy.gov/scep/slsc/home-energy-rebate-program/articles/home-efficiency-rebates-program-sample-application,119
"Sample Project Execution Plan | Department of Energy",file_download,www.energy.gov/projectmanagement/articles/sample-project-execution-plan,118
"FY 2024 Budget Justification | Department of Energy",file_download,www.energy.gov/cfo/articles/fy-2024-budget-justification,117
"National Interest Electric Transmission Corridor Designation Process | Department of Energy",file_download,www.energy.gov/gdo/national-interest-electric-transmission-corridor-designation-process,116
"ZERH Version 1 | Department of Energy",file_download,www.energy.gov/eere/buildings/zerh-version-1,113
Bonneville Purchasing Instructions - Bonneville Power Administration,file_download,www.bpa.gov/energy-and-services/customers-and-contractors/bonneville-purchasing-instructions,108
"Natural Gas Imports and Exports Monthly 2023 | Department of Energy",file_download,www.energy.gov/fecm/articles/natural-gas-imports-and-exports-monthly-2023,107
Document Library - Bonneville Power Administration,file_download,www.bpa.gov/energy-and-services/efficiency/document-library,106
"PF 2024-14 CAAC Letter 2024-03, Class Deviation from the Federal Acquisition Regulation (FAR) to Implement the New Trade Agreements Thresholds | Department of Energy",file_download,www.energy.gov/management/pf-2024-14-caac-letter-2024-03-class-deviation-federal-acquisition-regulation-far,105
"How Maglev Works | Department of Energy",file_download,www.energy.gov/articles/how-maglev-works,104
"Regional Screening Levels (RSL) | Superfund Risk Assessment | US EPA",file_download,epa-prgs.ornl.gov/cgi-bin/chemicals/csl_search,103
"Department of Energy Acquisition Guide | Department of Energy",file_download,www.energy.gov/management/articles/department-energy-acquisition-guide,100
ttsl - Bonneville Power Administration,file_download,www.bpa.gov/energy-and-services/transmission/ttsl,97
