date,os_version,visits
2023-11-03,7,972
2023-10-28,7,965
2023-12-14,7,945
2023-12-15,7,930
2023-10-07,7,927
2023-12-27,7,921
2023-11-10,7,915
2023-10-14,7,905
2023-10-21,7,900
2023-11-23,7,868
2023-10-29,7,864
2023-11-24,7,844
2023-12-26,7,835
2023-10-08,7,834
2023-12-03,7,824
2023-12-28,7,812
2023-12-09,7,780
2023-12-29,7,779
2023-11-26,7,775
2023-10-15,7,771
2023-12-02,7,762
2023-12-16,7,761
2023-10-22,7,754
2023-12-10,7,750
2023-11-25,7,720
2023-11-12,7,712
2023-11-19,7,703
2023-11-11,7,702
2023-11-05,7,683
2023-11-18,7,679
2023-12-30,7,676
2023-12-17,7,666
2023-11-04,7,652
2023-12-25,7,632
2023-12-24,7,567
2024-01-01,7,565
2023-12-31,7,442
2023-10-30,8.1,348
2023-10-17,8.1,312
2023-10-16,8.1,310
2023-11-28,8.1,304
2023-10-11,8.1,303
2023-10-25,8.1,302
2023-12-12,8.1,297
2023-12-11,8.1,295
2023-10-09,8.1,291
2023-12-06,8.1,286
2023-10-20,8.1,284
2023-11-06,8.1,283
2023-10-10,8.1,280
2023-11-27,8.1,279
2023-10-19,8.1,278
2023-11-01,8.1,276
2023-12-04,8.1,276
2023-11-29,8.1,275
2023-11-02,8.1,274
2023-10-26,8.1,272
2023-10-12,8.1,271
2023-10-27,8.1,270
2023-11-20,8.1,266
2023-10-13,8.1,264
2023-10-31,8.1,263
2023-12-13,8.1,260
2023-10-18,8.1,258
2023-11-22,8.1,258
2023-12-18,8.1,256
2023-12-19,8.1,255
2023-12-05,8.1,254
2023-10-23,8.1,252
2024-01-02,8.1,250
2023-11-15,8.1,249
2023-10-15,8.1,248
2023-11-03,8.1,248
2023-11-14,8.1,248
2023-11-21,8.1,248
2023-12-21,8.1,247
2023-12-08,8.1,246
2023-11-07,8.1,241
2023-12-01,8.1,237
2023-12-20,8.1,237
2023-10-24,8.1,235
2023-11-13,8.1,235
2023-12-07,8.1,234
2023-11-16,8.1,232
2024-01-03,8.1,230
2023-11-24,8.1,229
2023-11-09,8.1,228
2023-12-15,8.1,228
2023-11-17,8.1,227
2023-11-30,8.1,224
2023-10-14,8.1,223
2023-11-23,8.1,220
2023-10-08,8.1,219
2023-12-03,8.1,218
2023-11-05,8.1,212
2023-11-10,8.1,212
2023-10-07,8.1,211
2023-12-14,8.1,211
2023-11-08,8.1,209
2023-10-22,8.1,202
2023-12-26,8.1,200
2023-11-04,8.1,199
2023-12-28,8.1,198
2023-11-26,8.1,197
2024-01-04,8.1,194
2023-10-29,8.1,193
2023-10-28,8.1,186
2023-12-22,8.1,186
2023-12-27,8.1,186
2023-11-12,8.1,178
2023-12-10,8.1,171
2023-12-02,8.1,170
2023-12-29,8.1,168
2023-12-09,8.1,166
2023-12-25,8.1,166
2023-11-25,8.1,165
2023-11-18,8.1,164
2023-12-17,8.1,164
2023-10-21,8.1,158
2023-12-19,NT,157
2023-11-19,8.1,154
2023-12-16,8.1,154
2023-12-24,8.1,149
2023-11-11,8.1,146
2023-12-23,8.1,143
2023-12-30,8.1,137
2024-01-01,8.1,126
2023-12-31,8.1,124
