domain,page,page_title,pageviews
www.energy.gov,www.energy.gov/,Department of Energy,48244
www.energy.gov,www.energy.gov/applicant-portal,"DOE Applicant Portal | Department of Energy",13051
www.energy.gov,www.energy.gov/newsroom,"Newsroom | Department of Energy",13001
www.energy.gov,www.energy.gov/careers/search,"USAJOBS Search | Department of Energy",8606
www.energy.gov,www.energy.gov/eere/solar/homeowners-guide-federal-tax-credit-solar-photovoltaics,"Homeowner’s Guide to the Federal Tax Credit for Solar Photovoltaics | Department of Energy",8188
www.energy.gov,www.energy.gov/eere/solar/homeowners-guide-going-solar,"Homeowner’s Guide to Going Solar | Department of Energy",7224
www.energy.gov,www.energy.gov/scep/wap/how-apply-weatherization-assistance,"How to Apply for Weatherization Assistance | Department of Energy",6335
www.energy.gov,www.energy.gov/policy/articles/making-our-homes-more-efficient-clean-energy-tax-credits-consumers,"Making Our Homes More Efficient: Clean Energy Tax Credits for Consumers | Department of Energy",6328
www.energy.gov,www.energy.gov/scep/home-energy-rebates-programs,"Home Energy Rebates Programs | Department of Energy",6265
www.energy.gov,www.energy.gov/energysaver/heat-pump-systems,"Heat Pump Systems | Department of Energy",5753
www.energy.gov,www.energy.gov/careers/jobs,"Jobs | Department of Energy",5378
www.energy.gov,www.energy.gov/eere/solar/how-does-solar-work,"How Does Solar Work? | Department of Energy",5305
www.energy.gov,www.energy.gov/scep/wap/weatherization-assistance-program,"Weatherization Assistance Program | Department of Energy",5248
www.energy.gov,www.energy.gov/energysaver/update-or-replace-windows,"Update or Replace Windows | Department of Energy",4838
www.energy.gov,www.energy.gov/eere/wind/how-do-wind-turbines-work,"How Do Wind Turbines Work? | Department of Energy",4491
www.energy.gov,www.energy.gov/energysaver/heat-pump-water-heaters,"Heat Pump Water Heaters | Department of Energy",4349
www.energy.gov,www.energy.gov/eere/office-energy-efficiency-renewable-energy,"Office of Energy Efficiency & Renewable Energy | Department of Energy",3990
www.energy.gov,www.energy.gov/swpa/generation-schedules,"Generation Schedules | Department of Energy",3842
www.energy.gov,www.energy.gov/ne/articles/nuclear-101-how-does-nuclear-reactor-work,"NUCLEAR 101: How Does a Nuclear Reactor Work? | Department of Energy",3772
www.energy.gov,www.energy.gov/fecm/request-information-growing-carbon-management-education-capacity-minority-serving-institutions,"Request for Information: Growing Carbon Management Education Capacity at Minority Serving Institutions (MSI) through the Office of Fossil Energy and Carbon Management (FECM) University Training and Research (UTR) Program | Department of Energy",3745
