source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
(direct),Direct,749388,1922610,492609,2.5655735079825139,203.76102481506373,0.605177825105286
google,Organic Search,675533,1787420,326850,2.6459403167572866,298.16534455432674,0.39871183199044308
govdelivery,Email,417332,567160,379709,1.3590139265620658,44.549564567641582,0.65843261480068627
bing,Organic Search,39516,119076,16778,3.0133616762830244,374.22224708163782,0.41466747646522928
google,Paid Search,35798,61139,28669,1.7078887088664172,129.38127229144084,0.51279401083859433
bing,Paid Search,39707,52002,38441,1.3096431359709875,41.559971451985795,0.65210164454630171
(not set),Unassigned,12336,38301,11867,3.1048151750972761,270.2173310513943,0.9994325551232166
govdelivery/https://lnks.gd/,Email,18879,22197,17274,1.1757508342602891,52.934562497748821,0.90068329890354359
yahoo,Organic Search,5538,19952,2670,3.6027446731672086,381.08764578223185,0.34145901047309496
duckduckgo,Organic Search,5024,13172,2858,2.6218152866242037,292.73247685051757,0.39231687898089174
baidu,Organic Search,1395,6269,920,4.4939068100358419,448.49254686523295,0.55412186379928319
ecosia.org,Organic Search,1239,3621,604,2.9225181598062955,317.77366638740915,0.384180790960452
govdelivery/https://www.linkedin.com/,Email,765,1038,659,1.3568627450980393,73.880190614379089,0.74901960784313726
hs_email,Email,466,944,301,2.0257510729613735,250.83946678755365,0.575107296137339
Presidential Awards News,Email,570,571,571,1.0017543859649123,0.023829056140350875,1
youtube,Organic Video,492,562,441,1.1422764227642277,56.130158522357718,0.91260162601626016
mass_mailer,Email,215,531,185,2.4697674418604652,107.06784723255815,0.59534883720930232
All UD Facutly - August 2023,Email,415,453,311,1.0915662650602409,106.45458833012049,0.653012048192771
miragenews,Unassigned,210,399,115,1.9,283.74905192857142,0.47142857142857142
yandex,Organic Search,78,331,32,4.2435897435897436,572.20747191025646,0.32051282051282054
