date,browser,visits
2023-12-24,Chrome,488966
2023-12-24,Safari,448048
2023-12-24,Safari (in-app),49303
2023-12-24,Edge,46896
2023-12-24,Samsung Internet,22685
2023-12-24,Android Webview,15178
2023-12-24,Firefox,14302
2023-12-24,(not set),14077
2023-12-24,Opera,2305
2023-12-24,Whale Browser,693
2023-12-24,Mozilla Compatible Agent,622
2023-12-24,Amazon Silk,457
2023-12-24,YaBrowser,295
2023-12-24,UC Browser,175
2023-12-24,Internet Explorer,126
2023-12-23,Chrome,587401
2023-12-23,Safari,574582
2023-12-23,Edge,59188
2023-12-23,Safari (in-app),55621
2023-12-23,Samsung Internet,27912
2023-12-23,Firefox,18200
2023-12-23,Android Webview,16404
2023-12-23,(not set),14065
2023-12-23,Opera,2760
2023-12-23,Mozilla Compatible Agent,730
2023-12-23,Whale Browser,696
2023-12-23,Amazon Silk,596
2023-12-23,YaBrowser,306
2023-12-23,Internet Explorer,144
2023-12-23,UC Browser,143
2023-12-22,Chrome,939888
2023-12-22,Safari,706155
2023-12-22,Edge,146749
2023-12-22,Safari (in-app),64013
2023-12-22,Samsung Internet,35532
2023-12-22,Firefox,30171
2023-12-22,Android Webview,18973
2023-12-22,(not set),14825
2023-12-22,Opera,3577
2023-12-22,Whale Browser,864
2023-12-22,Mozilla Compatible Agent,849
2023-12-22,Amazon Silk,673
2023-12-22,YaBrowser,343
2023-12-22,Internet Explorer,311
2023-12-22,UC Browser,145
2023-12-21,Chrome,1086002
2023-12-21,Safari,772948
2023-12-21,Edge,194167
2023-12-21,Safari (in-app),69883
2023-12-21,Samsung Internet,36619
2023-12-21,Firefox,36517
2023-12-21,Android Webview,19589
2023-12-21,(not set),15200
2023-12-21,Opera,3855
2023-12-21,Whale Browser,1076
2023-12-21,Mozilla Compatible Agent,897
2023-12-21,Amazon Silk,710
2023-12-21,Internet Explorer,438
2023-12-21,YaBrowser,422
2023-12-21,UC Browser,168
2023-12-20,Chrome,1184139
2023-12-20,Safari,773008
2023-12-20,Edge,214221
2023-12-20,Safari (in-app),71256
2023-12-20,Firefox,38765
2023-12-20,Samsung Internet,37720
2023-12-20,Android Webview,19693
2023-12-20,(not set),14546
2023-12-20,Opera,4211
2023-12-20,Whale Browser,1231
2023-12-20,Mozilla Compatible Agent,953
2023-12-20,Amazon Silk,759
2023-12-20,Internet Explorer,441
2023-12-20,YaBrowser,366
2023-12-20,UC Browser,161
2023-12-20,Coc Coc,108
2023-12-20,Android Runtime,104
2023-12-19,Chrome,1226476
2023-12-19,Safari,779371
2023-12-19,Edge,228230
2023-12-19,Safari (in-app),71873
2023-12-19,Firefox,41646
2023-12-19,Samsung Internet,39663
2023-12-19,Android Webview,18983
2023-12-19,(not set),14833
2023-12-19,Opera,4472
2023-12-19,Whale Browser,1146
2023-12-19,Mozilla Compatible Agent,947
2023-12-19,Amazon Silk,727
2023-12-19,YaBrowser,468
2023-12-19,Internet Explorer,463
2023-12-19,UC Browser,154
2023-12-18,Chrome,1267057
2023-12-18,Safari,808653
2023-12-18,Edge,234036
2023-12-18,Safari (in-app),72252
2023-12-18,Firefox,43344
2023-12-18,Samsung Internet,40032
2023-12-18,Android Webview,19888
2023-12-18,(not set),14396
2023-12-18,Opera,4645
2023-12-18,Whale Browser,1212
2023-12-18,Mozilla Compatible Agent,1055
2023-12-18,Amazon Silk,793
2023-12-18,Internet Explorer,488
2023-12-18,YaBrowser,458
2023-12-18,UC Browser,170
2023-12-17,Chrome,681625
2023-12-17,Safari,628011
2023-12-17,Edge,80256
2023-12-17,Safari (in-app),58226
2023-12-17,Samsung Internet,30554
2023-12-17,Firefox,22225
2023-12-17,Android Webview,18151
2023-12-17,(not set),14594
2023-12-17,Opera,3108
2023-12-17,Whale Browser,1021
2023-12-17,Mozilla Compatible Agent,775
2023-12-17,Amazon Silk,680
2023-12-17,YaBrowser,381
2023-12-17,Internet Explorer,237
2023-12-17,Vivaldi,173
2023-12-17,UC Browser,154
2023-12-16,Chrome,699981
2023-12-16,Safari,598035
2023-12-16,Edge,74195
2023-12-16,Safari (in-app),55530
2023-12-16,Samsung Internet,32077
2023-12-16,Firefox,21395
2023-12-16,Android Webview,16749
2023-12-16,(not set),14293
2023-12-16,Opera,3150
2023-12-16,Mozilla Compatible Agent,796
2023-12-16,Whale Browser,742
2023-12-16,Amazon Silk,636
2023-12-16,YaBrowser,339
2023-12-16,Internet Explorer,303
2023-12-16,Vivaldi,211
2023-12-16,UC Browser,172
2023-12-15,Chrome,1053336
2023-12-15,Safari,747791
2023-12-15,Edge,187415
2023-12-15,Safari (in-app),66229
2023-12-15,Firefox,36747
2023-12-15,Samsung Internet,35820
2023-12-15,Android Webview,18600
2023-12-15,(not set),14867
2023-12-15,Opera,4093
2023-12-15,Mozilla Compatible Agent,915
2023-12-15,Whale Browser,903
2023-12-15,Amazon Silk,686
2023-12-15,Internet Explorer,470
2023-12-15,YaBrowser,411
2023-12-15,UC Browser,151
2023-12-15,Android Runtime,122
2023-12-14,Chrome,1218118
2023-12-14,Safari,813863
2023-12-14,Edge,227463
2023-12-14,Safari (in-app),76760
2023-12-14,Samsung Internet,42050
2023-12-14,Firefox,41161
2023-12-14,Android Webview,21096
2023-12-14,(not set),14624
2023-12-14,Opera,4518
2023-12-14,Whale Browser,1200
2023-12-14,Mozilla Compatible Agent,972
2023-12-14,Amazon Silk,724
2023-12-14,YaBrowser,515
2023-12-14,Internet Explorer,469
2023-12-14,UC Browser,194
2023-12-14,Android Runtime,117
2023-12-13,Chrome,1281988
2023-12-13,Safari,915835
2023-12-13,Edge,237502
2023-12-13,Safari (in-app),90350
2023-12-13,Samsung Internet,45462
2023-12-13,Firefox,43525
2023-12-13,Android Webview,20580
2023-12-13,(not set),14847
2023-12-13,Opera,4920
2023-12-13,Whale Browser,1248
2023-12-13,Mozilla Compatible Agent,1035
2023-12-13,Amazon Silk,692
2023-12-13,YaBrowser,510
2023-12-13,Internet Explorer,417
2023-12-13,UC Browser,162
2023-12-13,Android Runtime,139
2023-12-12,Chrome,1257129
2023-12-12,Safari,833176
2023-12-12,Edge,246470
2023-12-12,Safari (in-app),74915
2023-12-12,Firefox,45529
2023-12-12,Samsung Internet,42912
2023-12-12,Android Webview,20725
2023-12-12,(not set),15182
2023-12-12,Opera,4799
2023-12-12,Whale Browser,1223
2023-12-12,Mozilla Compatible Agent,1089
2023-12-12,Amazon Silk,770
2023-12-12,YaBrowser,490
2023-12-12,Internet Explorer,457
2023-12-12,UC Browser,164
2023-12-12,Android Runtime,145
2023-12-11,Chrome,1409390
2023-12-11,Safari,872933
2023-12-11,Edge,255546
2023-12-11,Safari (in-app),99770
2023-12-11,Samsung Internet,49285
2023-12-11,Firefox,45883
2023-12-11,Android Webview,25558
2023-12-11,(not set),15230
2023-12-11,Opera,5068
2023-12-11,Whale Browser,1334
2023-12-11,Mozilla Compatible Agent,1181
2023-12-11,Amazon Silk,845
2023-12-11,YaBrowser,533
2023-12-11,Internet Explorer,494
2023-12-11,UC Browser,195
2023-12-11,Android Runtime,152
2023-12-11,Vivaldi,119
2023-12-10,Chrome,711690
2023-12-10,Safari,634984
2023-12-10,Edge,85975
2023-12-10,Safari (in-app),66907
2023-12-10,Samsung Internet,31969
2023-12-10,Android Webview,22762
2023-12-10,Firefox,22731
2023-12-10,(not set),14207
2023-12-10,Opera,3443
2023-12-10,Whale Browser,1150
2023-12-10,Mozilla Compatible Agent,824
2023-12-10,Amazon Silk,716
2023-12-10,YaBrowser,343
2023-12-10,Internet Explorer,286
2023-12-10,Vivaldi,204
2023-12-10,Android Runtime,122
2023-12-10,UC Browser,116
2023-12-09,Chrome,684141
2023-12-09,Safari,586261
2023-12-09,Edge,74385
2023-12-09,Safari (in-app),60763
2023-12-09,Samsung Internet,31374
2023-12-09,Android Webview,22004
2023-12-09,Firefox,20557
2023-12-09,(not set),13697
2023-12-09,Opera,3365
2023-12-09,Whale Browser,835
2023-12-09,Mozilla Compatible Agent,772
2023-12-09,Amazon Silk,707
2023-12-09,YaBrowser,327
2023-12-09,Internet Explorer,183
2023-12-09,UC Browser,131
2023-12-09,Android Runtime,105
2023-12-08,Chrome,1092585
2023-12-08,Safari,717080
2023-12-08,Edge,189687
2023-12-08,Safari (in-app),63951
2023-12-08,Samsung Internet,38897
2023-12-08,Firefox,35170
2023-12-08,Android Webview,23520
2023-12-08,(not set),15216
2023-12-08,Opera,4123
2023-12-08,Mozilla Compatible Agent,956
2023-12-08,Whale Browser,948
2023-12-08,Amazon Silk,653
2023-12-08,YaBrowser,433
2023-12-08,Internet Explorer,374
2023-12-08,UC Browser,155
2023-12-08,Android Runtime,110
2023-12-07,Chrome,1230778
2023-12-07,Safari,781809
2023-12-07,Edge,233602
2023-12-07,Safari (in-app),71850
2023-12-07,Firefox,40640
2023-12-07,Samsung Internet,40421
2023-12-07,Android Webview,23953
2023-12-07,(not set),15375
2023-12-07,Opera,4762
2023-12-07,Whale Browser,1160
2023-12-07,Mozilla Compatible Agent,1008
2023-12-07,Amazon Silk,744
2023-12-07,YaBrowser,509
2023-12-07,Internet Explorer,484
2023-12-07,UC Browser,185
2023-12-07,Android Runtime,115
2023-12-06,Chrome,1294885
2023-12-06,Safari,798400
2023-12-06,Edge,248923
2023-12-06,Safari (in-app),75429
2023-12-06,Firefox,43106
2023-12-06,Samsung Internet,41578
2023-12-06,Android Webview,23857
2023-12-06,(not set),14488
2023-12-06,Opera,4592
2023-12-06,Whale Browser,1326
2023-12-06,Mozilla Compatible Agent,1067
2023-12-06,Amazon Silk,811
2023-12-06,YaBrowser,498
2023-12-06,Internet Explorer,465
2023-12-06,UC Browser,213
2023-12-06,Android Runtime,123
2023-12-05,Chrome,1309536
2023-12-05,Safari,819871
2023-12-05,Edge,258007
2023-12-05,Safari (in-app),80076
2023-12-05,Firefox,47414
2023-12-05,Samsung Internet,41850
2023-12-05,Android Webview,24392
2023-12-05,(not set),12869
2023-12-05,Opera,4852
2023-12-05,Whale Browser,1386
2023-12-05,Mozilla Compatible Agent,1108
2023-12-05,Amazon Silk,791
2023-12-05,YaBrowser,545
2023-12-05,Internet Explorer,530
2023-12-05,UC Browser,183
2023-12-05,Android Runtime,128
2023-12-05,Coc Coc,102
2023-12-04,Chrome,1323335
2023-12-04,Safari,864996
2023-12-04,Edge,266524
2023-12-04,Safari (in-app),84601
2023-12-04,Firefox,45194
2023-12-04,Samsung Internet,42815
2023-12-04,Android Webview,25626
2023-12-04,Internet Explorer,24077
2023-12-04,(not set),6412
2023-12-04,Opera,4884
2023-12-04,Whale Browser,1408
2023-12-04,Mozilla Compatible Agent,1092
2023-12-04,Amazon Silk,845
2023-12-04,YaBrowser,466
2023-12-04,UC Browser,191
2023-12-04,Android Runtime,139
2023-12-04,Coc Coc,114
2023-12-03,Chrome,718006
2023-12-03,Safari,656677
2023-12-03,Edge,87741
2023-12-03,Safari (in-app),65876
2023-12-03,Samsung Internet,32972
2023-12-03,Firefox,23509
2023-12-03,Android Webview,23366
2023-12-03,Opera,3536
2023-12-03,(not set),2382
2023-12-03,Whale Browser,1131
2023-12-03,Mozilla Compatible Agent,774
2023-12-03,Amazon Silk,722
2023-12-03,Internet Explorer,436
2023-12-03,YaBrowser,312
2023-12-03,UC Browser,168
2023-12-03,Android Runtime,105
2023-12-02,Chrome,702759
2023-12-02,Safari,603022
2023-12-02,Edge,78371
2023-12-02,Safari (in-app),64109
2023-12-02,Samsung Internet,31338
2023-12-02,Android Webview,23212
2023-12-02,Firefox,22159
2023-12-02,Opera,3204
2023-12-02,(not set),2225
2023-12-02,Whale Browser,766
2023-12-02,Mozilla Compatible Agent,748
2023-12-02,Amazon Silk,735
2023-12-02,YaBrowser,337
2023-12-02,UC Browser,196
2023-12-02,Internet Explorer,146
2023-12-02,Android Runtime,104
2023-12-01,Chrome,1069530
2023-12-01,Safari,735211
2023-12-01,Edge,203580
2023-12-01,Safari (in-app),75719
2023-12-01,Samsung Internet,37869
2023-12-01,Firefox,36948
2023-12-01,Android Webview,24108
2023-12-01,Opera,4218
2023-12-01,(not set),2578
2023-12-01,Whale Browser,940
2023-12-01,Mozilla Compatible Agent,912
2023-12-01,Amazon Silk,781
2023-12-01,YaBrowser,409
2023-12-01,Internet Explorer,350
2023-12-01,UC Browser,176
2023-12-01,Android Runtime,127
2023-11-30,Chrome,1239865
2023-11-30,Safari,827217
2023-11-30,Edge,237599
2023-11-30,Safari (in-app),84511
2023-11-30,Samsung Internet,43770
2023-11-30,Firefox,41349
2023-11-30,Android Webview,23088
2023-11-30,Opera,4614
2023-11-30,(not set),3194
2023-11-30,Mozilla Compatible Agent,1124
2023-11-30,Whale Browser,1040
2023-11-30,Amazon Silk,783
2023-11-30,YaBrowser,476
2023-11-30,Internet Explorer,465
2023-11-30,UC Browser,189
2023-11-30,Android Runtime,153
2023-11-29,Chrome,1338527
2023-11-29,Safari,880447
2023-11-29,Edge,248404
2023-11-29,Safari (in-app),101647
2023-11-29,Samsung Internet,45641
2023-11-29,Firefox,44874
2023-11-29,Android Webview,23264
2023-11-29,Opera,4740
2023-11-29,(not set),2818
2023-11-29,Mozilla Compatible Agent,1187
2023-11-29,Whale Browser,1117
2023-11-29,Amazon Silk,813
2023-11-29,YaBrowser,458
2023-11-29,Internet Explorer,447
2023-11-29,UC Browser,195
2023-11-29,Coc Coc,126
2023-11-29,Android Runtime,121
2023-11-28,Chrome,1342823
2023-11-28,Safari,823969
2023-11-28,Edge,251291
2023-11-28,Safari (in-app),78337
2023-11-28,Firefox,44920
2023-11-28,Samsung Internet,42227
2023-11-28,Android Webview,23456
2023-11-28,Opera,4859
2023-11-28,(not set),3201
2023-11-28,Internet Explorer,2247
2023-11-28,Amazon Silk,1195
2023-11-28,Mozilla Compatible Agent,1162
2023-11-28,Whale Browser,1112
2023-11-28,YaBrowser,510
2023-11-28,UC Browser,208
2023-11-28,Coc Coc,110
2023-11-28,Android Runtime,105
2023-11-27,Chrome,1330623
2023-11-27,Safari,875654
2023-11-27,Edge,257284
2023-11-27,Safari (in-app),78057
2023-11-27,Firefox,47224
2023-11-27,Samsung Internet,42333
2023-11-27,Android Webview,23483
2023-11-27,Opera,4905
2023-11-27,(not set),2715
2023-11-27,Internet Explorer,2256
2023-11-27,Whale Browser,1147
2023-11-27,Mozilla Compatible Agent,1080
2023-11-27,Amazon Silk,883
2023-11-27,YaBrowser,471
2023-11-27,UC Browser,179
2023-11-27,Android Runtime,117
2023-11-27,Coc Coc,109
2023-11-26,Chrome,705379
2023-11-26,Safari,662548
2023-11-26,Edge,88164
2023-11-26,Safari (in-app),62501
2023-11-26,Samsung Internet,31837
2023-11-26,Firefox,23564
2023-11-26,Android Webview,21296
2023-11-26,Opera,3402
2023-11-26,(not set),2368
2023-11-26,Whale Browser,1095
2023-11-26,Mozilla Compatible Agent,1036
2023-11-26,Amazon Silk,801
2023-11-26,YaBrowser,313
2023-11-26,Internet Explorer,199
2023-11-26,UC Browser,147
2023-11-26,Android Runtime,105
2023-11-25,Chrome,633714
2023-11-25,Safari,577893
2023-11-25,Edge,71171
2023-11-25,Safari (in-app),57699
2023-11-25,Samsung Internet,29698
2023-11-25,Firefox,19708
2023-11-25,Android Webview,19270
2023-11-25,Opera,2855
2023-11-25,(not set),2096
2023-11-25,Mozilla Compatible Agent,818
2023-11-25,Amazon Silk,672
2023-11-25,Whale Browser,633
2023-11-25,YaBrowser,284
2023-11-25,UC Browser,172
2023-11-25,Internet Explorer,133
2023-11-24,Chrome,734032
2023-11-24,Safari,606668
2023-11-24,Edge,103821
2023-11-24,Safari (in-app),56177
2023-11-24,Samsung Internet,31356
2023-11-24,Firefox,24716
2023-11-24,Android Webview,20028
2023-11-24,(not set),3539
2023-11-24,Opera,3382
2023-11-24,Whale Browser,814
2023-11-24,Mozilla Compatible Agent,763
2023-11-24,Amazon Silk,620
2023-11-24,YaBrowser,336
2023-11-24,Internet Explorer,223
2023-11-24,UC Browser,170
2023-11-24,Android Runtime,114
2023-11-23,Chrome,675918
2023-11-23,Safari,536112
2023-11-23,Edge,79717
2023-11-23,Safari (in-app),55465
2023-11-23,Samsung Internet,30903
2023-11-23,Firefox,21572
2023-11-23,Android Webview,20330
2023-11-23,Opera,3473
