date,browser,os,visits
2023-12-31,Firefox,Windows,9454
2023-12-31,Chrome,Chrome OS,6329
2023-12-31,Firefox,Macintosh,2741
2023-12-31,Firefox,Linux,2277
2023-12-31,Firefox,Android,1477
2023-12-31,Opera,Windows,1404
2023-12-31,Edge,Android,1315
2023-12-31,Opera,Android,809
2023-12-31,Amazon Silk,Android,636
2023-12-31,Edge,Macintosh,499
2023-12-31,Mozilla Compatible Agent,Macintosh,499
2023-12-31,Whale Browser,Android,480
2023-12-31,(not set),iOS,464
2023-12-31,Samsung Internet,Linux,426
2023-12-31,Opera,Macintosh,152
2023-12-31,Internet Explorer,Windows,146
2023-12-31,Whale Browser,Windows,132
2023-12-31,UC Browser,Android,130
2023-12-31,YaBrowser,Windows,113
2023-12-30,Safari,iOS,559316
2023-12-30,Chrome,Android,254087
2023-12-30,Chrome,Windows,179028
2023-12-30,Chrome,iOS,96160
2023-12-30,Safari,Macintosh,80837
2023-12-30,Chrome,Macintosh,67093
2023-12-30,Edge,Windows,62111
2023-12-30,Safari (in-app),iOS,55574
2023-12-30,Chrome,Linux,46896
2023-12-30,Samsung Internet,Android,29822
2023-12-30,Android Webview,Android,16603
2023-12-30,(not set),(not set),13491
2023-12-30,Firefox,Windows,12011
2023-12-30,Chrome,Chrome OS,8074
2023-12-30,Firefox,Macintosh,3693
2023-12-30,Firefox,Linux,2463
2023-12-30,Firefox,Android,1863
2023-12-30,Opera,Windows,1803
2023-12-30,Edge,Android,1711
2023-12-30,Opera,Android,919
2023-12-30,Amazon Silk,Android,749
2023-12-30,Mozilla Compatible Agent,Macintosh,654
2023-12-30,Edge,Macintosh,591
2023-12-30,(not set),iOS,538
2023-12-30,Samsung Internet,Linux,519
2023-12-30,Whale Browser,Android,491
2023-12-30,Internet Explorer,Windows,328
2023-12-30,Opera,Macintosh,172
2023-12-30,Whale Browser,Windows,149
2023-12-30,UC Browser,Android,146
2023-12-30,YaBrowser,Windows,143
2023-12-29,Safari,iOS,677758
2023-12-29,Chrome,Windows,369633
2023-12-29,Chrome,Android,300977
2023-12-29,Edge,Windows,137199
2023-12-29,Chrome,iOS,113579
2023-12-29,Safari,Macintosh,100859
