exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
egov.uscis.gov/,7583381,11797277,2445348,1.5556751005916754,73.84405056267119,7583381
my.uscis.gov/,5674571,7543522,1924102,1.329355470219687,143.22495304050298,5674571
uscis.gov/,4287058,6730244,2087038,1.5698980512976497,102.04816753120672,4287058
esta.cbp.dhs.gov/,2853171,5238905,1715124,1.8361693007534423,320.38113979148113,2853171
ttp.cbp.dhs.gov/login,2384420,4034046,1409681,1.6918353310238967,106.0037468231268,2384420
tsaenrollmentbyidemia.tsa.dhs.gov/workflows,1974674,5080298,1257944,2.5727274476698434,176.34430949108562,1974674
ttp.dhs.gov/,1968865,2337511,1336495,1.187237824838168,63.667432251576415,1968865
uscis.gov/i-9-central/form-i-9-acceptable-documents,1441147,1861360,1147968,1.2915823299080524,57.885390595130126,1441147
ttp.cbp.dhs.gov/,1132391,1439111,825249,1.2708605066624514,64.37096638881799,1132391
tsa.gov/precheck,1120819,1875774,968320,1.673574412996211,73.61975394778283,1120819
i94.cbp.dhs.gov/home,985393,3171115,622568,3.2181221096557415,352.542908260968,985393
tsaenrollmentbyidemia.tsa.dhs.gov/,860183,2302389,583462,2.676626950311736,340.23915957418365,860183
egov.uscis.gov/processing-times/,850509,1622496,526536,1.9076764619774746,134.02495564420835,850509
cisa.gov/,758445,802979,735756,1.058717507531858,10.161417110007976,758445
esta.cbp.dhs.gov/esta,750439,1015612,621139,1.3533571682708387,85.11273401302438,750439
internal-prod-elis2.uscis.dhs.gov/internalapp/app/,703043,1371542,47370,1.9508650253256201,387.6479447203087,703043
cbp.gov/travel/trusted-traveler-programs/global-entry,608451,924604,487368,1.5196030576003656,77.6623146317452,608451
esta.cbp.dhs.gov/individualstatuslookup,576601,858487,306877,1.4888753227968734,187.2239642317651,576601
i94.cbp.dhs.gov/recent-results,521910,2999609,399234,5.747368320208465,325.73248069590545,521910
uscis.gov/i-9,485184,793314,428612,1.6350786505738029,88.74567586729982,485184
