domain,page,page_title,pageviews
egov.uscis.gov,egov.uscis.gov/,Case Status Online,1568844
www.uscis.gov,www.uscis.gov/,"Home | USCIS",1497659
my.uscis.gov,my.uscis.gov/,"USCIS | myUSCIS Home Page",1420780
esta.cbp.dhs.gov,esta.cbp.dhs.gov/,"Official ESTA Application Website, U.S. Customs and Border Protection",1418968
esta.cbp.dhs.gov,esta.cbp.dhs.gov/individualStatusLookup,"Official ESTA Application Website, U.S. Customs and Border Protection",683128
i94.cbp.dhs.gov,i94.cbp.dhs.gov/home,I94 - Official Website,622357
(other),(other),(other),575988
egov.uscis.gov,egov.uscis.gov/,Case Status Online - Case Status Search,569959
www.tsa.gov,www.tsa.gov/precheck,"TSA PreCheck® | Transportation Security Administration",511441
i94.cbp.dhs.gov,i94.cbp.dhs.gov/recent-search,I94 - Official Website,502359
i94.cbp.dhs.gov,i94.cbp.dhs.gov/I94/#/home,I94 - Official Website,463222
tsaenrollmentbyidemia.tsa.dhs.gov,tsaenrollmentbyidemia.tsa.dhs.gov/,"TSA Enrollment | TSA Enrollment by IDEMIA",453339
www.tsa.gov,www.tsa.gov/travel/security-screening/whatcanibring/all,"What Can I Bring? All | Transportation Security Administration",423415
esta.cbp.dhs.gov,esta.cbp.dhs.gov/estaStatus,"Official ESTA Application Website, U.S. Customs and Border Protection",407326
www.tsa.gov,www.tsa.gov/precheck/enrollment-centers,"TSA PreCheck® Enrollment Centers | Transportation Security Administration",384928
tsaenrollmentbyidemia.tsa.dhs.gov,tsaenrollmentbyidemia.tsa.dhs.gov/workflows,"Service Status | TSA Enrollment by IDEMIA",377458
esta.cbp.dhs.gov,esta.cbp.dhs.gov/esta,"Official ESTA Application Website, U.S. Customs and Border Protection",373243
esta.cbp.dhs.gov,esta.cbp.dhs.gov/applicantInfo,"Official ESTA Application Website, U.S. Customs and Border Protection",359951
i94.cbp.dhs.gov,i94.cbp.dhs.gov/recent-results,I94 - Official Website,347118
egov.uscis.gov,egov.uscis.gov/processing-times/,Processing Times,333098
