date,visits
2024-01-04,2461717
2024-01-03,2559507
2024-01-02,2523608
2024-01-01,1213669
2023-12-31,889266
2023-12-30,1055646
2023-12-29,1641783
2023-12-28,1887578
2023-12-27,1797563
2023-12-26,1499478
2023-12-25,626332
2023-12-24,621836
2023-12-23,782579
2023-12-22,1411835
2023-12-21,1618718
2023-12-20,1807215
2023-12-19,1744727
2023-12-18,1776261
2023-12-17,847548
2023-12-16,886713
2023-12-15,1657023
2023-12-14,1816271
2023-12-13,1884595
2023-12-12,1823294
2023-12-11,1904728
2023-12-10,908829
2023-12-09,873087
2023-12-08,1542407
2023-12-07,1733983
2023-12-06,1761748
2023-12-05,1903956
2023-12-04,1919584
2023-12-03,950698
2023-12-02,956485
2023-12-01,1685031
2023-11-30,1857696
2023-11-29,1948559
2023-11-28,1949994
2023-11-27,1990832
2023-11-26,967372
2023-11-25,878157
2023-11-24,941831
2023-11-23,690158
2023-11-22,1384611
2023-11-21,1718171
2023-11-20,1742910
2023-11-19,875306
2023-11-18,888602
2023-11-17,1604714
2023-11-16,1775307
2023-11-15,1876210
2023-11-14,1908764
2023-11-13,1836166
2023-11-12,863153
2023-11-11,866442
2023-11-10,1483675
2023-11-09,1850798
2023-11-08,1734299
2023-11-07,1737569
2023-11-06,1852024
2023-11-05,892271
2023-11-04,899707
2023-11-03,1556555
2023-11-02,1819026
2023-11-01,1824089
2023-10-31,1680290
2023-10-30,1691502
2023-10-29,767819
2023-10-28,808290
2023-10-27,1448877
2023-10-26,1588181
2023-10-25,1745472
2023-10-24,1675076
2023-10-23,1712847
2023-10-22,769837
2023-10-21,817104
2023-10-20,1507062
2023-10-19,1638357
2023-10-18,1749034
2023-10-17,1886924
2023-10-16,2594131
2023-10-15,1196766
2023-10-14,1058330
2023-10-13,1794553
2023-10-12,1905101
2023-10-11,1857654
2023-10-10,1905152
2023-10-09,1625803
2023-10-08,851058
2023-10-07,872114
