date,language,visits
2023-12-31,Turkish,376
2023-12-31,Arabic,363
2023-12-31,Vietnamese,340
2023-12-31,Hebrew,321
2023-12-31,Italian,309
2023-12-31,Polish,206
2023-12-31,Dutch,203
2023-12-31,Thai,178
2023-12-31,Ukrainian,148
2023-12-31,Swedish,128
2023-12-31,(other),116
2023-12-31,Norwegian Bokmål,93
2023-12-31,Persian,84
2023-12-31,Greek,77
2023-12-31,Romanian,70
2023-12-31,Hungarian,68
2023-12-31,Czech,63
2023-12-31,Bengali,48
2023-12-31,Danish,46
2023-12-31,Croatian,36
2023-12-31,Finnish,34
2023-12-31,Slovak,34
2023-12-31,Central Khmer,31
2023-12-31,Serbian,31
2023-12-31,Catalan,28
2023-12-31,Bulgarian,22
2023-12-31,Lithuanian,17
2023-12-31,Slovenian,16
2023-12-31,Gujarati,13
2023-12-31,Afrikaans,12
2023-12-30,English,1023963
2023-12-30,Spanish,15675
2023-12-30,Chinese,4542
2023-12-30,Russian,1770
2023-12-30,Indonesian,1766
2023-12-30,French,1285
2023-12-30,Korean,1070
2023-12-30,Portuguese,1045
2023-12-30,German,923
2023-12-30,Japanese,656
2023-12-30,Arabic,517
2023-12-30,Turkish,441
2023-12-30,Italian,440
2023-12-30,Hindi,408
2023-12-30,Vietnamese,408
2023-12-30,Dutch,272
2023-12-30,Polish,243
2023-12-30,Ukrainian,208
2023-12-30,Thai,173
2023-12-30,Swedish,151
2023-12-30,Hebrew,136
2023-12-30,(other),104
2023-12-30,Greek,97
2023-12-30,Hungarian,92
2023-12-30,Romanian,91
2023-12-30,Persian,90
2023-12-30,Czech,77
2023-12-30,Norwegian Bokmål,73
2023-12-30,Danish,68
2023-12-30,Bengali,58
2023-12-30,Finnish,48
2023-12-30,Slovak,45
2023-12-30,Croatian,43
2023-12-30,Central Khmer,36
2023-12-30,Bulgarian,33
2023-12-30,Serbian,28
2023-12-30,Gujarati,27
2023-12-30,Lithuanian,27
2023-12-30,Georgian,26
2023-12-30,Catalan,25
2023-12-30,Slovenian,19
2023-12-30,Burmese,13
2023-12-30,Latvian,12
2023-12-30,Uzbek,11
2023-12-29,English,1591788
2023-12-29,Spanish,23027
2023-12-29,Chinese,7098
2023-12-29,Russian,3346
2023-12-29,Indonesian,1915
2023-12-29,French,1822
2023-12-29,Korean,1603
2023-12-29,Portuguese,1574
2023-12-29,German,1568
2023-12-29,Japanese,1030
2023-12-29,Turkish,922
2023-12-29,Italian,778
2023-12-29,Vietnamese,573
2023-12-29,Arabic,565
2023-12-29,Hindi,445
2023-12-29,Polish,442
2023-12-29,Dutch,373
2023-12-29,Ukrainian,331
2023-12-29,Swedish,247
2023-12-29,Thai,197
2023-12-29,(other),145
2023-12-29,Czech,144
2023-12-29,Romanian,138
2023-12-29,Hebrew,124
2023-12-29,Greek,122
2023-12-29,Norwegian Bokmål,110
2023-12-29,Danish,105
2023-12-29,Hungarian,96
2023-12-29,Persian,95
2023-12-29,Finnish,87
2023-12-29,Slovak,78
2023-12-29,Croatian,57
2023-12-29,Bengali,55
2023-12-29,Bulgarian,54
2023-12-29,Serbian,41
2023-12-29,Latvian,32
2023-12-29,Central Khmer,29
2023-12-29,Lithuanian,27
2023-12-29,Catalan,21
2023-12-29,Gujarati,21
2023-12-29,Slovenian,19
2023-12-29,Malay,17
2023-12-29,Estonian,12
2023-12-29,Uzbek,11
2023-12-28,English,1822966
2023-12-28,Spanish,27776
2023-12-28,Chinese,9000
2023-12-28,Russian,4107
2023-12-28,Korean,2169
2023-12-28,French,2111
2023-12-28,Portuguese,1973
2023-12-28,Indonesian,1936
2023-12-28,Japanese,1802
2023-12-28,German,1741
2023-12-28,Turkish,992
2023-12-28,Italian,882
2023-12-28,Arabic,836
2023-12-28,Vietnamese,764
2023-12-28,Dutch,498
2023-12-28,Polish,489
2023-12-28,Hindi,474
2023-12-28,Ukrainian,414
2023-12-28,Hebrew,316
2023-12-28,Swedish,292
2023-12-28,Thai,250
2023-12-28,(other),162
2023-12-28,Czech,143
2023-12-28,Romanian,139
2023-12-28,Greek,137
2023-12-28,Hungarian,132
2023-12-28,Norwegian Bokmål,125
2023-12-28,Danish,123
2023-12-28,Persian,104
2023-12-28,Finnish,89
2023-12-28,Slovak,88
2023-12-28,Croatian,63
2023-12-28,Bengali,58
2023-12-28,Serbian,51
2023-12-28,Bulgarian,50
2023-12-28,Catalan,43
2023-12-28,Central Khmer,40
2023-12-28,Lithuanian,39
2023-12-28,Slovenian,34
2023-12-28,Latvian,32
2023-12-28,Malay,21
2023-12-28,Gujarati,15
2023-12-28,Bosnian,14
2023-12-28,Panjabi,11
2023-12-27,English,1742422
2023-12-27,Spanish,30600
2023-12-27,Chinese,9159
2023-12-27,Russian,4247
2023-12-27,Korean,2420
2023-12-27,Japanese,2104
2023-12-27,Portuguese,2087
2023-12-27,French,1978
2023-12-27,Indonesian,1907
2023-12-27,German,1505
2023-12-27,Turkish,898
2023-12-27,Italian,897
2023-12-27,Vietnamese,688
2023-12-27,Polish,537
2023-12-27,Arabic,512
2023-12-27,Hindi,433
2023-12-27,Dutch,404
2023-12-27,Ukrainian,366
2023-12-27,Hebrew,290
2023-12-27,Swedish,260
2023-12-27,Thai,233
2023-12-27,Romanian,140
2023-12-27,Czech,133
2023-12-27,Greek,133
2023-12-27,(other),132
2023-12-27,Persian,123
2023-12-27,Hungarian,115
2023-12-27,Danish,108
2023-12-27,Norwegian Bokmål,99
2023-12-27,Finnish,98
2023-12-27,Slovak,63
2023-12-27,Serbian,52
2023-12-27,Bengali,48
2023-12-27,Central Khmer,47
2023-12-27,Croatian,45
2023-12-27,Catalan,39
2023-12-27,Latvian,36
2023-12-27,Bulgarian,35
2023-12-27,Lithuanian,29
2023-12-27,Slovenian,27
2023-12-27,Malay,26
2023-12-27,Gujarati,18
2023-12-27,Estonian,16
2023-12-27,Uzbek,11
2023-12-26,English,1449353
2023-12-26,Spanish,26157
2023-12-26,Chinese,9358
2023-12-26,Russian,4153
2023-12-26,Korean,2352
2023-12-26,Japanese,2230
2023-12-26,Portuguese,1836
2023-12-26,Indonesian,1834
2023-12-26,French,1764
2023-12-26,Turkish,888
2023-12-26,German,886
2023-12-26,Vietnamese,638
2023-12-26,Arabic,495
2023-12-26,Hindi,472
2023-12-26,Italian,442
2023-12-26,Ukrainian,379
2023-12-26,Polish,284
2023-12-26,Dutch,277
2023-12-26,Hebrew,253
2023-12-26,Thai,248
2023-12-26,(other),178
2023-12-26,Swedish,171
2023-12-26,Persian,132
2023-12-26,Romanian,114
2023-12-26,Norwegian Bokmål,89
2023-12-26,Greek,85
2023-12-26,Hungarian,85
2023-12-26,Czech,78
2023-12-26,Danish,68
2023-12-26,Bengali,52
2023-12-26,Finnish,49
2023-12-26,Serbian,40
2023-12-26,Bulgarian,39
2023-12-26,Croatian,38
2023-12-26,Central Khmer,36
2023-12-26,Slovak,35
2023-12-26,Lithuanian,21
2023-12-26,Slovenian,21
2023-12-26,Catalan,19
2023-12-26,Latvian,19
2023-12-26,Malay,14
2023-12-26,Gujarati,13
2023-12-26,Panjabi,11
2023-12-25,English,586745
2023-12-25,Spanish,10960
2023-12-25,Chinese,7091
2023-12-25,Russian,3893
2023-12-25,Japanese,2098
2023-12-25,Indonesian,1759
2023-12-25,Korean,1566
2023-12-25,French,1083
2023-12-25,Turkish,969
2023-12-25,Portuguese,815
2023-12-25,German,681
2023-12-25,Vietnamese,558
2023-12-25,Hindi,468
2023-12-25,Arabic,460
2023-12-25,Ukrainian,303
2023-12-25,Italian,270
2023-12-25,Hebrew,266
2023-12-25,Polish,203
2023-12-25,Thai,198
2023-12-25,Dutch,187
2023-12-25,(other),117
2023-12-25,Swedish,99
2023-12-25,Persian,83
2023-12-25,Hungarian,79
2023-12-25,Norwegian Bokmål,77
2023-12-25,Czech,68
2023-12-25,Danish,66
2023-12-25,Romanian,63
2023-12-25,Greek,60
2023-12-25,Finnish,53
2023-12-25,Bengali,47
2023-12-25,Central Khmer,44
2023-12-25,Slovak,43
2023-12-25,Serbian,42
2023-12-25,Bulgarian,29
2023-12-25,Croatian,29
2023-12-25,Gujarati,25
2023-12-25,Catalan,16
2023-12-25,Lithuanian,16
2023-12-25,Slovenian,14
2023-12-24,English,590593
2023-12-24,Spanish,8265
2023-12-24,Chinese,5595
2023-12-24,Russian,2252
2023-12-24,Indonesian,1717
2023-12-24,Japanese,1534
2023-12-24,French,995
2023-12-24,Korean,977
2023-12-24,Portuguese,742
2023-12-24,German,641
2023-12-24,Turkish,537
2023-12-24,Hindi,456
2023-12-24,Arabic,432
2023-12-24,Vietnamese,421
2023-12-24,Hebrew,275
2023-12-24,Italian,267
2023-12-24,Dutch,242
2023-12-24,Thai,178
2023-12-24,Ukrainian,176
2023-12-24,Polish,154
2023-12-24,(other),120
2023-12-24,Swedish,90
2023-12-24,Persian,88
2023-12-24,Romanian,87
2023-12-24,Greek,69
2023-12-24,Czech,64
2023-12-24,Hungarian,58
2023-12-24,Danish,53
2023-12-24,Bengali,52
2023-12-24,Finnish,44
2023-12-24,Norwegian Bokmål,42
2023-12-24,Central Khmer,39
2023-12-24,Serbian,34
2023-12-24,Bulgarian,24
2023-12-24,Croatian,23
2023-12-24,Slovak,21
2023-12-24,Gujarati,18
2023-12-24,Catalan,16
2023-12-24,Latvian,16
2023-12-24,Malay,15
2023-12-24,Slovenian,15
2023-12-24,Lithuanian,12
2023-12-23,English,760022
2023-12-23,Spanish,12191
2023-12-23,Chinese,4726
2023-12-23,Russian,2283
2023-12-23,Indonesian,1767
2023-12-23,French,1081
2023-12-23,Korean,1002
2023-12-23,Portuguese,851
2023-12-23,Japanese,807
2023-12-23,German,758
2023-12-23,Turkish,605
2023-12-23,Hindi,461
2023-12-23,Arabic,387
2023-12-23,Vietnamese,386
2023-12-23,Italian,355
2023-12-23,Dutch,236
2023-12-23,Ukrainian,226
2023-12-23,Polish,211
2023-12-23,Thai,176
2023-12-23,Hebrew,145
2023-12-23,Swedish,131
2023-12-23,(other),128
2023-12-23,Persian,80
2023-12-23,Romanian,75
2023-12-23,Greek,73
2023-12-23,Norwegian Bokmål,71
2023-12-23,Czech,70
2023-12-23,Danish,69
2023-12-23,Hungarian,61
2023-12-23,Finnish,55
2023-12-23,Bengali,47
2023-12-23,Slovak,39
2023-12-23,Croatian,34
2023-12-23,Serbian,30
2023-12-23,Bulgarian,29
2023-12-23,Central Khmer,28
2023-12-23,Lithuanian,20
2023-12-23,Malay,17
2023-12-23,Burmese,13
2023-12-23,Slovenian,13
2023-12-22,English,1344247
2023-12-22,Spanish,20636
2023-12-22,Chinese,7701
2023-12-22,Russian,4821
2023-12-22,French,2293
2023-12-22,Indonesian,1951
2023-12-22,Korean,1710
2023-12-22,Portuguese,1689
2023-12-22,Japanese,1672
2023-12-22,German,1665
2023-12-22,Turkish,1081
2023-12-22,Italian,836
2023-12-22,Vietnamese,517
2023-12-22,Hindi,490
2023-12-22,Dutch,418
2023-12-22,Ukrainian,418
2023-12-22,Arabic,398
2023-12-22,Polish,375
2023-12-22,Swedish,295
2023-12-22,Thai,227
2023-12-22,Hebrew,175
2023-12-22,Greek,153
2023-12-22,Finnish,147
2023-12-22,(other),143
2023-12-22,Hungarian,143
2023-12-22,Romanian,125
2023-12-22,Danish,120
2023-12-22,Norwegian Bokmål,113
2023-12-22,Czech,112
2023-12-22,Persian,66
2023-12-22,Slovak,50
2023-12-22,Bulgarian,49
2023-12-22,Bengali,42
2023-12-22,Croatian,42
2023-12-22,Serbian,37
2023-12-22,Catalan,32
2023-12-22,Central Khmer,32
2023-12-22,Latvian,28
2023-12-22,Slovenian,23
2023-12-22,Gujarati,21
2023-12-22,Malay,17
2023-12-22,Lithuanian,13
2023-12-22,Burmese,12
2023-12-22,Azerbaijani,11
2023-12-22,Bosnian,11
2023-12-21,English,1557561
2023-12-21,Spanish,24224
2023-12-21,Chinese,9588
2023-12-21,Russian,5371
2023-12-21,French,2751
2023-12-21,Japanese,2504
2023-12-21,Korean,2435
2023-12-21,Indonesian,2152
2023-12-21,Portuguese,2062
2023-12-21,German,1965
2023-12-21,Turkish,1080
2023-12-21,Italian,1038
