page_title,event_label,page,total_events
"Get Internet | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/05/Affordable-Connectivity-Program.jpg,whitehouse.gov/getinternet/,9
"Historical Tables | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/hist01z2_fy2024.xlsx,whitehouse.gov/omb/budget/historical-tables/,9
"Historical Tables | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/hist10z1_fy2024.xlsx,whitehouse.gov/omb/budget/historical-tables/,9
"Internship Program | CEQ | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/10/First-Name-Last-Name-CEQ-Application-Session-Year_.pdf,whitehouse.gov/ceq/internship-program/,9
Kamala Harris: The Vice President,https://www.whitehouse.gov/wp-content/uploads/2021/04/V20210305LJ-0043.jpg,whitehouse.gov/administration/vice-president-harris/,9
Kamala Harris: The Vice President,https://www.whitehouse.gov/wp-content/uploads/2022/03/VP-Bio.pdf,whitehouse.gov/administration/vice-president-harris/,9
National Quantum Initiative,https://www.quantum.gov/wp-content/uploads/2023/01/NQI-Annual-Report-FY2023.pdf,quantum.gov/,9
"Reducing the Economic Burden of Unmet Mental Health Needs | CEA | The White House",https://store.samhsa.gov/sites/default/files/d7/priv/sma14-4883.pdf,whitehouse.gov/cea/written-materials/2022/05/31/reducing-the-economic-burden-of-unmet-mental-health-needs/,9
"2023 Annual Report to Congress on White House Staff | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/06/July-1-2023-Report-Final-Version.pdf,whitehouse.gov/briefing-room/statements-releases/2023/06/30/2023-annual-report-to-congress-on-white-house-staff/,8
"Direct Pay | Clean Energy | The White House",https://www.irs.gov/pub/irs-pdf/p5817g.pdf,whitehouse.gov/cleanenergy/directpay/,8
"State Fact Sheets | Build.gov | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/10/Alabama-Fact-Sheet.pdf,whitehouse.gov/build/resources/state-fact-sheets/,8
"Tax Returns | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/05/2021.05.17-POTUS-Redacted-2020-Federal-and-State-Returns.pdf,whitehouse.gov/disclosures/tax-returns/,8
"Tax Returns | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/04/POTUS-2022-Tax-Returns-Final-Signed-Redacted.pdf,whitehouse.gov/disclosures/tax-returns/,8
"Circulars | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/legacy_drupal_files/omb/memoranda/2016/m-16-17.pdf,whitehouse.gov/omb/information-for-agencies/circulars/,7
"Congressionally-Mandated Report on Solar Radiation Modification | OSTP | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/06/Congressionally-Mandated-Report-on-Solar-Radiation-Modification.pdf,whitehouse.gov/ostp/news-updates/2023/06/30/congressionally-mandated-report-on-solar-radiation-modification/,7
"Equity Action Plan | CEA | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/04/CEA-Equity-Action-Plan-4.14.pdf,whitehouse.gov/cea/equity/,7
"FACT SHEET: Biden-Harris Administration Announces National Cybersecurity Strategy | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/National-Cybersecurity-Strategy-2023.pdf,whitehouse.gov/briefing-room/statements-releases/2023/03/02/fact-sheet-biden-harris-administration-announces-national-cybersecurity-strategy/,7
"FACT SHEET: Biden-Harris Administration Takes Action to Create More Affordable Housing by Converting Commercial Properties to Residential Use | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/10/Commercial-to-Residential-Conversions-Guidebook.pdf,whitehouse.gov/briefing-room/statements-releases/2023/10/27/fact-sheet-biden-harris-administration-takes-action-to-create-more-affordable-housing-by-converting-commercial-properties-to-residential-use/,7
"FACT SHEET: Indo-Pacific Strategy of the United States | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/02/U.S.-Indo-Pacific-Strategy.pdf,whitehouse.gov/briefing-room/speeches-remarks/2022/02/11/fact-sheet-indo-pacific-strategy-of-the-united-states/,7
"FACT SHEET: World Leaders Launch a Landmark India-Middle East-Europe Economic Corridor | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/09/Project-Gateway-Multilateral-MOU.pdf,whitehouse.gov/briefing-room/statements-releases/2023/09/09/fact-sheet-world-leaders-launch-a-landmark-india-middle-east-europe-economic-corridor/,7
"2022 Holidays at the White House | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/11/Holiday-Tourbook-2022.pdf,whitehouse.gov/holidays-2022/,6
