page_title,event_label,page,total_events
"American Rescue Plan | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/03/American-Rescue-Plan-Fact-Sheet.pdf,whitehouse.gov/american-rescue-plan/,1680
"Inflation Reduction Act Guidebook | Clean Energy | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/12/Inflation-Reduction-Act-Guidebook.pdf,whitehouse.gov/cleanenergy/inflation-reduction-act-guidebook/,1306
"Inflation Reduction Act Guidebook | Clean Energy | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/09/2023-9-21-IRA-Guidebook-Funding-Programs.csv,whitehouse.gov/cleanenergy/inflation-reduction-act-guidebook/,561
"Blueprint for an AI Bill of Rights | OSTP | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/10/Blueprint-for-an-AI-Bill-of-Rights.pdf,whitehouse.gov/ostp/ai-bill-of-rights/,473
"President's Budget | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/budget_fy2024.pdf,whitehouse.gov/omb/budget/,445
"Guidebook to the Bipartisan Infrastructure Law | Build.gov | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/05/BUILDING-A-BETTER-AMERICA-V2.pdf,whitehouse.gov/build/guidebook/,406
"Investing In America | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/Invest.gov_PublicInvestments_Map_Data_Updated11152023-1.xlsx,whitehouse.gov/invest/,366
"Get Internet | The White House",https://acpbenefit.org/wp-content/uploads/ACP-Application-Form-English.pdf,whitehouse.gov/getinternet/,339
"OMB Releases Implementation Guidance Following President Biden’s Executive Order on Artificial Intelligence | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/AI-in-Government-Memo-draft-for-public-review.pdf,whitehouse.gov/omb/briefing-room/2023/11/01/omb-releases-implementation-guidance-following-president-bidens-executive-order-on-artificial-intelligence/,269
"Joe Biden: The President | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/04/P20210303AS-1901.jpg,whitehouse.gov/administration/president-biden/,213
"Historical Tables | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/hist01z1_fy2024.xlsx,whitehouse.gov/omb/budget/historical-tables/,197
"Get Internet | The White House",https://acpbenefit.org/wp-content/uploads/lifeline/images/ACP-Household-Worksheet-English.pdf,whitehouse.gov/getinternet/,158
"FACT SHEET: Biden-Harris Administration Takes Action to Create More Affordable Housing by Converting Commercial Properties to Residential Use | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/10/Commercial-to-Residential-Conversions-Guidebook.pdf,whitehouse.gov/briefing-room/statements-releases/2023/10/27/fact-sheet-biden-harris-administration-takes-action-to-create-more-affordable-housing-by-converting-commercial-properties-to-residential-use/,151
"Economic Report of the President | CEA | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/ERP-2023.pdf,whitehouse.gov/cea/economic-report-of-the-president/,127
"Get Internet | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/05/Affordable-Connectivity-Program.jpg,whitehouse.gov/getinternet/,116
"Circulars | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2018/06/a11.pdf,whitehouse.gov/omb/information-for-agencies/circulars/,115
Make Your Voice Heard - AI.gov,https://ai.gov/wp-content/uploads/2023/11/AI-in-Government-Memo-Public-Comment.pdf,ai.gov/input/,112
"Report to Congress on Financing Mechanisms For Open Access Publishing of Federally Funded Research | OSTP | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/Open-Access-Publishing-of-Scientific-Research.pdf,whitehouse.gov/ostp/news-updates/2023/11/22/report-to-congress-on-financing-mechanisms-for-open-access-publishing-of-federally-funded-research/,107
"Inflation Reduction Act Guidebook | Clean Energy | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/12/IRA-Guidebook-Data-Dictionary.csv,whitehouse.gov/cleanenergy/inflation-reduction-act-guidebook/,100
Government Use of AI - AI.gov,https://ai.gov/wp-content/uploads/2023/10/2023%20Consolidated%20AI%20Use%20Case%20Inventory%20(PUBLIC).csv,ai.gov/ai-use-cases/,94
