exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
whitehouse.gov/,1044520,1542761,793345,1.477004748592655,80.83613142879025,1044520
whitehouse.gov/contact/,880916,2555641,777877,2.901117700212052,72.10056123398826,880916
whitehouse.gov/briefing-room/statements-releases/2023/10/30/fact-sheet-president-biden-issues-executive-order-on-safe-secure-and-trustworthy-artificial-intelligence/,255839,304371,201559,1.1896974268973848,42.35421495549936,255839
whitehouse.gov/about-the-white-house/presidents/,194987,273047,166427,1.4003343812664435,58.28640370896521,194987
whitehouse.gov/briefing-room/,164132,445328,119278,2.713230814222699,178.99943947554408,164132
whitehouse.gov/briefing-room/presidential-actions/2023/10/30/executive-order-on-the-safe-secure-and-trustworthy-development-and-use-of-artificial-intelligence/,154411,206160,111182,1.33513804068363,58.6179546793946,154411
whitehouse.gov/live/,152389,230990,67874,1.5157918222443878,140.93462782746786,152389
whitehouse.gov/administration/cabinet/,103834,177880,86546,1.7131190168923474,101.34350020224589,103834
whitehouse.gov/about-the-white-house/our-government/the-executive-branch/,101355,151985,85712,1.499531350204726,110.9772384194169,101355
whitehouse.gov/getinternet/,98595,111860,81891,1.134540291089812,54.1733962168467,98595
whitehouse.gov/about-the-white-house/presidents/john-f-kennedy/,82571,103132,74555,1.2490099429581814,46.008804543968225,82571
whitehouse.gov/visit/,78826,96877,66799,1.228998046329891,75.73055844518306,78826
whitehouse.gov/american-rescue-plan/,78181,92293,70384,1.1805042145789897,58.20323352221128,78181
whitehouse.gov/briefing-room/statements-releases/2023/11/15/readout-of-president-joe-bidens-meeting-with-president-xi-jinping-of-the-peoples-republic-of-china-2/,72259,110697,63306,1.531947577464399,63.8444899597282,72259
whitehouse.gov/briefing-room/statements-releases/2023/11/09/statement-from-president-joe-biden-on-senator-joe-manchin/,65873,68372,65683,1.037936635647382,4.633233646562324,65873
whitehouse.gov/about-the-white-house/our-government/the-constitution/,65564,76312,58003,1.1639314257824416,47.243426270514306,65564
whitehouse.gov/therecord/,64924,112970,55947,1.7400345018791201,84.70151253773643,64924
whitehouse.gov/administration/president-biden/,63409,122181,57755,1.9268715797442004,91.47592613036004,63409
whitehouse.gov/about-the-white-house/our-government/the-legislative-branch/,61908,77630,55519,1.253957485300769,71.49460489758997,61908
whitehouse.gov/briefing-room/presidential-actions/2023/11/07/a-proclamation-on-veterans-day-2023/,50053,55272,45799,1.1042694743571815,24.011627674664854,50053
