domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
ssa.gov,31577459,56774667,18476397,1.7979491953421585,140.90791228641925,30471959
secure.ssa.gov,3699969,20609154,4220687,5.570088289928916,250.64740272148225,4793949
faq.ssa.gov,998196,1591878,940888,1.594754937907986,95.85778845036445,933023
search.ssa.gov,493504,723917,370026,1.4668918590325508,91.58981690118013,428737
choosework.ssa.gov,81531,154199,73555,1.8912928824618858,133.09856373649288,77949
oig.ssa.gov,64213,115797,63437,1.8033264292277265,97.44240262875118,65542
yourtickettowork.ssa.gov,9084,26992,8124,2.971378247468076,192.18615147512108,8345
oig-demo.ssa.gov,591,1699,591,2.8747884940778343,6.622673434856176,591
