date,visits
2024-01-04,1426313
2024-01-03,1480994
2024-01-02,1529145
2024-01-01,832537
2023-12-31,600947
2023-12-30,692395
2023-12-29,1121271
2023-12-28,1212724
2023-12-27,1174802
2023-12-26,1021230
2023-12-25,464229
2023-12-24,461351
2023-12-23,591420
2023-12-22,884858
2023-12-21,1020239
2023-12-20,1109933
2023-12-19,1176036
2023-12-18,1195360
2023-12-17,702908
2023-12-16,657661
2023-12-15,1044058
2023-12-14,1199800
2023-12-13,1158612
2023-12-12,1205783
2023-12-11,1268681
2023-12-10,656689
2023-12-09,682528
2023-12-08,1078890
2023-12-07,1263805
2023-12-06,1327812
2023-12-05,1378729
2023-12-04,1523301
2023-12-03,883619
2023-12-02,954007
2023-12-01,1694450
2023-11-30,1870195
2023-11-29,1857447
2023-11-28,1763646
2023-11-27,1640415
2023-11-26,1165847
2023-11-25,985893
2023-11-24,1061457
2023-11-23,697540
2023-11-22,1255975
2023-11-21,1449431
2023-11-20,1412136
2023-11-19,845583
2023-11-18,867884
2023-11-17,1126191
2023-11-16,1236452
2023-11-15,1350421
2023-11-14,1185665
2023-11-13,1233933
2023-11-12,618766
2023-11-11,588290
2023-11-10,897220
2023-11-09,1199050
2023-11-08,1256905
2023-11-07,1250507
2023-11-06,1402718
2023-11-05,701949
2023-11-04,772870
2023-11-03,1191247
2023-11-02,1180186
2023-11-01,1213202
2023-10-31,1179703
2023-10-30,1185736
2023-10-29,586649
2023-10-28,573757
2023-10-27,981970
2023-10-26,1070301
2023-10-25,1152219
2023-10-24,1168399
2023-10-23,1260633
2023-10-22,668464
2023-10-21,846208
2023-10-20,1186650
2023-10-19,1259638
2023-10-18,1250835
2023-10-17,1194255
2023-10-16,1491185
2023-10-15,1037288
2023-10-14,918975
2023-10-13,1168400
2023-10-12,1283200
2023-10-11,1114942
2023-10-10,1125011
2023-10-09,910270
2023-10-08,531657
2023-10-07,609992
