source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
(direct),Direct,11400964,29720476,7744679,2.6068388602928665,262.89170966324269,0.48092880566941532
google,Organic Search,9133988,25256149,5622981,2.7650735910754425,284.0827032498251,0.36377571330288588
google,Paid Search,5677522,16790212,3533366,2.9573134194812454,307.98609135002465,0.38625618711825332
bing,Organic Search,1233354,3950788,713099,3.2032879449047069,446.09424921007673,0.27204517113497018
bing,Paid Search,904255,2833532,625417,3.133554141254403,406.36088190832447,0.30259605973978582
govdelivery,Email,304769,1208306,178729,3.9646617602183949,444.44360971379638,0.36519790398629781
yahoo,Organic Search,363876,1116036,232195,3.0670777957326121,416.024663604596,0.30451582407193661
(not set),Unassigned,198226,677840,187149,3.419531242117583,306.97102354963522,0.99928869068638826
facebook,Organic Social,456765,636310,401605,1.3930795923505523,47.606235986695566,0.72749663393648811
duckduckgo,Organic Search,162952,433921,104052,2.6628761843978594,345.39072225821104,0.34772202857283124
emailer,Email,78098,186157,41652,2.383633383697406,248.45363432285077,0.41618223257957948
ssmatters,Unassigned,55409,178885,34994,3.2284466422422349,371.28448418922915,0.34411377213088129
msan,Paid Other,130180,177361,117046,1.3624289445383315,66.837042687655554,0.636772161622369
statement,Unassigned,27498,97342,16599,3.5399665430213108,538.47727905564045,0.30373118044948721
qrcode,Unassigned,25897,84833,17207,3.2757848399428506,230.99294749851333,0.4576205738116384
emailer,Unassigned,37959,82535,22916,2.17431966068653,204.15633514710609,0.52351221054295427
aol,Organic Search,15933,57024,10679,3.5789870080964037,491.15565113142537,0.22048578422142723
offsite,Referral,14538,45059,9108,3.0993946897785114,333.8373890870821,0.39118173063695144
social,Organic Social,13272,31920,11409,2.4050632911392404,197.39411401401446,0.44379144062688364
ecosia.org,Organic Search,5648,15734,3386,2.7857648725212463,306.44383923300285,0.36154390934844194
