date,visits
2024-01-04,990239
2024-01-03,1054313
2024-01-02,1182894
2024-01-01,1296786
2023-12-31,721207
2023-12-30,861866
2023-12-29,901709
2023-12-28,995914
2023-12-27,940924
2023-12-26,841205
2023-12-25,675575
2023-12-24,652540
2023-12-23,728974
2023-12-22,735901
2023-12-21,779134
2023-12-20,844201
2023-12-19,967271
2023-12-18,1028628
2023-12-17,698524
2023-12-16,621902
2023-12-15,768703
2023-12-14,880381
2023-12-13,883972
2023-12-12,946399
2023-12-11,920534
2023-12-10,733324
2023-12-09,693301
2023-12-08,841479
2023-12-07,1017404
2023-12-06,991603
2023-12-05,1092427
2023-12-04,1203751
2023-12-03,887191
2023-12-02,926446
2023-12-01,995648
2023-11-30,989785
2023-11-29,1037943
2023-11-28,1017403
2023-11-27,1010578
2023-11-26,770957
2023-11-25,756074
2023-11-24,828123
2023-11-23,824500
2023-11-22,978196
2023-11-21,999576
2023-11-20,1025145
2023-11-19,848916
2023-11-18,788042
2023-11-17,997379
2023-11-16,1018965
2023-11-15,1090080
2023-11-14,1078367
2023-11-13,1124657
2023-11-12,861644
2023-11-11,843286
2023-11-10,985083
2023-11-09,1109185
2023-11-08,1147216
2023-11-07,1058875
2023-11-06,1131824
2023-11-05,948902
2023-11-04,864902
2023-11-03,1063224
2023-11-02,1033575
2023-11-01,1024717
2023-10-31,1000882
2023-10-30,1118929
2023-10-29,863120
2023-10-28,879319
2023-10-27,1182259
2023-10-26,1068962
2023-10-25,1143322
2023-10-24,1145805
2023-10-23,1167665
2023-10-22,930094
2023-10-21,913666
2023-10-20,1060316
2023-10-19,1191644
2023-10-18,1882696
2023-10-17,1220060
2023-10-16,1228375
2023-10-15,1040214
2023-10-14,965710
2023-10-13,1086031
2023-10-12,1227798
2023-10-11,1313273
2023-10-10,1300810
2023-10-09,1358912
2023-10-08,1221573
2023-10-07,1103665
