date,page_title,event_label,file_name,page,total_events
2024-01-04,Brochures - Capitol Reef National Park (U.S. National Park Service),file_download,/care/planyourvisit/upload/CARE_Unigrid-map-2021.pdf,www.nps.gov/care/planyourvisit/brochures.htm,62
2024-01-04,"Coyote Buttes North Daily Lottery (The Wave) Geofence Perimeter Map | Bureau of Land Management",file_download,/sites/default/files/docs/2022-01/cbn_application_geofence_public_20220104_450dpi_opt_508%20%281%29_1.pdf,www.blm.gov/arizona/public-room/map/coyote-buttes-north-daily-lottery-wave-geofence-perimeter-map,60
2024-01-04,"Cache River National Wildlife Refuge Public Use Regulations | FWS.gov",file_download,/sites/default/files/documents/cacherivervirtualhunt2023%202024_0.pdf,www.fws.gov/media/cache-river-national-wildlife-refuge-public-use-regulations,59
2024-01-04,"Recreational Passes | USGS Store",file_download,/assets/mod/storefiles/pass/2023/pass_brochure_2024_508.pdf,store.usgs.gov/recreational-passes,59
2024-01-04,Scenic Drives - Big Cypress National Preserve (U.S. National Park Service),file_download,/bicy/planyourvisit/upload/BICY-Loop-Road-Scenic-Road-FINAL-4.pdf,www.nps.gov/bicy/planyourvisit/scenic-drives.htm,59
2024-01-04,"Tectonic Plates of the Earth | U.S. Geological Survey",file_download,/assets/palladium/production/s3fs-public/thumbnails/image/eq-ed-plates.gif,www.usgs.gov/media/images/tectonic-plates-earth,57
2024-01-04,"Loess Bluffs Waterfowl Survey 12-19-2023.pdf | FWS.gov",file_download,/sites/default/files/documents/loess_bluffs_waterfowl_survey_20231219.pdf,www.fws.gov/media/loess-bluffs-waterfowl-survey-12-19-2023pdf,56
2024-01-04,Maps - Zion National Park (U.S. National Park Service),file_download,/zion/planyourvisit/upload/Map-Page.pdf,www.nps.gov/zion/planyourvisit/maps.htm,56
2024-01-04,Trip Planning Guide - Health & Safety (U.S. National Park Service),file_download,/subjects/healthandsafety/upload/Trip-Planning-Guide-Package-508c.pdf,www.nps.gov/subjects/healthandsafety/trip-planning-guide.htm,55
2024-01-04,"Hoover Dam | Bureau of Reclamation",file_download,/lc/hooverdam/images/2024_vc_map.pdf,www.usbr.gov/lc/hooverdam/,54
2024-01-04,"2023-2024 Junior Duck Stamp brochure, contest rules and regulations | FWS.gov",file_download,/sites/default/files/documents/junior-duck-stamp-brochure_1.pdf,www.fws.gov/media/2023-2024-junior-duck-stamp-brochure-contest-rules-and-regulations,52
2024-01-04,Brochures - Rocky Mountain National Park (U.S. National Park Service),file_download,/romo/planyourvisit/upload/ROMOmap1_small_2022.jpg,www.nps.gov/romo/planyourvisit/brochures.htm,52
2024-01-04,Latest Earthquakes,file_download,/earthquakes/feed/v1.0/summary/2.5_day.csv,earthquake.usgs.gov/earthquakes/map/,52
2024-01-04,Park Newspaper - Big Bend National Park (U.S. National Park Service),file_download,/bibe/learn/news/upload/Big-Bend-Paisano-Visitor-Guide-2022-2023.pdf,www.nps.gov/bibe/learn/news/newspaper.htm,52
2024-01-04,Brochures - Appalachian National Scenic Trail (U.S. National Park Service),file_download,/appa/planyourvisit/upload/APPA_Map.pdf,www.nps.gov/appa/planyourvisit/brochures.htm,51
