domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
earthquake.usgs.gov,/earthquakes/map/,20768357,2437922,1009015,8.5188771420906821,249.77482381772998,0.21425131731039795
earthquake.usgs.gov,/programs/earthquake-hazards,1136276,100775,60928,11.275385760357231,262.842216599176,0.00542793351525676
earthquake.usgs.gov,/,1127444,70959,47597,15.888668104116462,331.504259857819,0.0038191068081568228
www.nps.gov,/index.htm,1113375,257657,197744,4.3211517637789774,323.02687465175393,0.46529688694659954
www.usgs.gov,/,587837,331857,286082,1.7713563372175365,108.15165717476903,0.531707934441642
ers.cr.usgs.gov,/,552546,68857,56026,8.0245436193851027,451.66742069684238,0.013970983342289092
www.nps.gov,/media/webcam/view.htm,472651,189162,110636,2.4986572355970016,181.56933188806013,0.62131929245831619
www.nps.gov,/yose/index.htm,446859,121413,111350,3.680487262484248,314.19052419829529,0.27263966791035554
earthexplorer.usgs.gov,/,423939,228172,125134,1.8579799449538068,421.98747413987894,0.25298020791332854
www.nps.gov,/yell/index.htm,395852,127766,112719,3.0982655792620886,286.78892061518468,0.24468951051140367
earthquake.usgs.gov,/programs/earthquake-hazards/earthquakes,385908,27016,19043,14.284424045010365,255.84108999620702,0.0049970387918270654
www.nps.gov,/jotr/index.htm,311553,91317,85079,3.411774368408949,288.96654827419951,0.2805501713810134
store.usgs.gov,/recreational-passes,280102,54943,50473,5.0980470669603042,367.70875303810237,0.14697049669657644
www.nps.gov,/yell/learn/photosmultimedia/webcams.htm,263199,120904,37240,2.1769254946072918,228.15318465448308,0.33322305300072785
www.usgs.gov,/programs/earthquake-hazards,261227,182009,121853,1.4352422132971447,58.09660268228766,0.29355141778703253
www.nps.gov,/planyourvisit/passes.htm,256419,101329,84425,2.530558872583367,248.72261036552084,0.3827038656258327
www.nps.gov,/zion/index.htm,249858,67785,59429,3.6860367337906617,357.29488444509479,0.24188242236482999
www.nps.gov,/findapark/index.htm,238853,39000,33069,6.1244358974358972,472.73812278265478,0.16405128205128205
www.nps.gov,/ever/index.htm,223350,53716,49180,4.1579790006701911,372.17369540675713,0.17503164792613002
www.nps.gov,/seki/index.htm,212618,60275,52204,3.5274657818332642,331.166722945597,0.21942762339278307
