page_title,active_visitors
(other),9464
Latest Earthquakes,2049
Entrance Reservations - Yosemite National Park (U.S. National Park Service),992
NPS.gov Homepage (U.S. National Park Service),274
Yosemite National Park (U.S. National Park Service),192
Visitor Access Management Plan - Yosemite National Park (U.S. National Park Service),183
Webcams - Yellowstone National Park (U.S. National Park Service),165
Fees & Passes - Yosemite National Park (U.S. National Park Service),152
EarthExplorer,150
,147
"USGS.gov | Science for a changing world",134
Entrance Passes (U.S. National Park Service),129
Permits & Reservations - Yosemite National Park (U.S. National Park Service),110
Find a Park (U.S. National Park Service),109
National Park Service Air Quality Data,107
Yellowstone National Park (U.S. National Park Service),100
Places to Get Interagency Passes (U.S. National Park Service),96
Calendar - Yosemite National Park (U.S. National Park Service),93
"Earthquake Hazards Program | U.S. Geological Survey",91
Current Conditions - Yosemite National Park (U.S. National Park Service),90
Glacier National Park Webcams - Glacier National Park (U.S. National Park Service),87
EROS Registration System,86
"Search | U.S. Geological Survey",81
Plan Your Visit - Yosemite National Park (U.S. National Park Service),78
undefined,78
Photo Gallery (U.S. National Park Service),77
Webcam Home - Air (U.S. National Park Service),76
Campground Reservations - Yosemite National Park (U.S. National Park Service),73
National Park Service Air Quality Webcams,73
"Shopping cart | USGS Store",66
Webcams - Yosemite National Park (U.S. National Park Service),66
Campgrounds - Yosemite National Park (U.S. National Park Service),56
Interactive Water Cycle Diagram for Kids (Advanced),56
TNM Download v2,56
Requested Page Not Found (404),54
Every Kid Outdoors,52
Basic Information - Yosemite National Park (U.S. National Park Service),51
Grand Canyon National Park (U.S. National Park Service),51
The National Map - Advanced Viewer,51
Zion National Park (U.S. National Park Service),50
IPaC: Getting Started - Draw on Map,49
IPaC: Explore Location resources,48
Webcams - Mount Rainier National Park (U.S. National Park Service),48
"Wetlands Mapper | U.S. Fish & Wildlife Service",48
Advanced Search (U.S. National Park Service),46
Sequoia & Kings Canyon National Parks (U.S. National Park Service),44
Everglades National Park (U.S. National Park Service),43
Webcam (U.S. National Park Service),43
Webcams - Crater Lake National Park (U.S. National Park Service),43
"Front Page | USGS Store",42
Webcams - Grand Canyon National Park (U.S. National Park Service),42
IPaC: Home,40
California (U.S. National Park Service),39
Glacier National Park (U.S. National Park Service),39
IPaC: ESA Species list,39
"M 2.6 - 3 km ESE of Madison, Ohio",39
Video (U.S. National Park Service),38
"Volcano Hazards Program | U.S. Geological Survey",38
"Hydromet Pacific Northwest Region | Bureau of Reclamation",37
"Log in | USGS Store",37
West Entrance - Current Conditions at Gate Webcam (U.S. National Park Service),37
Great Smoky Mountains National Park (U.S. National Park Service),36
Acadia National Park (U.S. National Park Service),35
Gallery Item Display,35
Joshua Tree National Park (U.S. National Park Service),35
Search Earthquake Catalog,35
"Earthquakes | U.S. Geological Survey",33
Grand Canyon National Park Operations Update - Grand Canyon National Park (U.S. National Park Service),33
"The Science of Earthquakes | U.S. Geological Survey",33
Angels Landing Permits & Hiking - Zion National Park (U.S. National Park Service),31
Apgar Mountain Webcam (U.S. National Park Service),31
Lodging - Yosemite National Park (U.S. National Park Service),31
"M 3.0 - 33 km NNE of Amboy, Washington",31
"Search Entire FWS Site | U.S. Fish & Wildlife Service",31
"Hoover Dam | Bureau of Reclamation",30
Shenandoah National Park (U.S. National Park Service),30
Statue Of Liberty National Monument (U.S. National Park Service),30
Volunteer Community,30
Cave Tours - Mammoth Cave National Park (U.S. National Park Service),29
Current Conditions - Sequoia & Kings Canyon National Parks (U.S. National Park Service),29
Current Delays and Closures - Great Smoky Mountains National Park (U.S. National Park Service),29
"Quotations - Martin Luther King, Jr. Memorial (U.S. National Park Service)",29
"Recreational Passes | USGS Store",29
Rocky Mountain National Park (U.S. National Park Service),29
Camping at Brooks Camp - Katmai National Park & Preserve (U.S. National Park Service),28
Hot Springs National Park (U.S. National Park Service),28
"2024 Annual Pass | USGS Store",27
IPaC: My Projects,27
Mammoth Cave National Park (U.S. National Park Service),27
U.S. Fish and Wildlife Service,27
Carlsbad Caverns National Park (U.S. National Park Service),26
Fees & Passes - Washington Monument (U.S. National Park Service),26
IPaC: ESA Determination Keys,26
Learning About the Everglades - Everglades National Park (U.S. National Park Service),26
Maps - Great Smoky Mountains National Park (U.S. National Park Service),26
"Military Pass | USGS Store",26
Dry Tortugas National Park (U.S. National Park Service),25
Explore the map - Climate & Economic Justice Screening Tool,25
"How do I find, download, or order topographic maps? | U.S. Geological Survey",25
Hurricane Ridge Webcam (U.S. National Park Service),25
Maps - Yellowstone National Park (U.S. National Park Service),25
Pines Campgrounds - Yosemite National Park (U.S. National Park Service),25
Search For Soldiers - The Civil War (U.S. National Park Service),25
"Search for jobs, internships, and careers with the U.S. Fish and Wildlife Service | U.S. Fish & Wildlife Service",25
Webcams - Rocky Mountain National Park (U.S. National Park Service),25
"Free Entrance to National Parks for Current Military, Veterans, and Gold Star Families (U.S. National Park Service)",24
Frequently Asked Questions about Visiting Yosemite in 2024 - Yosemite National Park (U.S. National Park Service),24
"Lifetime Senior Pass | USGS Store",24
The Wild Life of Wildlife - Everglades National Park (U.S. National Park Service),24
Alcatraz Island - Golden Gate National Recreation Area,23
Alerts & Conditions - Grand Canyon National Park (U.S. National Park Service),23
Basic Information - Grand Canyon National Park (U.S. National Park Service),23
Current Conditions - Yellowstone National Park (U.S. National Park Service),23
"Home | Bureau of Land Management",23
Hurricane Ridge Webcam - Olympic National Park (U.S. National Park Service),23
vehicle reservations - Glacier National Park (U.S. National Park Service),23
Alerts & Conditions - Death Valley National Park (U.S. National Park Service),22
Entrance Fees by Park (U.S. National Park Service),22
Horsetail Fall - Yosemite National Park (U.S. National Park Service),22
Maps - Yosemite National Park (U.S. National Park Service),22
Plan Your Visit - Grand Canyon National Park (U.S. National Park Service),22
Plan Your Visit - Yellowstone National Park (U.S. National Park Service),22
Work for Us (U.S. National Park Service),22
"All Products | USGS Store",21
Arches National Park (U.S. National Park Service),21
Big Bend National Park (U.S. National Park Service),21
Bryce Canyon National Park (U.S. National Park Service),21
Fees & Passes - Grand Canyon National Park (U.S. National Park Service),21
First-Time Visitor's Guide - Joshua Tree National Park (U.S. National Park Service),21
Key Hiking Messages - Grand Canyon National Park (U.S. National Park Service),21
Mount Rainier National Park (U.S. National Park Service),21
"Order Information | USGS Store",21
PEPC,21
Plan Your Visit (U.S. National Park Service),21
Plan Your Visit - Glacier National Park (U.S. National Park Service),21
Death Valley National Park (U.S. National Park Service),20
Florida (U.S. National Park Service),20
Half Dome Permits for Day Hikers - Yosemite National Park (U.S. National Park Service),20
"Water Properties Information by Topic | U.S. Geological Survey",20
Camping - Yellowstone National Park (U.S. National Park Service),19
Collection Item,19
Current Conditions - Zion National Park (U.S. National Park Service),19
Fees & Passes - Statue Of Liberty National Monument (U.S. National Park Service),19
Fees & Passes - Yellowstone National Park (U.S. National Park Service),19
"Order Complete | USGS Store",19
"Page not found | U.S. Department of the Interior",19
Road and Facility Closures - Blue Ridge Parkway (U.S. National Park Service),19
"SheerID | USGS Store",19
"The National Map | U.S. Geological Survey",19
What Happened at Valley Forge - Valley Forge National Historical Park (U.S. National Park Service),19
Zion Canyon Shuttle System - Zion National Park (U.S. National Park Service),19
Basic Information - Great Smoky Mountains National Park (U.S. National Park Service),18
Battle Unit Details - The Civil War (U.S. National Park Service),18
Brooks Camp - Katmai National Park & Preserve (U.S. National Park Service),18
"Buy a Duck Stamp or E-Stamp | U.S. Fish & Wildlife Service",18
Current Conditions - Glacier National Park (U.S. National Park Service),18
Interagency Senior Annual and Senior Lifetime Passes (U.S. National Park Service),18
"M 7.5 - 42 km NE of Anamizu, Japan",18
"Office of Natural Resources Revenue | Office of Natural Resources Revenue",18
"Payroll Schedule Calendars | U.S. Department of the Interior",18
"Topographic Maps | U.S. Geological Survey",18
U.S. Department of the Interior,18
Washington Monument (U.S. National Park Service),18
"Endangered Species | U.S. Fish & Wildlife Service",17
IPaC: Define project,17
Maps - Joshua Tree National Park (U.S. National Park Service),17
Multimedia Search (U.S. National Park Service),17
North Entrance - Roosevelt Arch Webcam (U.S. National Park Service),17
Petrified Forest National Park (U.S. National Park Service),17
"Review Order | USGS Store",17
Rock Layers - Zion National Park (U.S. National Park Service),17
Saguaro National Park (U.S. National Park Service),17
USGS Store,17
White Sands National Park (U.S. National Park Service),17
Alaska (U.S. National Park Service),16
Badlands National Park (U.S. National Park Service),16
Channel Islands National Park (U.S. National Park Service),16
Cuyahoga Valley National Park (U.S. National Park Service),16
Guided Tours & Other Services - Everglades National Park (U.S. National Park Service),16
"How many active volcanoes are there on Earth? | U.S. Geological Survey",16
Katmai National Park & Preserve (U.S. National Park Service),16
"Lodging, Restaurants, and Services - Glacier National Park (U.S. National Park Service)",16
Mammals of the Everglades - Everglades National Park (U.S. National Park Service),16
Searchable Collection (U.S. National Park Service),16
Valley Forge National Historical Park (U.S. National Park Service),16
West Entrance - Heading into the Park Webcam (U.S. National Park Service),16
What's in a Name? - Everglades National Park (U.S. National Park Service),16
Alcatraz Island (U.S. National Park Service),15
Amphibians of the Everglades - Everglades National Park (U.S. National Park Service),15
Did You Feel It?,15
Eating & Sleeping - Yosemite National Park (U.S. National Park Service),15
"Endangered Species Act | U.S. Fish & Wildlife Service",15
Fees & Passes - Joshua Tree National Park (U.S. National Park Service),15
Fees & Passes - Zion National Park (U.S. National Park Service),15
Free Entrance Days in the National Parks (U.S. National Park Service),15
Habitats - Everglades National Park (U.S. National Park Service),15
Hurricane Ridge Parking Lot Webcam (U.S. National Park Service),15
Live View - Bright Angel Trailhead Webcam (U.S. National Park Service),15
Lodging - Grand Canyon National Park (U.S. National Park Service),15
Maps - Everglades National Park (U.S. National Park Service),15
Maps - Grand Canyon National Park (U.S. National Park Service),15
Operating Dates - Yellowstone National Park (U.S. National Park Service),15
Search,15
Totem Trail Virtual Tour,15
Utah (U.S. National Park Service),15
Yosemite High Sierra Webcam (U.S. National Park Service),15
Basic Information - Zion National Park (U.S. National Park Service),14
Change Password - EROS Registration System,14
Chiricahua National Monument (U.S. National Park Service),14
Crater Lake Webcam (U.S. National Park Service),14
Haleakalā National Park (U.S. National Park Service),14
Hawaiʻi Volcanoes National Park (U.S. National Park Service),14
Lake McDonald - 1 Webcam (U.S. National Park Service),14
Lincoln Memorial (U.S. National Park Service),14
Maps - Glacier National Park (U.S. National Park Service),14
Maps - Rocky Mountain National Park (U.S. National Park Service),14
Maps - Sequoia & Kings Canyon National Parks (U.S. National Park Service),14
"Maps | Bureau of Land Management",14
Muir Woods National Monument (U.S. National Park Service),14
National Register Database and Research - National Register of Historic Places (U.S. National Park Service),14
Plan Your Visit - Zion National Park (U.S. National Park Service),14
Soldier Details - The Civil War (U.S. National Park Service),14
South Entrance Station Webcam (U.S. National Park Service),14
Steel Visitor Center Webcam (U.S. National Park Service),14
Your Free Pass,14
Appalachian National Scenic Trail (U.S. National Park Service),13
Biscayne National Park (U.S. National Park Service),13
Calendar - Everglades National Park (U.S. National Park Service),13
"Careers and Internships | U.S. Fish & Wildlife Service",13
