date,screen_resolution,visits
2024-01-02,1512x982,5000
2024-01-02,360x760,4893
2024-01-02,384x857,4794
2024-01-02,3440x1440,4443
2024-01-02,2048x1152,4402
2024-01-02,1728x1117,4400
2024-01-02,360x740,4226
2024-01-02,800x600,3969
2024-01-02,412x846,3646
2024-01-02,834x1112,3567
2024-01-02,393x851,3449
2024-01-02,432x960,3285
2024-01-02,360x640,3233
2024-01-02,360x772,3159
2024-01-02,320x712,3106
2024-01-02,1024x768,3097
2024-01-02,1792x1120,2942
2024-01-02,1517x852,2484
2024-01-02,1280x960,2432
2024-01-02,2560x1080,2242
2024-01-02,800x1280,2107
2024-01-02,320x694,1875
2024-01-02,360x880,1845
2024-01-02,2240x1260,1837
2024-01-02,1368x912,1811
2024-01-02,432x984,1746
2024-01-02,360x720,1655
2024-01-02,385x824,1626
2024-01-02,1300x730,1596
2024-01-02,1707x1067,1520
2024-01-02,339x753,1518
2024-01-02,1360x768,1484
2024-01-02,1707x960,1327
2024-01-02,448x998,1290
2024-01-02,1504x1003,1283
2024-01-02,1710x1107,1159
2024-01-02,376x835,1075
2024-01-02,601x962,1031
2024-01-02,744x1133,1026
2024-01-01,390x844,169308
2024-01-01,1920x1080,82268
2024-01-01,393x852,66450
2024-01-01,414x896,65578
2024-01-01,375x812,61741
2024-01-01,428x926,61741
2024-01-01,430x932,54230
2024-01-01,1440x900,53485
2024-01-01,1536x864,45862
2024-01-01,412x915,43439
2024-01-01,375x667,38539
2024-01-01,1366x768,33825
2024-01-01,360x800,31838
2024-01-01,360x780,26827
2024-01-01,1280x720,22178
2024-01-01,768x1024,19816
2024-01-01,810x1080,18611
2024-01-01,412x892,17952
2024-01-01,2560x1440,13600
2024-01-01,320x693,13476
2024-01-01,384x854,13111
2024-01-01,1280x800,11589
2024-01-01,384x824,11261
2024-01-01,820x1180,10868
2024-01-01,412x883,10273
2024-01-01,1024x1366,10123
2024-01-01,384x832,10108
2024-01-01,1600x900,9822
2024-01-01,385x854,9746
2024-01-01,393x873,9597
2024-01-01,412x869,9131
2024-01-01,414x736,8048
2024-01-01,834x1194,7547
2024-01-01,320x568,7502
2024-01-01,360x760,6700
2024-01-01,384x857,6159
2024-01-01,360x740,5863
2024-01-01,1680x1050,5779
2024-01-01,393x851,5724
2024-01-01,412x846,5493
2024-01-01,834x1112,5217
2024-01-01,1470x956,4863
2024-01-01,432x960,4672
2024-01-01,1512x982,4539
2024-01-01,360x640,4513
2024-01-01,360x772,4089
2024-01-01,320x712,4051
2024-01-01,1920x1200,3972
2024-01-01,800x600,3791
2024-01-01,1024x768,3744
2024-01-01,1728x1117,3577
2024-01-01,1280x1024,3516
2024-01-01,1536x960,3328
2024-01-01,2048x1152,3190
2024-01-01,800x1280,2779
2024-01-01,320x694,2563
2024-01-01,360x880,2459
2024-01-01,385x824,2427
2024-01-01,1792x1120,2415
2024-01-01,360x720,2349
2024-01-01,432x984,2308
2024-01-01,448x998,2056
2024-01-01,339x753,1995
2024-01-01,3440x1440,1967
2024-01-01,1368x912,1736
2024-01-01,1360x768,1649
2024-01-01,744x1133,1647
2024-01-01,2240x1260,1591
2024-01-01,376x835,1586
2024-01-01,1707x1067,1469
2024-01-01,601x962,1439
2024-01-01,360x804,1328
2024-01-01,339x735,1305
2024-01-01,345x883,1220
2024-01-01,2560x1080,1199
2024-01-01,360x820,1149
2024-01-01,1710x1107,1099
2024-01-01,1707x960,1098
2024-01-01,412x938,1049
2024-01-01,412x877,1043
2024-01-01,412x960,1003
2023-12-31,390x844,108356
2023-12-31,1920x1080,42923
2023-12-31,393x852,38939
2023-12-31,414x896,38832
2023-12-31,1440x900,36632
2023-12-31,428x926,35802
2023-12-31,375x812,35426
2023-12-31,430x932,31009
2023-12-31,1536x864,24790
2023-12-31,412x915,23016
2023-12-31,375x667,22932
2023-12-31,1366x768,18159
2023-12-31,360x800,16673
2023-12-31,360x780,14768
2023-12-31,1280x720,12568
2023-12-31,810x1080,10987
2023-12-31,768x1024,10745
2023-12-31,412x892,9900
2023-12-31,320x693,8015
2023-12-31,1280x800,6602
2023-12-31,384x854,6507
2023-12-31,2560x1440,6434
2023-12-31,384x824,6262
2023-12-31,820x1180,6203
2023-12-31,1024x1366,5501
2023-12-31,1600x900,5474
2023-12-31,385x854,5412
2023-12-31,412x883,5192
2023-12-31,384x832,5173
2023-12-31,412x869,4635
2023-12-31,414x736,4224
2023-12-31,834x1194,4209
2023-12-31,320x568,4203
2023-12-31,360x760,3645
2023-12-31,384x857,3385
2023-12-31,1680x1050,3142
2023-12-31,393x873,2992
2023-12-31,360x740,2963
