date,mobile_device,visits
2024-01-01,SM-N960U,1428
2024-01-01,Pixel 4a,1408
2024-01-01,SM-G965U,1339
2024-01-01,SM-A528B,1294
2024-01-01,Moto G Stylus 5G,1243
2024-01-01,SM-G950U,1217
2024-01-01,Moto G Power (2021),1208
2024-01-01,Edge 5G UW,1191
2024-01-01,SM-G990U2,1186
2024-01-01,Pixel 5,1181
2024-01-01,SM-A536U,1144
2024-01-01,moto g pure,1125
2024-01-01,Moto G Power (2022),1114
2024-01-01,SM-G991B,1114
2024-01-01,SM-N975U,1109
2024-01-01,KFTRWI,1105
2024-01-01,SM-A037U,1080
2024-01-01,SM-G780F,1079
2024-01-01,SM-N981U,1078
2024-01-01,Moto G 5G (2022),1040
2024-01-01,SM-G981U,1016
2023-12-31,iPhone,319380
2023-12-31,Chrome,97516
2023-12-31,Safari,78963
2023-12-31,Edge,32510
2023-12-31,Firefox,11105
2023-12-31,iPad,10838
2023-12-31,ChromeBook,8805
2023-12-31,SM-S908U,5314
2023-12-31,SM-S901U,5275
2023-12-31,SM-S918U,5176
2023-12-31,(not set),4755
2023-12-31,SM-G991U,4354
2023-12-31,SM-S911U,3881
2023-12-31,Pixel 7,3265
2023-12-31,SM-G998U,3002
2023-12-31,Pixel 6,2996
2023-12-31,Pixel 7 Pro,2715
2023-12-31,Pixel 6a,2664
2023-12-31,SM-S916U,2463
2023-12-31,SM-S906U,2452
2023-12-31,Firefox for Android,2071
2023-12-31,Pixel 6 Pro,1769
2023-12-31,SM-G996U,1701
2023-12-31,SM-G970U,1621
2023-12-31,SM-G973U,1601
2023-12-31,SM-A146U,1596
2023-12-31,SM-G781U,1527
2023-12-31,SM-G781V,1475
2023-12-31,SM-A326B,1402
2023-12-31,SM-G960U,1346
2023-12-31,Opera,1324
2023-12-31,SM-S918U1,1222
2023-12-31,Pixel 8 Pro,1191
2023-12-31,Pixel 7a,1078
2023-12-31,SM-G975U,1053
2023-12-31,SM-G990U,1033
2023-12-30,iPhone,394823
2023-12-30,Chrome,111814
2023-12-30,Safari,87735
2023-12-30,Edge,36065
2023-12-30,Firefox,13074
2023-12-30,iPad,11770
2023-12-30,ChromeBook,9176
2023-12-30,SM-S918U,6376
2023-12-30,SM-S901U,6198
2023-12-30,SM-S908U,6152
2023-12-30,(not set),5217
2023-12-30,SM-G991U,5011
2023-12-30,SM-S911U,4542
2023-12-30,Pixel 7,4004
2023-12-30,SM-G998U,3691
2023-12-30,Pixel 6,3423
2023-12-30,Pixel 6a,3265
2023-12-30,Pixel 7 Pro,3095
2023-12-30,SM-S916U,2885
2023-12-30,SM-S906U,2863
2023-12-30,Firefox for Android,2378
2023-12-30,Pixel 6 Pro,2019
2023-12-30,SM-G973U,1895
2023-12-30,SM-G781U,1876
2023-12-30,SM-G996U,1851
2023-12-30,SM-G970U,1811
2023-12-30,SM-G781V,1789
2023-12-30,SM-A146U,1786
2023-12-30,SM-A326B,1599
2023-12-30,SM-G960U,1590
2023-12-30,Opera,1525
2023-12-30,Pixel 8 Pro,1471
2023-12-30,SM-S918U1,1382
2023-12-30,SM-S908U1,1244
2023-12-30,Pixel 7a,1243
2023-12-30,SM-G990U,1232
2023-12-30,SM-G975U,1190
2023-12-30,SM-N986U,1156
2023-12-30,SM-G986U,1057
2023-12-30,Edge 5G UW,1008
2023-12-29,iPhone,366543
2023-12-29,Chrome,151026
2023-12-29,Safari,94391
2023-12-29,Edge,54894
2023-12-29,Firefox,14634
2023-12-29,iPad,10414
2023-12-29,ChromeBook,9079
2023-12-29,(not set),6891
2023-12-29,SM-S901U,5935
2023-12-29,SM-S908U,5753
2023-12-29,SM-S918U,5424
2023-12-29,SM-G991U,4807
2023-12-29,SM-S911U,4154
2023-12-29,Pixel 7,3712
2023-12-29,SM-G998U,3351
2023-12-29,Pixel 6,3317
2023-12-29,Pixel 6a,2910
2023-12-29,Pixel 7 Pro,2889
2023-12-29,SM-S906U,2676
2023-12-29,SM-S916U,2613
2023-12-29,Firefox for Android,2108
2023-12-29,Pixel 6 Pro,1961
2023-12-29,SM-G973U,1880
2023-12-29,SM-G996U,1809
2023-12-29,SM-A146U,1785
2023-12-29,SM-G970U,1736
2023-12-29,SM-G781U,1658
2023-12-29,SM-G781V,1599
2023-12-29,SM-G960U,1529
2023-12-29,Opera,1504
2023-12-29,SM-A326B,1459
2023-12-29,SM-S918U1,1302
2023-12-29,Pixel 8 Pro,1299
2023-12-29,Pixel 7a,1272
2023-12-29,SM-G990U,1202
2023-12-29,SM-S908U1,1147
2023-12-29,SM-G975U,1111
2023-12-29,SM-N986U,1059
2023-12-29,SM-A136U,1028
2023-12-28,iPhone,385928
2023-12-28,Chrome,170955
2023-12-28,Safari,99239
2023-12-28,Edge,64831
2023-12-28,Firefox,16046
2023-12-28,iPad,11380
2023-12-28,ChromeBook,9312
2023-12-28,(not set),8019
2023-12-28,SM-S901U,6370
2023-12-28,SM-S918U,5872
2023-12-28,SM-S908U,5849
2023-12-28,SM-G991U,5397
2023-12-28,SM-S911U,4660
2023-12-28,Pixel 7,3921
2023-12-28,Pixel 6,3666
2023-12-28,SM-G998U,3590
2023-12-28,Pixel 7 Pro,3262
2023-12-28,SM-S906U,3189
2023-12-28,Pixel 6a,3150
2023-12-28,SM-S916U,3048
2023-12-28,Firefox for Android,2421
2023-12-28,Pixel 6 Pro,2139
2023-12-28,SM-G970U,1971
2023-12-28,SM-G996U,1952
2023-12-28,SM-G973U,1951
2023-12-28,SM-A146U,1924
2023-12-28,SM-G781U,1851
2023-12-28,SM-G781V,1732
2023-12-28,SM-G960U,1667
2023-12-28,SM-A326B,1662
2023-12-28,Opera,1626
2023-12-28,SM-G990U,1383
2023-12-28,SM-S918U1,1381
2023-12-28,Pixel 8 Pro,1357
2023-12-28,Pixel 7a,1303
2023-12-28,SM-G975U,1295
2023-12-28,SM-S908U1,1269
2023-12-28,SM-N986U,1132
2023-12-28,SM-A136U,1130
2023-12-28,SM-G986U,1039
2023-12-27,iPhone,374692
2023-12-27,Chrome,170883
2023-12-27,Safari,96150
2023-12-27,Edge,64885
2023-12-27,Firefox,15245
2023-12-27,iPad,10777
2023-12-27,ChromeBook,8980
2023-12-27,(not set),7574
2023-12-27,SM-S901U,6296
2023-12-27,SM-S918U,5653
2023-12-27,SM-S908U,5562
2023-12-27,SM-G991U,5011
2023-12-27,SM-S911U,4387
2023-12-27,Pixel 7,3898
2023-12-27,Pixel 6,3460
2023-12-27,SM-G998U,3367
2023-12-27,Pixel 6a,3081
2023-12-27,Pixel 7 Pro,3048
2023-12-27,SM-S916U,2900
2023-12-27,SM-S906U,2877
2023-12-27,Firefox for Android,2262
2023-12-27,Pixel 6 Pro,2033
2023-12-27,SM-A146U,1901
2023-12-27,SM-G781U,1880
2023-12-27,SM-G973U,1829
2023-12-27,SM-G970U,1772
2023-12-27,SM-G996U,1768
2023-12-27,SM-G781V,1695
2023-12-27,Opera,1613
2023-12-27,SM-G960U,1564
2023-12-27,SM-A326B,1505
2023-12-27,SM-S918U1,1368
2023-12-27,Pixel 8 Pro,1328
2023-12-27,Pixel 7a,1285
2023-12-27,SM-G975U,1258
2023-12-27,SM-G990U,1231
2023-12-27,SM-S908U1,1133
2023-12-27,SM-N986U,1111
2023-12-27,SM-A136U,1036
2023-12-26,iPhone,360825
2023-12-26,Chrome,145213
2023-12-26,Safari,90539
2023-12-26,Edge,51444
2023-12-26,Firefox,14074
2023-12-26,iPad,10467
2023-12-26,ChromeBook,8196
2023-12-26,(not set),6898
2023-12-26,SM-S901U,5617
2023-12-26,SM-S908U,5211
2023-12-26,SM-S918U,5137
2023-12-26,SM-G991U,4219
2023-12-26,SM-S911U,3742
2023-12-26,Pixel 7,3641
2023-12-26,Pixel 6,3281
2023-12-26,SM-G998U,2992
2023-12-26,Pixel 6a,2971
2023-12-26,Pixel 7 Pro,2818
2023-12-26,SM-S916U,2565
2023-12-26,SM-S906U,2496
2023-12-26,Firefox for Android,2133
2023-12-26,Pixel 6 Pro,1759
2023-12-26,SM-G970U,1685
2023-12-26,SM-G781U,1664
2023-12-26,SM-G973U,1661
2023-12-26,SM-G996U,1591
2023-12-26,Opera,1564
2023-12-26,SM-A146U,1557
2023-12-26,SM-G781V,1447
2023-12-26,SM-G960U,1393
2023-12-26,SM-A326B,1377
2023-12-26,SM-S918U1,1326
2023-12-26,Pixel 8 Pro,1163
2023-12-26,SM-S908U1,1101
2023-12-26,SM-G990U,1086
2023-12-26,Pixel 7a,1048
2023-12-26,SM-G975U,1011
2023-12-25,iPhone,309066
2023-12-25,Chrome,91485
2023-12-25,Safari,65385
2023-12-25,Edge,27101
2023-12-25,Firefox,10183
2023-12-25,iPad,8921
2023-12-25,ChromeBook,6408
2023-12-25,(not set),5297
2023-12-25,SM-S908U,4695
2023-12-25,SM-S918U,4686
2023-12-25,SM-S901U,4649
2023-12-25,SM-G991U,3877
2023-12-25,SM-S911U,3414
2023-12-25,Pixel 7,3150
2023-12-25,SM-G998U,2757
2023-12-25,Pixel 6,2710
2023-12-25,Pixel 7 Pro,2642
2023-12-25,Pixel 6a,2587
2023-12-25,SM-S906U,2238
2023-12-25,SM-S916U,2128
2023-12-25,Firefox for Android,2097
2023-12-25,Pixel 6 Pro,1626
2023-12-25,SM-G970U,1546
2023-12-25,SM-G781U,1450
2023-12-25,SM-G973U,1412
2023-12-25,SM-A146U,1402
2023-12-25,SM-G996U,1395
2023-12-25,Opera,1332
2023-12-25,SM-G781V,1256
2023-12-25,SM-A326B,1252
2023-12-25,SM-S918U1,1205
2023-12-25,SM-G960U,1177
2023-12-25,Pixel 8 Pro,1154
2023-12-25,SM-S908U1,1040
2023-12-24,iPhone,284747
2023-12-24,Chrome,88513
2023-12-24,Safari,66693
2023-12-24,Edge,28463
2023-12-24,Firefox,10340
2023-12-24,iPad,8825
2023-12-24,ChromeBook,6434
2023-12-24,(not set),4759
2023-12-24,SM-S901U,4436
2023-12-24,SM-S908U,4432
2023-12-24,SM-S918U,4266
2023-12-24,SM-G991U,3696
2023-12-24,SM-S911U,3253
2023-12-24,Pixel 7,2998
2023-12-24,Pixel 6,2642
2023-12-24,SM-G998U,2564
2023-12-24,Pixel 6a,2446
2023-12-24,Pixel 7 Pro,2409
2023-12-24,SM-S906U,2027
2023-12-24,Firefox for Android,1992
2023-12-24,SM-S916U,1992
2023-12-24,Pixel 6 Pro,1651
2023-12-24,SM-A146U,1556
2023-12-24,SM-G973U,1452
2023-12-24,SM-G970U,1444
2023-12-24,SM-G996U,1440
2023-12-24,SM-G781U,1330
2023-12-24,Opera,1317
2023-12-24,SM-G781V,1266
2023-12-24,SM-G960U,1215
2023-12-24,SM-A326B,1207
2023-12-24,SM-S918U1,1152
2023-12-24,Pixel 8 Pro,1134
2023-12-24,SM-S908U1,1099
2023-12-23,iPhone,336956
2023-12-23,Chrome,96201
2023-12-23,Safari,71398
2023-12-23,Edge,30105
2023-12-23,Firefox,11559
2023-12-23,iPad,9570
2023-12-23,ChromeBook,7494
2023-12-23,(not set),5499
2023-12-23,SM-S908U,5318
2023-12-23,SM-S901U,5274
2023-12-23,SM-S918U,5152
2023-12-23,SM-G991U,4343
2023-12-23,SM-S911U,3643
2023-12-23,Pixel 7,3356
2023-12-23,SM-G998U,3123
