domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.nps.gov,13964155,9272360,30651241,2.1940761184618762,225.37764724812806,0.40792163936879816
earthquake.usgs.gov,4242336,1943518,30606723,7.214300564594601,225.21646311652336,0.28472520799861206
www.usgs.gov,2729130,1953009,4794586,1.7535372078281357,172.012242729256,0.42907263486898756
waterdata.usgs.gov,1586205,555643,2327928,1.4660192093707938,175.34394431188358,0.5294113938614492
www.fws.gov,1112690,785079,2278272,2.0440823589679065,195.33448313490499,0.39016168025236142
www.blm.gov,880020,662495,1407828,1.5990454762391764,162.33316598880094,0.48765255335106023
www.doi.gov,443869,367157,669445,1.5070527565565517,123.57201644816486,0.59832067569485592
earthexplorer.usgs.gov,304719,141610,509791,1.6686094401727494,382.89407301452974,0.33727795116156195
www.bia.gov,267411,206552,468545,1.75121442274252,179.64411721509825,0.52744277535329509
store.usgs.gov,258522,185029,991541,3.8288617603144028,303.25949387864034,0.37899675849637554
www.usbr.gov,185840,113601,332778,1.7901420576840292,182.846444913182,0.41745587602238482
apps.nationalmap.gov,124092,62994,135663,1.09322115849531,266.08402816670372,0.5576104825452084
ers.cr.usgs.gov,117299,80563,811070,6.9145687516517613,398.29415281455164,0.13367547890433848
home.nps.gov,107119,82634,199794,1.8470766157264351,182.83666859669091,0.27811125944043541
www.sciencebase.gov,94036,61847,179097,1.8708792377387384,221.51184535933913,0.470054021863967
nps.gov,74947,61389,178243,2.3563318078108528,189.6535117373605,0.25826250550388941
mrdata.usgs.gov,65776,45846,138584,2.040181829238628,284.49923614316958,0.36344563366577476
everykidoutdoors.gov,65214,44717,254850,3.9078725427055541,215.56218610067239,0.45438096114331278
water.usgs.gov,49180,37890,65568,1.3331842212281415,238.31980679951391,0.40697437982919887
www.volunteer.gov,46337,28946,194918,4.2057966635733859,316.80627533151943,0.35522368733409587
