source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
(direct),Direct,15561665,65003428,11547209,4.17715122385683,217.41350790092659,0.31523008624077181
google,Organic Search,6526638,18162166,4790029,2.7827751439561994,220.60078336039058,0.34619079532218577
bing,Organic Search,967205,4176715,594697,4.3183347894189961,320.23674469595687,0.29341349558780194
(not set),Unassigned,124164,1120683,106934,9.0258287426307149,593.12204488835732,0.99846976579362778
google,Paid Search,191122,751711,131094,3.9331474136938711,263.73828441798952,0.25658479923818295
yahoo,Organic Search,200827,587886,154387,2.9273255090202013,224.27071160520745,0.275470927713903
duckduckgo,Organic Search,116269,251050,90905,2.1592169881911776,171.07528465179024,0.35254453035632888
sfmc,Email,147802,244123,124141,1.6516894223352865,128.71919563899678,0.43663143935806009
govDelivery,Email,40947,113570,27916,2.7735853664493124,193.2459588139302,0.42198451657020053
hs_email,Email,27891,64323,21127,2.3062278154243305,175.84397925560216,0.44100247391631708
govdelivery,Email,25115,53075,18052,2.1132789169818835,169.33408353513835,0.43392394983077842
docusign,Unassigned,17845,44186,4706,2.4760997478285236,287.91744492877552,0.57814513869431217
google.sem,Paid Other,9955,26168,7874,2.6286288297338021,180.89415513581113,0.36223003515821195
instagram,Paid Social,4385,20524,3921,4.6805017103762827,195.56252877491448,0.03557582668187001
facebook,Paid Social,2982,16817,2395,5.6395036887994632,225.38467338430584,0.055331991951710263
Eloqua,Email,2957,16302,1163,5.5130199526547177,415.6489827331755,0.40277308082516061
aol,Organic Search,4906,15410,4092,3.1410517733387691,231.63371387586628,0.20077456176110883
ecosia.org,Organic Search,7918,15333,6090,1.9364738570346047,163.8883690039151,0.35652942662288456
SAMHSA,Email,7397,12160,7094,1.6439096931188319,26.962874454778966,0.5054751926456672
rt,Unassigned,7414,11434,5435,1.5422174264904236,68.86889756002158,0.39384947396816833
