date,language,visits
2024-01-01,(other),51
2024-01-01,Uzbek,48
2024-01-01,Malay,46
2024-01-01,Lithuanian,39
2024-01-01,Catalan,38
2024-01-01,Bengali,35
2024-01-01,Azerbaijani,28
2024-01-01,Estonian,24
2024-01-01,Bosnian,18
2024-01-01,Gujarati,18
2024-01-01,Latvian,17
2024-01-01,Marathi,17
2023-12-31,English,378020
2023-12-31,Spanish,19518
2023-12-31,Chinese,3439
2023-12-31,French,3076
2023-12-31,Russian,1958
2023-12-31,German,1311
2023-12-31,Portuguese,1262
2023-12-31,Arabic,996
2023-12-31,Turkish,891
2023-12-31,Dutch,546
2023-12-31,Italian,506
2023-12-31,Swedish,442
2023-12-31,Polish,416
2023-12-31,Korean,358
2023-12-31,Indonesian,334
2023-12-31,Japanese,333
2023-12-31,Vietnamese,266
2023-12-31,Norwegian Bokmål,261
2023-12-31,Romanian,210
2023-12-31,Czech,207
2023-12-31,Hungarian,207
2023-12-31,Finnish,196
2023-12-31,Hebrew,186
2023-12-31,Persian,173
2023-12-31,Danish,168
2023-12-31,Greek,163
2023-12-31,Slovak,101
2023-12-31,Hindi,100
2023-12-31,Croatian,94
2023-12-31,Thai,78
2023-12-31,Georgian,61
2023-12-31,Serbian,58
2023-12-31,Slovenian,54
2023-12-31,Ukrainian,52
2023-12-31,Bulgarian,49
2023-12-31,Uzbek,48
2023-12-31,(other),47
2023-12-31,Malay,44
2023-12-31,Lithuanian,43
2023-12-31,Panjabi,43
2023-12-31,Catalan,37
2023-12-31,Bengali,31
2023-12-31,Estonian,26
2023-12-31,Gujarati,20
2023-12-31,Azerbaijani,17
2023-12-31,Telugu,17
2023-12-31,Latvian,15
2023-12-31,Bosnian,11
2023-12-31,Central Khmer,11
2023-12-31,Marathi,11
2023-12-30,English,427840
2023-12-30,Spanish,26987
2023-12-30,Chinese,3559
2023-12-30,French,3542
2023-12-30,Russian,2752
2023-12-30,German,1633
2023-12-30,Portuguese,1586
2023-12-30,Arabic,1110
2023-12-30,Turkish,1091
2023-12-30,Dutch,786
2023-12-30,Italian,606
2023-12-30,Polish,570
2023-12-30,Swedish,527
2023-12-30,Japanese,405
2023-12-30,Korean,392
2023-12-30,Indonesian,375
2023-12-30,Vietnamese,298
2023-12-30,Danish,295
2023-12-30,Norwegian Bokmål,264
2023-12-30,Finnish,262
2023-12-30,Romanian,261
2023-12-30,Hungarian,259
2023-12-30,Czech,239
2023-12-30,Greek,191
2023-12-30,Hebrew,168
2023-12-30,Persian,142
2023-12-30,Hindi,134
2023-12-30,Croatian,108
2023-12-30,Slovak,108
2023-12-30,Ukrainian,106
2023-12-30,Thai,98
2023-12-30,Georgian,90
2023-12-30,Bulgarian,72
2023-12-30,Slovenian,68
2023-12-30,Serbian,62
2023-12-30,Uzbek,61
2023-12-30,Panjabi,60
2023-12-30,Lithuanian,51
2023-12-30,Malay,51
2023-12-30,(other),46
2023-12-30,Catalan,44
2023-12-30,Azerbaijani,33
2023-12-30,Latvian,29
2023-12-30,Estonian,28
2023-12-30,Bengali,25
2023-12-30,Bosnian,21
2023-12-30,Gujarati,20
2023-12-30,Marathi,15
2023-12-30,Tamil,15
2023-12-29,English,645199
2023-12-29,Spanish,34518
2023-12-29,Chinese,4604
2023-12-29,French,4099
2023-12-29,Russian,3422
2023-12-29,Portuguese,1885
2023-12-29,German,1776
2023-12-29,Turkish,1201
2023-12-29,Arabic,1160
2023-12-29,Italian,707
2023-12-29,Dutch,674
2023-12-29,Polish,541
2023-12-29,Swedish,539
2023-12-29,Japanese,430
2023-12-29,Korean,390
2023-12-29,Indonesian,380
2023-12-29,Vietnamese,310
2023-12-29,Romanian,299
2023-12-29,Norwegian Bokmål,292
