exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
nsopw.gov/search-public-sex-offender-registries,4546522,22313589,4135021,4.907837023553388,146.58588807004563,4546522
bop.gov/inmateloc/,2903893,3469806,2750707,1.194880803114991,11.246931963402233,2903893
acis.eoir.justice.gov/en/,1463543,4420008,456508,3.020073889185354,110.13254547355288,1463543
fbi.gov/,640736,752926,623124,1.1750955151575688,32.94592624731559,640736
bop.gov/mobile/find_inmate/byname.jsp,563120,1207034,329305,2.1434756357437137,85.15812260264242,563120
justice.gov/,556953,755840,417090,1.3570983547983402,96.10575757738984,556953
acis.eoir.justice.gov/es/,473984,1255332,190780,2.6484691466378614,83.89208918444504,473984
(other),360906,707647,347042,1.9607515530359705,98.78471679606324,360906
acis.eoir.justice.gov/en/caseinformation/,272650,725820,101991,2.6620942600403446,116.63468916192922,272650
bop.gov/mobile/find_inmate/,211172,404387,96062,1.9149650521849488,75.43366544807077,211172
nsopw.gov/,190471,461062,139917,2.4206414624798525,132.39883236818204,190471
nicsezcheckfbi.gov/,182209,217695,39749,1.1947543754699275,91.63525950968393,182209
usmarshals.gov/what-we-do/asset-forfeiture,152929,272202,132250,1.7799240170275095,182.8274689561823,152929
search.justice.gov/search,152564,310869,110711,2.037630109331166,92.31207231063685,152564
justice.gov/usao-ndny/pr/cornell-student-arrested-making-online-threats-jewish-students-campus,123735,133252,115533,1.0769143734594093,20.69980199620156,123735
bop.gov/,106333,139353,102189,1.310533888820968,25.4596127260587,106333
complaint.ic3.gov/,106279,186018,66566,1.750279923597324,265.36168010613574,106279
dea.gov/,100888,143352,87873,1.42090238680517,48.39306954246293,100888
acis.eoir.justice.gov/es/caseinformation/,98707,253531,43261,2.568520976222558,105.06563870850091,98707
dea.gov/factsheets/fentanyl,91595,104589,82318,1.141863638844915,39.91187291882745,91595
