date,browser,os,visits
2023-12-30,Firefox,Windows,6642
2023-12-30,Chrome,Chrome OS,3209
2023-12-30,Firefox,Android,1002
2023-12-30,(not set),(not set),902
2023-12-30,Opera,Android,841
2023-12-30,Opera,Windows,838
2023-12-30,Firefox,Macintosh,830
2023-12-30,Firefox,Linux,643
2023-12-30,Amazon Silk,Android,472
2023-12-30,Edge,Android,425
2023-12-30,UC Browser,Android,393
2023-12-30,Samsung Internet,Linux,155
2023-12-30,Mozilla Compatible Agent,Macintosh,126
2023-12-29,Chrome,Windows,190774
2023-12-29,Safari,iOS,183638
2023-12-29,Chrome,Android,108154
2023-12-29,Chrome,Linux,88113
2023-12-29,Edge,Windows,43978
2023-12-29,Chrome,iOS,24237
2023-12-29,Safari,Macintosh,21752
2023-12-29,Chrome,Macintosh,18175
2023-12-29,Safari (in-app),iOS,8338
2023-12-29,Samsung Internet,Android,8314
2023-12-29,Firefox,Windows,6905
2023-12-29,Android Webview,Android,6888
2023-12-29,Chrome,Chrome OS,4059
2023-12-29,Firefox,Linux,1183
2023-12-29,Firefox,Macintosh,1101
2023-12-29,Firefox,Android,1065
2023-12-29,(not set),(not set),965
2023-12-29,Opera,Windows,955
2023-12-29,Opera,Android,900
2023-12-29,Edge,Android,525
2023-12-29,Amazon Silk,Android,502
2023-12-29,UC Browser,Android,386
2023-12-29,Internet Explorer,Windows,359
2023-12-29,Mozilla Compatible Agent,Macintosh,159
2023-12-29,Samsung Internet,Linux,158
2023-12-29,Edge,Macintosh,142
2023-12-28,Chrome,Windows,269269
2023-12-28,Safari,iOS,197740
2023-12-28,Chrome,Android,119352
2023-12-28,Chrome,Linux,100269
2023-12-28,Edge,Windows,55533
2023-12-28,Chrome,iOS,26950
2023-12-28,Safari,Macintosh,22347
2023-12-28,Chrome,Macintosh,21909
2023-12-28,Safari (in-app),iOS,9083
2023-12-28,Samsung Internet,Android,8798
2023-12-28,Firefox,Windows,7959
2023-12-28,Android Webview,Android,7367
2023-12-28,Chrome,Chrome OS,4258
2023-12-28,Firefox,Linux,1427
2023-12-28,Firefox,Macintosh,1223
2023-12-28,Firefox,Android,1044
2023-12-28,(not set),(not set),1038
