date,browser,os,visits
2023-12-24,Samsung Internet,Android,398922
2023-12-24,Android Webview,Android,337471
2023-12-24,Firefox,Windows,234053
2023-12-24,Chrome,Chrome OS,180531
2023-12-24,Firefox,Android,53775
2023-12-24,Firefox,Macintosh,53469
2023-12-24,Amazon Silk,Android,43378
2023-12-24,Edge,Android,31947
2023-12-24,(not set),(not set),30984
2023-12-24,Internet Explorer,Windows,29788
2023-12-24,Opera,Windows,29560
2023-12-24,Firefox,Linux,27936
2023-12-24,Opera,Android,16067
2023-12-24,Mozilla Compatible Agent,Macintosh,11731
2023-12-24,Samsung Internet,Linux,10064
2023-12-24,Safari,Linux,6852
2023-12-24,Edge,Macintosh,5030
2023-12-24,YaBrowser,Windows,3698
2023-12-24,Mozilla Compatible Agent,(not set),3403
2023-12-24,UC Browser,Android,3055
2023-12-24,(not set),iOS,2200
2023-12-24,Opera Mini,(not set),2168
2023-12-24,Opera,Macintosh,1991
2023-12-24,Whale Browser,Android,1679
2023-12-24,Edge,Linux,1556
2023-12-24,YaBrowser,Android,1372
2023-12-24,Mozilla Compatible Agent,Linux,1285
2023-12-24,Samsung Internet,Tizen,1179
2023-12-24,Coc Coc,Windows,1014
2023-12-24,Opera,Linux,728
2023-12-24,Chrome,Fuchsia,642
2023-12-24,Opera Mini,Android,603
2023-12-24,Whale Browser,Windows,602
2023-12-24,Android Runtime,Android,582
2023-12-24,Firefox,OS/2,555
2023-12-24,YaBrowser,iOS,551
2023-12-24,Mozilla,Linux,532
2023-12-24,Android Browser,Android,490
2023-12-24,(not set),Android,445
2023-12-24,Firefox,Firefox OS,344
2023-12-24,Safari,Playstation 4,320
2023-12-24,Aloha Browser,iOS,317
2023-12-24,Safari,Windows,316
2023-12-24,Mozilla,Windows,279
2023-12-24,DuckDuckGo Browser,iOS,246
2023-12-24,PaleMoon,Windows,238
2023-12-24,UC Browser,iOS,233
2023-12-24,Aloha Browser,Android,194
2023-12-24,YaBrowser,Macintosh,186
2023-12-24,Phoenix Browser,Android,175
2023-12-24,Meta Quest Browser,Linux,168
2023-12-24,SeaMonkey,Windows,157
2023-12-24,Vivaldi,Windows,138
2023-12-24,(not set),Windows,113
2023-12-24,Iron,iOS,106
2023-12-23,Safari,iOS,12365542
2023-12-23,Chrome,Android,5632791
2023-12-23,Chrome,Windows,2770055
2023-12-23,Chrome,iOS,1554068
2023-12-23,Safari,Macintosh,1381752
2023-12-23,Edge,Windows,1217377
2023-12-23,Chrome,Linux,879094
2023-12-23,Safari (in-app),iOS,857724
2023-12-23,Chrome,Macintosh,743437
2023-12-23,Samsung Internet,Android,561677
2023-12-23,Android Webview,Android,416826
2023-12-23,Firefox,Windows,305581
2023-12-23,Chrome,Chrome OS,218807
2023-12-23,Internet Explorer,Windows,78980
2023-12-23,Firefox,Macintosh,69494
2023-12-23,Firefox,Android,67817
2023-12-23,Amazon Silk,Android,57368
2023-12-23,Edge,Android,43090
2023-12-23,Opera,Windows,36173
2023-12-23,(not set),(not set),35656
2023-12-23,Firefox,Linux,34070
2023-12-23,Opera,Android,18767
2023-12-23,Mozilla Compatible Agent,Macintosh,14403
2023-12-23,Samsung Internet,Linux,12237
2023-12-23,Safari,Linux,7324
2023-12-23,Edge,Macintosh,6130
2023-12-23,YaBrowser,Windows,3327
2023-12-23,UC Browser,Android,3186
2023-12-23,(not set),iOS,2799
2023-12-23,Opera,Macintosh,2207
2023-12-23,Opera Mini,(not set),2178
2023-12-23,Edge,Linux,2046
2023-12-23,YaBrowser,Android,1437
2023-12-23,Whale Browser,Android,1406
2023-12-23,Mozilla Compatible Agent,Linux,1381
2023-12-23,Mozilla Compatible Agent,(not set),1208
2023-12-23,Coc Coc,Windows,868
2023-12-23,Opera,Linux,785
2023-12-23,Samsung Internet,Tizen,752
2023-12-23,Android Browser,Android,725
2023-12-23,Lynx,(not set),670
2023-12-23,Android Runtime,Android,665
2023-12-23,(not set),Android,618
2023-12-23,Firefox,OS/2,584
2023-12-23,Opera Mini,Android,569
2023-12-23,Whale Browser,Windows,544
2023-12-23,YaBrowser,iOS,543
2023-12-23,Chrome,Fuchsia,512
2023-12-23,Mozilla,Linux,497
2023-12-23,Aloha Browser,iOS,447
2023-12-23,Firefox,Firefox OS,416
2023-12-23,Safari,Windows,409
2023-12-23,Mozilla,Windows,334
2023-12-23,Safari,Playstation 4,318
2023-12-23,DuckDuckGo Browser,iOS,307
2023-12-23,PaleMoon,Windows,301
2023-12-23,SeaMonkey,Windows,231
2023-12-23,UC Browser,iOS,226
2023-12-23,Meta Quest Browser,Linux,186
2023-12-23,Aloha Browser,Android,184
2023-12-23,Iron,iOS,182
2023-12-23,Phoenix Browser,Android,177
2023-12-23,YaBrowser,Macintosh,155
2023-12-23,Vivaldi,Windows,144
2023-12-23,(not set),Windows,128
2023-12-22,Safari,iOS,15317081
2023-12-22,Chrome,Android,6517874
2023-12-22,Chrome,Windows,6322343
2023-12-22,Edge,Windows,2788304
2023-12-22,Chrome,iOS,1792926
2023-12-22,Safari,Macintosh,1747607
2023-12-22,Chrome,Macintosh,1221264
2023-12-22,Safari (in-app),iOS,1033551
2023-12-22,Chrome,Linux,952799
2023-12-22,Samsung Internet,Android,660922
2023-12-22,Android Webview,Android,489859
2023-12-22,Firefox,Windows,489460
2023-12-22,Chrome,Chrome OS,329326
2023-12-22,Internet Explorer,Windows,111802
2023-12-22,Firefox,Macintosh,104169
2023-12-22,Firefox,Android,76910
2023-12-22,Amazon Silk,Android,62284
2023-12-22,Edge,Android,55646
2023-12-22,Opera,Windows,44061
2023-12-22,Firefox,Linux,40326
2023-12-22,(not set),(not set),34356
2023-12-22,Opera,Android,19770
2023-12-22,Mozilla Compatible Agent,Macintosh,17955
2023-12-22,Samsung Internet,Linux,14076
2023-12-22,Edge,Macintosh,10733
2023-12-22,Safari,Linux,7684
2023-12-22,(not set),iOS,5394
2023-12-22,YaBrowser,Windows,4393
2023-12-22,UC Browser,Android,3069
2023-12-22,Opera,Macintosh,2877
2023-12-22,Edge,Linux,2692
2023-12-22,Opera Mini,(not set),2225
2023-12-22,Mozilla Compatible Agent,Linux,1630
2023-12-22,YaBrowser,Android,1607
2023-12-22,Whale Browser,Android,1495
2023-12-22,Coc Coc,Windows,1099
2023-12-22,Whale Browser,Windows,996
2023-12-22,Opera,Linux,918
2023-12-22,Android Runtime,Android,813
2023-12-22,Lynx,(not set),792
2023-12-22,Samsung Internet,Tizen,762
2023-12-22,YaBrowser,iOS,661
2023-12-22,(not set),Android,651
2023-12-22,Opera Mini,Android,643
2023-12-22,Firefox,OS/2,612
2023-12-22,Chrome,Fuchsia,532
2023-12-22,Aloha Browser,iOS,482
2023-12-22,Safari,Windows,455
2023-12-22,Firefox,Firefox OS,449
2023-12-22,Android Browser,Android,446
2023-12-22,Mozilla,Linux,431
2023-12-22,Mozilla,Windows,399
2023-12-22,DuckDuckGo Browser,iOS,384
2023-12-22,Iron,iOS,373
2023-12-22,PaleMoon,Windows,368
2023-12-22,Safari,Playstation 4,367
2023-12-22,SeaMonkey,Windows,278
2023-12-22,Vivaldi,Windows,266
2023-12-22,UC Browser,iOS,242
2023-12-22,YaBrowser,Macintosh,241
2023-12-22,Mozilla Compatible Agent,(not set),222
2023-12-22,Chrome,(not set),220
2023-12-22,Aloha Browser,Android,195
2023-12-22,Meta Quest Browser,Linux,184
2023-12-22,Phoenix Browser,Android,180
2023-12-22,(not set),Windows,163
2023-12-22,Mozilla Compatible Agent,Tizen,149
2023-12-21,Safari,iOS,15983760
2023-12-21,Chrome,Windows,8002837
2023-12-21,Chrome,Android,6969224
2023-12-21,Edge,Windows,3598448
2023-12-21,Safari,Macintosh,1975356
2023-12-21,Chrome,iOS,1885276
2023-12-21,Chrome,Macintosh,1512411
2023-12-21,Safari (in-app),iOS,1078873
2023-12-21,Chrome,Linux,1022947
2023-12-21,Samsung Internet,Android,690219
2023-12-21,Firefox,Windows,560552
2023-12-21,Chrome,Chrome OS,524783
2023-12-21,Android Webview,Android,495622
2023-12-21,Firefox,Macintosh,119980
2023-12-21,Firefox,Android,76231
2023-12-21,Amazon Silk,Android,62887
2023-12-21,Edge,Android,56892
2023-12-21,Firefox,Linux,52592
2023-12-21,Opera,Windows,49270
2023-12-21,Internet Explorer,Windows,38439
2023-12-21,(not set),(not set),34725
2023-12-21,Opera,Android,22086
2023-12-21,Mozilla Compatible Agent,Macintosh,18993
2023-12-21,Samsung Internet,Linux,14537
2023-12-21,Edge,Macintosh,13613
2023-12-21,Safari,Linux,8559
2023-12-21,YaBrowser,Windows,4885
2023-12-21,(not set),iOS,4134
2023-12-21,Opera,Macintosh,3488
2023-12-21,UC Browser,Android,3076
2023-12-21,Edge,Linux,3055
2023-12-21,Opera Mini,(not set),2339
2023-12-21,Whale Browser,Android,1743
2023-12-21,Mozilla Compatible Agent,Linux,1704
2023-12-21,YaBrowser,Android,1520
2023-12-21,Whale Browser,Windows,1476
2023-12-21,Coc Coc,Windows,1377
2023-12-21,Opera,Linux,988
2023-12-21,YaBrowser,iOS,752
2023-12-21,Samsung Internet,Tizen,750
2023-12-21,(not set),Android,710
2023-12-21,Opera Mini,Android,691
2023-12-21,Android Runtime,Android,681
2023-12-21,Safari,Windows,657
2023-12-21,Firefox,OS/2,613
2023-12-21,Lynx,(not set),560
2023-12-21,Android Browser,Android,544
2023-12-21,Aloha Browser,iOS,532
2023-12-21,Chrome,Fuchsia,526
2023-12-21,Mozilla,Linux,476
2023-12-21,Mozilla,Windows,433
2023-12-21,Firefox,Firefox OS,431
2023-12-21,DuckDuckGo Browser,iOS,401
2023-12-21,Iron,iOS,381
2023-12-21,PaleMoon,Windows,364
2023-12-21,Safari,Playstation 4,319
2023-12-21,Chrome,(not set),300
2023-12-21,SeaMonkey,Windows,290
2023-12-21,UC Browser,iOS,273
2023-12-21,YaBrowser,Macintosh,239
2023-12-21,Aloha Browser,Android,236
2023-12-21,Mozilla Compatible Agent,(not set),222
2023-12-21,Phoenix Browser,Android,194
2023-12-21,(not set),Windows,187
2023-12-21,Vivaldi,Windows,178
2023-12-21,Meta Quest Browser,Linux,175
2023-12-21,Waterfox,Windows,118
2023-12-21,Firefox,FreeBSD,104
2023-12-20,Safari,iOS,16060631
2023-12-20,Chrome,Windows,8865961
2023-12-20,Chrome,Android,7262350
2023-12-20,Edge,Windows,3791102
2023-12-20,Safari,Macintosh,2143494
2023-12-20,Chrome,iOS,1920656
2023-12-20,Chrome,Macintosh,1744851
2023-12-20,Safari (in-app),iOS,1097284
2023-12-20,Chrome,Linux,1030958
2023-12-20,Samsung Internet,Android,706112
2023-12-20,Chrome,Chrome OS,651994
2023-12-20,Firefox,Windows,601760
2023-12-20,Android Webview,Android,526540
2023-12-20,Firefox,Macintosh,135283
2023-12-20,Firefox,Android,76927
2023-12-20,Amazon Silk,Android,63338
2023-12-20,Internet Explorer,Windows,62117
2023-12-20,Edge,Android,56885
2023-12-20,Opera,Windows,54137
2023-12-20,Firefox,Linux,52442
2023-12-20,(not set),(not set),39155
2023-12-20,Opera,Android,21505
2023-12-20,Mozilla Compatible Agent,Macintosh,19828
2023-12-20,Edge,Macintosh,14902
2023-12-20,Samsung Internet,Linux,14702
2023-12-20,Safari,Linux,8813
2023-12-20,YaBrowser,Windows,5225
2023-12-20,(not set),iOS,4187
2023-12-20,Edge,Linux,4096
2023-12-20,Opera,Macintosh,3510
2023-12-20,UC Browser,Android,3032
2023-12-20,Opera Mini,(not set),2370
2023-12-20,Whale Browser,Android,1956
