date,hour,visits
2023-12-27,(other),12122505
2023-12-27,0,38664
2023-12-27,5,32982
2023-12-27,1,32067
2023-12-27,4,31731
2023-12-27,6,31195
2023-12-27,3,30691
2023-12-27,2,30647
2023-12-27,7,24929
2023-12-27,11,21353
2023-12-27,8,18026
2023-12-27,10,15214
2023-12-27,9,14095
2023-12-27,12,570
