domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
tools.usps.com,40886504,30412621,74105043,1.812457308651285,198.28557498879243,0.68245587835046984
reg.usps.com,3562971,3216580,5207215,1.4614811627711817,206.72127241285145,0.38866861391799146
www.nsopw.gov,2898527,2881764,12749432,4.3985900424594977,103.26455984151984,0.10984234405958612
www.myhealth.va.gov,2817083,2773665,4192130,1.4881102189747337,54.749054323888579,0.87231792602489877
www.usps.com,2749912,2322387,4558822,1.6578065043535939,97.9986799753058,0.31367367392120182
www.gsaadvantage.gov,2603401,2708287,6172365,2.3708852381941927,13.129589251305502,0.0346193306371166
radar.weather.gov,2325787,2213035,16509539,7.0984741938965179,808.12682832847031,0.62909544167200182
www.usajobs.gov,2180162,1960250,5195485,2.3830729092608713,97.6231815300436,0.6285753077064915
informeddelivery.usps.com,1825875,1316558,5698878,3.1211764222632983,172.82939725285516,0.022021222701444514
www.irs.gov,1794027,1757431,3286059,1.8316664130472953,90.896883779638785,0.65643159216667313
forecast.weather.gov,1293432,946766,8531453,6.5959810797939129,641.88233770906459,0.63191184383871746
www.cdc.gov,1133358,1127344,3359653,2.9643351879988495,187.90738894911146,0.41838324695286044
www.weather.gov,1102928,851144,4936382,4.4757064831067845,535.71605989573288,0.42379466293357321
www.va.gov,1071955,1067253,1923129,1.794038928872947,66.27150359073282,0.72734769649845377
www.ssa.gov,1015593,1029811,1850052,1.8216470574334405,154.58511510328546,0.4910835344473623
www.fda.gov,999554,995619,2529457,2.5305856411959735,113.79095221038888,0.54677386114206938
sam.gov,792695,740031,4051988,5.1116608531654668,104.51996343492642,0.041775209885264827
www.cisa.gov,732147,734047,979314,1.3375920409425976,42.459897807354238,0.96839022764554117
www.nlm.nih.gov,699978,711480,740099,1.0573175156933503,3.7384277142538758,0.98892536622579563
www.time.gov,620243,293604,88713644,143.03046386658133,9427.3901586282045,0.10524745946346835
