date,browser,visits
2023-12-21,Iron,383
2023-12-21,Vivaldi,235
2023-12-21,Phoenix Browser,211
2023-12-21,Meta Quest Browser,178
2023-12-21,Waterfox,143
2023-12-21,Puffin,126
2023-12-20,Chrome,21099200
2023-12-20,Safari,18316154
2023-12-20,Edge,3857275
2023-12-20,Safari (in-app),1097284
2023-12-20,Firefox,873996
2023-12-20,Samsung Internet,715990
2023-12-20,Android Webview,526540
2023-12-20,Opera,80779
2023-12-20,Amazon Silk,63338
2023-12-20,Internet Explorer,62182
2023-12-20,(not set),44851
2023-12-20,Mozilla Compatible Agent,21835
2023-12-20,YaBrowser,8020
2023-12-20,Whale Browser,3953
2023-12-20,UC Browser,3262
2023-12-20,Opera Mini,3230
2023-12-20,Coc Coc,1574
2023-12-20,Lynx,1252
2023-12-20,Mozilla,945
2023-12-20,Android Runtime,913
2023-12-20,Aloha Browser,812
2023-12-20,SeaMonkey,505
2023-12-20,DuckDuckGo Browser,502
2023-12-20,PaleMoon,450
2023-12-20,Android Browser,381
2023-12-20,Iron,377
2023-12-20,Phoenix Browser,183
2023-12-20,Meta Quest Browser,152
2023-12-20,Waterfox,148
2023-12-20,Vivaldi,134
2023-12-19,Chrome,22058139
2023-12-19,Safari,18690837
2023-12-19,Edge,4138160
2023-12-19,Safari (in-app),1158074
2023-12-19,Firefox,885035
2023-12-19,Samsung Internet,719805
2023-12-19,Android Webview,529014
2023-12-19,Opera,82381
2023-12-19,Amazon Silk,64679
2023-12-19,(not set),41066
2023-12-19,Internet Explorer,39353
2023-12-19,Mozilla Compatible Agent,22715
2023-12-19,YaBrowser,8453
2023-12-19,Whale Browser,3795
2023-12-19,UC Browser,3364
2023-12-19,Opera Mini,3254
2023-12-19,Lynx,2871
2023-12-19,Coc Coc,1718
2023-12-19,Mozilla,891
2023-12-19,Android Runtime,865
2023-12-19,Aloha Browser,726
2023-12-19,PaleMoon,498
2023-12-19,SeaMonkey,475
2023-12-19,Iron,446
2023-12-19,DuckDuckGo Browser,444
2023-12-19,Android Browser,275
2023-12-19,Phoenix Browser,175
2023-12-19,Meta Quest Browser,155
2023-12-19,Waterfox,136
2023-12-19,Vivaldi,124
2023-12-18,Chrome,22924622
2023-12-18,Safari,18855496
2023-12-18,Edge,4341721
2023-12-18,Safari (in-app),1271024
2023-12-18,Firefox,944083
2023-12-18,Samsung Internet,741421
2023-12-18,Android Webview,583574
2023-12-18,Opera,87301
2023-12-18,Amazon Silk,73147
2023-12-18,(not set),40351
2023-12-18,Internet Explorer,24316
2023-12-18,Mozilla Compatible Agent,23829
2023-12-18,YaBrowser,8810
2023-12-18,Whale Browser,3959
2023-12-18,UC Browser,3257
2023-12-18,Opera Mini,3078
2023-12-18,Lynx,2671
2023-12-18,Coc Coc,1675
2023-12-18,Mozilla,926
2023-12-18,Android Runtime,766
2023-12-18,Aloha Browser,705
2023-12-18,PaleMoon,520
2023-12-18,DuckDuckGo Browser,470
2023-12-18,SeaMonkey,422
2023-12-18,Iron,397
2023-12-18,Android Browser,304
2023-12-18,Phoenix Browser,218
2023-12-18,Meta Quest Browser,154
2023-12-18,Waterfox,123
2023-12-18,Vivaldi,120
2023-12-17,Safari,12883410
2023-12-17,Chrome,12294074
2023-12-17,Edge,1406541
2023-12-17,Safari (in-app),871645
2023-12-17,Samsung Internet,543493
2023-12-17,Firefox,524199
2023-12-17,Android Webview,424162
2023-12-17,Opera,67181
2023-12-17,Amazon Silk,58467
2023-12-17,(not set),36368
2023-12-17,Mozilla Compatible Agent,20007
2023-12-17,Internet Explorer,8016
2023-12-17,YaBrowser,7011
2023-12-17,UC Browser,3082
2023-12-17,Opera Mini,3080
2023-12-17,Whale Browser,2944
2023-12-17,Coc Coc,1377
2023-12-17,Lynx,980
2023-12-17,Mozilla,753
2023-12-17,Android Runtime,662
2023-12-17,Aloha Browser,636
2023-12-17,Android Browser,412
2023-12-17,PaleMoon,412
2023-12-17,DuckDuckGo Browser,325
2023-12-17,Vivaldi,311
2023-12-17,SeaMonkey,302
2023-12-17,Phoenix Browser,210
2023-12-17,Meta Quest Browser,177
2023-12-17,Iron,135
2023-12-16,Safari,14640031
2023-12-16,Chrome,13176015
2023-12-16,Edge,1477708
