date,language,visits
2023-12-11,Georgian,1085
2023-12-11,Latvian,1053
2023-12-11,Azerbaijani,990
2023-12-11,Uzbek,948
2023-12-11,Bosnian,812
2023-12-11,Malay,757
2023-12-11,Albanian,692
2023-12-11,Bengali,654
2023-12-11,Central Khmer,501
2023-12-11,Marathi,436
2023-12-11,Icelandic,406
2023-12-11,Gujarati,404
2023-12-11,Panjabi,395
2023-12-11,Afrikaans,377
2023-12-11,Macedonian,365
2023-12-11,Amharic,327
2023-12-11,Burmese,324
2023-12-11,Tamil,315
2023-12-11,Basque,275
2023-12-11,Galician,261
2023-12-11,Telugu,235
2023-12-11,Mongolian,192
2023-12-11,Kannada,182
2023-12-11,Armenian,174
2023-12-11,Malayalam,166
2023-12-11,Urdu,165
2023-12-11,Corsican,164
2023-12-11,Norwegian,150
2023-12-11,Welsh,146
2023-12-11,Nepali,145
2023-12-11,Irish,134
2023-12-11,Tonga,101
2023-12-11,Samoan,98
2023-12-11,Somali,98
2023-12-11,Swahili,98
2023-12-11,Belarusian,97
2023-12-11,Kazakh,79
2023-12-11,Tagalog,77
2023-12-11,Pushto,74
2023-12-11,Lao,62
2023-12-11,Akan,61
2023-12-11,Maori,59
2023-12-11,Sinhala,58
2023-12-11,Tigrinya,57
2023-12-11,Gaelic,56
2023-12-11,Igbo,52
2023-12-11,Haitian,49
2023-12-11,Norwegian Nynorsk,49
2023-12-11,Yoruba,44
2023-12-11,Tibetan,39
2023-12-11,Esperanto,33
2023-12-11,Latin,33
2023-12-11,Kashmiri,32
2023-12-11,Yiddish,32
2023-12-11,Ido,31
2023-12-11,Oriya,24
2023-12-11,Kirghiz,20
2023-12-11,Aragonese,19
2023-12-11,Faroese,19
2023-12-11,Interlingua,18
2023-12-11,Oromo,18
2023-12-11,Assamese,17
2023-12-11,Uighur,17
2023-12-11,Luxembourgish,16
2023-12-11,Shona,15
2023-12-11,Kinyarwanda,13
2023-12-11,Maltese,13
2023-12-11,Wolof,13
2023-12-11,Tajik,11
2023-12-11,Twi,11
2023-12-11,Hausa,10
2023-12-11,Chichewa,9
2023-12-11,Northern Sami,9
2023-12-11,Sanskrit,9
2023-12-11,Zulu,9
2023-12-11,Ganda,8
2023-12-11,Western Frisian,8
2023-12-11,Breton,7
2023-12-11,Divehi,7
2023-12-11,Serbo-Croatian,7
2023-12-11,Javanese,6
2023-12-11,Kikuyu,6
2023-12-11,Ossetian,6
2023-12-11,Rundi,6
2023-12-11,Bambara,5
2023-12-11,Ewe,5
2023-12-11,Quechua,5
2023-12-11,Turkmen,5
2023-12-11,Xhosa,5
2023-12-11,Malagasy,4
2023-12-11,Manx,4
