source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,6443641,12108609,4460636,1.8791563651668366,228.8030575296892,0.43314982942097491
(direct),Direct,4441371,8871884,3079224,1.9975552594007571,199.2002507443564,0.550956900470598
bing,Organic Search,622487,1556821,313612,2.5009694981581942,330.46196882140032,0.40716512955290635
federalregister.gov,Email,260418,325220,241396,1.2488384059473616,36.622991443936293,0.63626170234008406
(not set),Unassigned,95784,232981,93024,2.432358222667669,281.72472856372673,0.99887246304184418
yahoo,Organic Search,80241,219865,54764,2.740058075048915,301.46439945566482,0.34689248638476589
duckduckgo,Organic Search,72557,177706,51081,2.4491916699973815,254.2285157452072,0.38233388921813194
govdelivery,Email,24591,27919,19622,1.1353340653084463,98.132959572567188,0.64194217396608511
newsletter,Email,8217,19976,6526,2.4310575635876841,217.32198651442133,0.52391383716684925
baidu,Organic Search,3790,11801,2615,3.1137203166226914,270.3743416226913,0.5949868073878628
ecosia.org,Organic Search,5736,11777,3405,2.0531729428172945,254.53954403277544,0.44194560669456068
google,Paid Search,7178,11274,6237,1.5706324881582614,130.97524351030927,0.624965171356924
email,Email,37,6872,18,185.72972972972974,2006.5610120810809,0.59459459459459463
aol,Organic Search,1828,6337,1420,3.4666301969365425,329.98466545459513,0.20733041575492342
hs_email,Email,3276,4247,2483,1.2963980463980465,150.16727995665445,0.61141636141636146
sfmc,Email,2693,2861,2076,1.0623839584106944,129.76723601188266,0.7007055328629781
link,Unassigned,697,2396,567,3.4375896700143471,87.983437707317066,0.72309899569583935
substack,Email,1843,2267,1585,1.2300596852957135,75.935685421052639,0.72490504612045581
FB,Organic Social,1546,1809,1518,1.1701164294954722,21.952162137774902,0.73091849935316944
sendgrid.com,Email,672,1473,507,2.1919642857142856,121.60162872172619,0.56101190476190477
