domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.ecfr.gov,3443146,1686317,6424573,1.8659019977659965,238.42642284966368,0.45934357706585777
www.archives.gov,3230910,2521811,4676526,1.4474330761302543,175.69582138684052,0.42664079160360396
www.federalregister.gov,2830728,2115092,3515301,1.2418363756602542,133.30578493467061,0.53802661364850313
www.jfklibrary.org,445852,392819,530578,1.1900316697020537,125.4232664560639,0.51971954819087951
obamawhitehouse.archives.gov,344598,279803,376688,1.0931230012942617,131.68864357166606,0.477849552231876
vetrecs.archives.gov,248070,141937,1103632,4.448873301890595,318.77932111754336,0.22780263635264239
trumpwhitehouse.archives.gov,236258,195505,261751,1.1079032244410771,116.53364857697937,0.5259589093279381
georgewbush-whitehouse.archives.gov,216312,177113,252572,1.1676282406893745,114.8368301124024,0.48302914308961131
www.reaganlibrary.gov,140915,115117,167149,1.186168967107831,151.62228580104315,0.44966114324238016
search.archives.gov,135367,121963,271969,2.0091233461626543,105.92653442823584,0.058123471747176192
founders.archives.gov,134623,94084,269704,2.00340209325301,197.95852189764756,0.4806162394241697
historyhub.history.gov,116821,101128,195286,1.6716686212239238,156.18554630344715,0.3238544439783943
prologue.blogs.archives.gov,75230,62427,71850,0.95507111524657717,136.24327983065271,0.43656785856706104
reagan.blogs.archives.gov,61942,53582,57976,0.93597236124116112,84.167142553679213,0.61526912272771306
aad.archives.gov,56857,41136,748702,13.168158713966617,398.16483089995955,0.18690750479272561
museum.archives.gov,48037,37939,65838,1.3705685200990902,136.30053311220527,0.33318067323105105
www.nixonlibrary.gov,41988,33299,52277,1.2450462036772412,148.0509889507002,0.41804801371820521
www.lbjlibrary.org,39170,33825,55335,1.4126882818483533,94.65636228320146,0.62831248404391116
clintonwhitehouse4.archives.gov,33652,30039,34963,1.0389575656721741,105.5821606233805,0.45762510400570544
1950census.archives.gov,32581,22501,238379,7.3165034836254259,449.55327892495626,0.28314048064823055
