domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
(other),(other),3702951,5593747,3991165,0.66198042206771235,81.23982051521601,0.40817362672998975
www.ecfr.gov,/,637144,128537,84099,4.9568917899126319,365.38538214654153,0.20198853248480983
www.archives.gov,/,410090,169526,134589,2.4190389674740156,165.44758042687846,0.36417422696223589
www.federalregister.gov,/,367888,103589,61892,3.5514195522690635,273.72730630210737,0.26722914595179026
vetrecs.archives.gov,/veterans/military-service-records,288652,43691,38772,6.60666956581447,458.970535514202,0.0075072669428486415
vetrecs.archives.gov,/VeteranRequest/pg/LANDING_1.htm,279580,89943,50201,3.1084131060782942,220.44950635370179,0.28234548547413363
www.archives.gov,/founding-docs/declaration-transcript,168794,151648,122777,1.1130644650770205,177.38591597484304,0.5124828550327073
www.federalregister.gov,/documents/search,167605,57610,43623,2.9093039402881442,225.72750421142163,0.533674709251866
www.ecfr.gov,/current/title-38/chapter-I/part-4,154849,108493,35422,1.4272718055542755,245.19384218863888,0.50513858036924042
www.archives.gov,/veterans/military-service-records,154588,82629,70435,1.870868581248714,146.60141473776761,0.24875043870795968
www.archives.gov,/founding-docs/constitution-transcript,151254,113476,91402,1.3329162113574677,231.5931394926416,0.421842504141845
vetrecs.archives.gov,/,116395,18179,14705,6.4027174212002862,464.59345247670387,0.0021453325265416139
www.ecfr.gov,/current/title-14,112028,21319,14663,5.2548430977062717,422.970184642291,0.13302687743327549
www.archives.gov,/research/military,101326,21926,20530,4.6212715497582781,207.84201676881329,0.062026817476967984
www.archives.gov,/founding-docs/bill-of-rights/what-does-it-say,98590,89472,72358,1.1019089771101573,192.6570784651735,0.49011981402002863
www.ecfr.gov,/search,96104,22476,13675,4.2758497953372485,428.55508695230463,0.26009966186154121
www.archives.gov,/electoral-college/allocation,89809,92041,81811,0.97574993752784089,113.17990721220978,0.50995751893178043
www.archives.gov,/publications/prologue/2005/winter/von-trapps-html,85152,86844,75243,0.98051678872460968,264.001661632905,0.52677214315324028
georgewbush-whitehouse.archives.gov,/history/presidents/chronological.html,85090,66766,62369,1.2744510679088159,115.71111533810623,0.45241590030854029
aad.archives.gov,/research/military/ww2,84114,4484,4357,18.758697591436217,412.65324224531668,0.0022301516503122213
