domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
travel.state.gov,17276289,10494566,40456027,2.3417721826718689,263.51350823277613,0.34532439229281242
www.state.gov,3680160,2987834,5173415,1.40733364853702,142.29920863910928,0.5224563605930177
pptform.state.gov,3033392,1873926,5519446,1.819576236767289,316.27860292166707,0.26819942823083859
history.state.gov,1645778,1262118,2362784,1.4386126196850364,199.14200257418105,0.46521037466778631
passportstatus.state.gov,1381517,722030,3990460,2.8884740470077457,179.91889672021344,0.21363255030520797
common.usembassy.gov,1263993,883785,1683428,1.3318356984571909,74.514788249114119,0.032394957883469293
www.usembassy.gov,730155,546662,1406731,1.9266703645116448,231.13132859271855,0.22619717731166669
in.usembassy.gov,706624,456452,1301312,1.8419753645503125,225.27808339348567,0.3564993546780183
mx.usembassy.gov,638799,433653,1034983,1.6206490617549496,193.66353662630891,0.26214192570746042
br.usembassy.gov,559334,372321,973114,1.740602216207132,248.88441182965724,0.34877014449327237
uk.usembassy.gov,511721,371898,1160561,2.2684353387881289,219.43451523164364,0.36674476912223652
jp.usembassy.gov,417804,310662,655481,1.5692932571253506,216.28608851772643,0.33195708992733436
share.america.gov,368693,313708,410752,1.1301190963755754,125.23652583092482,0.50253734136530936
china.usembassy-china.org.cn,363069,269755,610909,1.6842060324621491,201.22594327660795,0.51494894909782984
ca.usembassy.gov,345071,241598,716364,2.0766769737242479,209.77800199546621,0.34427697488342979
tr.usembassy.gov,254502,160481,464462,1.8259660041964307,216.20268112270276,0.38378873250504908
passportappointment.travel.state.gov,252912,164239,1275212,5.04216881761245,316.16943765954676,0.16186262415385588
co.usembassy.gov,247211,161109,419824,1.6990142024424479,196.55123305156661,0.22553608051421661
2009-2017.state.gov,231567,192579,278015,1.2136617048197713,147.97117551066552,0.44247237300651648
it.usembassy.gov,202805,149313,332280,1.6401469391780281,191.39944974612541,0.38892039150908508
