date,language,visits
2024-01-02,Telugu,21
2024-01-02,Afrikaans,18
2024-01-02,Tamil,18
2024-01-02,Tagalog,16
2024-01-02,Urdu,15
2024-01-02,Irish,13
2024-01-02,Marathi,11
2024-01-02,Somali,11
2024-01-01,English,834237
2024-01-01,Spanish,68965
2024-01-01,French,20185
2024-01-01,Chinese,20009
2024-01-01,Portuguese,15196
2024-01-01,Russian,10289
2024-01-01,Arabic,7137
2024-01-01,Turkish,6627
2024-01-01,German,6292
2024-01-01,Japanese,5147
2024-01-01,Korean,3089
2024-01-01,Italian,3004
2024-01-01,Polish,2445
2024-01-01,Vietnamese,2282
2024-01-01,Hebrew,1397
2024-01-01,Romanian,1253
2024-01-01,Ukrainian,1245
2024-01-01,Dutch,1210
2024-01-01,Indonesian,1045
2024-01-01,Hungarian,1044
2024-01-01,Thai,1039
2024-01-01,Swedish,939
2024-01-01,Czech,751
2024-01-01,Greek,614
2024-01-01,Norwegian Bokmål,558
2024-01-01,Persian,546
2024-01-01,Danish,518
2024-01-01,Bulgarian,357
2024-01-01,Slovak,323
2024-01-01,Finnish,299
2024-01-01,Croatian,298
2024-01-01,Serbian,291
2024-01-01,Uzbek,196
2024-01-01,Azerbaijani,153
2024-01-01,Lithuanian,127
2024-01-01,Catalan,120
2024-01-01,Georgian,119
2024-01-01,(other),111
2024-01-01,Albanian,101
2024-01-01,Hindi,95
2024-01-01,Bengali,82
2024-01-01,Slovenian,61
2024-01-01,Bosnian,59
2024-01-01,Latvian,52
2024-01-01,Estonian,47
2024-01-01,Burmese,43
2024-01-01,Amharic,40
2024-01-01,Macedonian,31
2024-01-01,Central Khmer,29
2024-01-01,Malay,28
2024-01-01,Panjabi,27
2024-01-01,Urdu,25
2024-01-01,Mongolian,24
2024-01-01,Tamil,23
2024-01-01,Afrikaans,22
2024-01-01,Gujarati,22
2024-01-01,Armenian,18
2024-01-01,Nepali,18
2024-01-01,Malayalam,14
2024-01-01,Marathi,14
2024-01-01,Somali,14
2024-01-01,Telugu,14
2024-01-01,Icelandic,12
2024-01-01,Irish,11
2023-12-31,English,624529
2023-12-31,Spanish,44503
2023-12-31,French,13874
2023-12-31,Chinese,13015
2023-12-31,Portuguese,9346
2023-12-31,Arabic,6766
2023-12-31,German,5846
2023-12-31,Russian,5569
2023-12-31,Japanese,4193
2023-12-31,Turkish,3830
2023-12-31,Italian,2413
2023-12-31,Polish,1712
2023-12-31,Korean,1647
2023-12-31,Hebrew,1406
2023-12-31,Vietnamese,1365
2023-12-31,Dutch,979
2023-12-31,Romanian,822
2023-12-31,Indonesian,740
2023-12-31,Hungarian,720
2023-12-31,Swedish,706
2023-12-31,Ukrainian,684
2023-12-31,Thai,621
2023-12-31,Greek,562
2023-12-31,Czech,503
2023-12-31,Persian,452
