source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,21854096,47572785,13604068,2.1768360951649521,254.54472894240502,0.340522664492734
(direct),Direct,12941785,27937861,8956217,2.158733204113652,231.38995260966252,0.45374745446628884
google,Paid Search,1297807,4839043,849397,3.7286306823741895,364.01872917100081,0.29356368088629509
bing,Organic Search,918761,2495723,506114,2.7164006743864837,372.34016677393032,0.29480572205394
(not set),Unassigned,234331,723395,222928,3.0870648783131553,366.79806478940895,0.99923185579372764
yahoo,Organic Search,243085,682213,146037,2.806479215089372,367.45387898034022,0.30795812164469216
duckduckgo,Organic Search,107437,258751,71353,2.4083974794530749,264.42758392716661,0.35161071139365396
QR Code,Unassigned,175927,237550,119504,1.350275966736203,141.1060318945074,0.67322241611577527
baidu,Organic Search,63346,144688,37811,2.2840905503109905,339.71428766880308,0.3334543617592271
(other),(other),539846,129915,511971,0.24065196370816863,26.105068929818877,0.37967123957573085
Facebook,Paid Social,37282,69244,34843,1.8573037927149831,79.926816226597282,0.603025588755968
ecosia.org,Organic Search,16392,37335,9969,2.277635431918009,265.26559593850658,0.34333821376281115
Instagram,Paid Social,18625,37314,16749,2.0034362416107383,75.663603837315435,0.57095302013422822
newsletter,Email,22025,35822,15328,1.6264245175936436,131.6505908983882,0.73961407491486941
Email,Referral,11814,33764,7635,2.8579651261215506,270.14867254579315,0.42381919756221431
naver,Organic Search,11662,31452,7130,2.6969645000857487,347.54435906045273,0.27679643285885785
kawo,Unassigned,11535,21435,6425,1.858257477243173,174.63309262713483,0.63302990897269185
yello_collect_form,Unassigned,8786,18739,5410,2.1328249487821536,229.07926737935352,0.535624857728204
DV360,Unassigned,15940,18240,14363,1.1442910915934756,62.550614641154326,0.78776662484316184
airline,Unassigned,4165,15677,3112,3.763985594237695,303.33867663649454,0.29603841536614645
