exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
dvprogram.state.gov/application.aspx,7263236,66159983,3788633,9.108885213147419,1132.927677415411,7263236
dvprogram.state.gov/,3458359,8349740,2405970,2.4143647319436763,241.89318286505247,3458359
travel.state.gov/content/travel/en/us-visas/visa-information-resources/photos/photo-examples.html,2025944,4000550,1412151,1.974659714187559,272.09662606666325,2025944
passportstatus.state.gov/searchresult,1493271,5132924,712408,3.43736937233764,122.10531511025125,1493271
travel.state.gov/content/travel/en/passports/have-passport/renew.html,1000469,2322243,729895,2.321154378596438,135.8739791038003,1000469
travel.state.gov/content/travel/en/us-visas/immigrate/diversity-visa-program-entry/diversity-visa-instructions.html,899203,1662852,749192,1.8492509477837595,151.46154427865565,899203
state.gov/,853557,1132368,806713,1.3266460236398976,69.27634709808484,853557
pptform.state.gov/nextsteps,795729,13361015,675156,16.790911227314826,1110.0503261788876,795729
(not set),765242,0,599185,0.0,62.658331612744725,0
travel.state.gov/content/travel/en/passports/need-passport/apply-in-person.html,724353,2237173,558568,3.0885120928608014,166.0985748661219,724353
travel.state.gov/content/travel/en/passports/how-apply/forms.html,715139,1531245,555890,2.1411851402314794,113.6892632061739,715139
travel.state.gov/content/travel/en/passports/how-apply/photos.html,665803,1356265,523609,2.0370364807608254,181.93275338200638,665803
common.usembassy.gov/en/visa-wizard/,630535,901061,434987,1.4290420040124656,53.984042122959075,630535
dvprogram.state.gov/esc/checkstatus.aspx,625426,3380322,501174,5.404831267008407,434.28209892137517,625426
pptform.state.gov/,559400,1652117,456371,2.953373257061137,58.60961387200572,559400
evisaforms.state.gov/make_barcode.asp,555053,1033583,472056,1.8621338863135593,178.1871641086527,555053
common.usembassy.gov/es/visa-wizard-es/,545549,771084,351972,1.413409244632471,44.32389757840267,545549
travel.state.gov/content/travel/en/us-visas/visa-information-resources/photos.html,516177,1043974,398499,2.0225116578228013,202.88416764016995,516177
travel.state.gov/content/travel/en/passports/need-passport/under-16.html,513193,1170937,352990,2.2816698590978444,147.14249999512853,513193
travel.state.gov/content/travel/en/us-visas/tourism-visit/visitor.html,498965,1658654,381750,3.3241890713777518,228.55693485515016,498965
