date,visits
2024-01-04,38031
2024-01-03,46932
2024-01-02,42597
2024-01-01,26794
2023-12-31,18003
2023-12-30,17775
2023-12-29,26109
2023-12-28,31958
2023-12-27,33225
2023-12-26,32180
2023-12-25,22680
2023-12-24,18799
2023-12-23,20876
2023-12-22,31454
2023-12-21,39435
2023-12-20,44094
2023-12-19,43694
2023-12-18,44794
2023-12-17,26886
2023-12-16,22986
2023-12-15,39140
2023-12-14,47247
2023-12-13,51198
2023-12-12,53249
2023-12-11,56032
2023-12-10,32368
2023-12-09,27214
2023-12-08,45281
2023-12-07,57207
2023-12-06,60377
2023-12-05,59525
2023-12-04,125615
2023-12-03,144226
2023-12-02,64903
2023-12-01,46942
2023-11-30,51610
2023-11-29,52507
2023-11-28,52564
2023-11-27,52703
2023-11-26,29971
2023-11-25,28126
2023-11-24,34762
2023-11-23,32538
2023-11-22,44581
2023-11-21,48979
2023-11-20,49160
2023-11-19,20584
2023-11-18,16608
2023-11-17,39327
2023-11-16,49702
2023-11-15,55758
2023-11-14,53708
2023-11-13,53168
2023-11-12,27866
2023-11-11,22602
2023-11-10,36473
2023-11-09,49293
2023-11-08,53956
2023-11-07,53853
2023-11-06,55732
2023-11-05,34265
2023-11-04,27078
2023-11-03,42964
2023-11-02,50670
2023-11-01,48831
2023-10-31,49198
2023-10-30,51638
2023-10-29,32412
2023-10-28,29696
2023-10-27,47760
2023-10-26,55095
2023-10-25,52431
2023-10-24,52870
2023-10-23,52452
2023-10-22,30694
2023-10-21,24692
2023-10-20,42112
2023-10-19,52091
2023-10-18,51664
2023-10-17,51221
2023-10-16,51322
2023-10-15,27915
2023-10-14,26387
2023-10-13,49810
2023-10-12,59823
2023-10-11,53160
2023-10-10,52537
2023-10-09,42313
2023-10-08,25798
2023-10-07,24963
