date,mobile_device,visits
2024-01-04,moto g stylus (2021),90
2024-01-04,SM-A136U1,87
2024-01-04,Pixel 4 XL,86
2024-01-04,LM-K500,85
2024-01-04,Moto G7 Power,84
2024-01-04,SM-F721U1,82
2024-01-04,SM-A716U1,80
2024-01-04,KFONWI,79
2024-01-04,CPH2451,78
2024-01-04,iPad Air (4th gen),78
2024-01-04,KB2007,77
2024-01-04,X100,77
2024-01-04,SM-G780F,76
2024-01-04,SM-A115U,73
2024-01-04,iPad (9th gen),73
2024-01-04,SM-S546VL,72
2024-01-04,SM-T227U,72
2024-01-04,iPhone 7,72
2024-01-04,iPhone 7 Plus,71
2024-01-04,LM-G900,70
2024-01-04,SM-A516V,69
2024-01-04,SM-T738U,67
2024-01-04,Pixel 3 XL,66
2024-01-04,Pixel 2 XL,64
2024-01-04,TMRV065G,64
2024-01-04,LE2127,63
2024-01-04,SM-A025U,62
2024-01-04,SM-A546E,62
2024-01-04,SM-T510,62
2024-01-04,T767W,61
2024-01-04,SM-P610,60
2024-01-04,SM-A037U1,59
2024-01-04,SM-A125U1,59
2024-01-04,KB2005,58
2024-01-04,SM-G950U1,58
2024-01-04,SM-P613,58
2024-01-04,iPad 6th gen,58
2024-01-04,T790W,57
2024-01-04,SM-A546V,56
2024-01-04,Pixel 2,55
2024-01-04,SM-A135F,55
2024-01-04,SM-A715F,55
2024-01-04,CPH2389,54
2024-01-04,SM-A515F,54
2024-01-04,SM-G892A,54
2024-01-04,SM-G998B,54
2024-01-04,SM-A505U1,53
2024-01-04,SM-S908B,53
2024-01-04,SM-T500,53
2024-01-04,NE2215,52
2024-01-04,SM-S515DL,52
2024-01-04,WTCELERO5G,51
2024-01-04,LM-G710VM,50
2024-01-04,SM-A326U,50
2024-01-04,SM-F916U,50
2024-01-04,SM-S127DL,50
2024-01-04,SM-S911B,50
2024-01-04,T602DL,50
2024-01-04,SM-S102DL,49
2024-01-04,A6013,48
2024-01-04,E7110,48
2024-01-04,HD1907,48
2024-01-04,SM-A528B,48
2024-01-04,SM-G975F,48
2024-01-04,SM-G991B,48
2024-01-04,SM-T220,48
2024-01-04,edge (2021),48
2024-01-04,iPad (7th gen),47
2024-01-04,5087Z,46
2024-01-04,SM-A127F,46
2024-01-04,SM-A325F,46
2024-01-04,SM-A515U1,46
2024-01-04,LE2115,45
2024-01-04,U616AT,45
2024-01-04,moto e,45
2024-01-04,B131DL,44
2024-01-04,Edge Plus,44
2024-01-04,NE2217,44
2024-01-04,SM-S326DL,44
2024-01-04,SM-S901B,44
2024-01-04,CPH2419,43
2024-01-04,SM-G930V,43
2024-01-04,SM-S908E,43
2024-01-04,SM-T580,43
2024-01-04,Edge Plus (2022),42
2024-01-04,SM-T733,42
2024-01-04,Nexus 5,41
2024-01-04,SM-A525F,41
2024-01-04,SM-G977U,41
2024-01-04,Volt SV55,41
2024-01-04,EC211001,40
2024-01-04,LM-Q720,40
2024-01-04,SM-A025V,40
2024-01-04,SM-A326U1,40
2024-01-04,SM-G990U3,40
2024-01-04,iPad Air (5th gen),40
2024-01-04,Moto G Fast,39
2024-01-04,SM-A135U1,39
2024-01-04,BE2025,38
2024-01-04,Moto Z3,38
2024-01-04,SM-A236V,38
2024-01-04,SM-G973F,38
2024-01-04,T779W,38
2024-01-04,SM-A115A,37
2024-01-04,SM-A346E,37
2024-01-04,Fire HD 10 Plus,36
2024-01-04,GM1915,36
2024-01-04,SM-A236U1,36
2024-01-04,G400 5G,35
2024-01-04,KSFUWI,35
2024-01-04,N156DL,35
2024-01-04,SM-A536E,35
2024-01-04,SM-A235F,34
2024-01-04,SM-S205DL,34
2024-01-04,V350C,34
2024-01-04,iPad (8th gen),34
2024-01-04,SM-A032F,33
2024-01-04,iPad Pro (12.9-inch) (5th generation),33
2024-01-04,Moto g(7),32
2024-01-04,SM-N970U1,32
2024-01-04,9032Z,31
2024-01-04,CPH2513,31
2024-01-04,E6910,31
2024-01-04,GM1917,31
2024-01-04,LE2125,31
2024-01-04,LM-G710,31
2024-01-04,LM-G900TM,31
2024-01-04,Edge Plus 2023,30
2024-01-04,IN2015,30
2024-01-04,KFKAWI,30
2024-01-04,LM-K920,30
2024-01-04,SM-A215DL,30
2024-01-04,SM-S916B,30
2024-01-04,SM-T970,30
2024-01-04,BE2026,29
2024-01-04,IN2019,29
2024-01-04,SM-G781B,29
2024-01-04,SM-G955U1,29
2024-01-04,TMRV06P5G,29
2024-01-04,moto g play (XT2093DL),29
2024-01-04,BE2015,28
2024-01-04,KFRAWI,28
2024-01-04,LM-X320,28
2024-01-04,Redmi Note 8 Pro,28
2024-01-04,SM-A125F,28
2024-01-04,VS996,28
2024-01-04,Redmi Note 9 Pro,27
2024-01-04,SM-A145F,27
2024-01-04,SM-A336E,27
2024-01-04,SM-A546B,27
2024-01-04,SM-J337V,27
2024-01-04,SM-N950U1,27
2024-01-04,SM-N975F,27
2024-01-04,Moto G7 Play,26
2024-01-04,SM-A042F,26
2024-01-04,SM-A205U1,26
2024-01-04,SM-F916U1,26
2024-01-04,SM-G970F,26
2024-01-04,SM-M315F,26
2024-01-04,SM-S124DL,26
2024-01-04,Stratus C7,26
2024-01-04,A509DL,25
2024-01-04,LM-G850,25
2024-01-04,LM-K300,25
2024-01-04,SM-A137F,25
2024-01-04,SM-J737V,25
2024-01-04,SM-S111DL,25
2024-01-04,SM-T870,25
2024-01-04,T430W,25
2024-01-04,LM-F100,24
