domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
usajobs.gov,20419284,134317193,8450374,6.577958022426252,301.95129697006024,20415482
opm.gov,4808304,14616922,3169349,3.03993299924464,210.7312938200247,4757048
securityawareness.usalearning.gov,279048,467756,188734,1.6762564146670107,150.54589174622288,276830
intelligencecareers.gov,156781,285835,126809,1.8231482131125583,218.64221429892652,155514
bil.usajobs.gov,67920,318422,54664,4.68819199057715,207.79500883392225,61450
forestservicecareers.usajobs.gov,44470,260642,36627,5.861074881942883,201.15842140769058,43836
dw.opm.gov,42991,163172,27094,3.7954920797376195,230.79460817380382,41724
intern.usajobs.gov,31557,143921,24110,4.5606679975916595,199.9403618848433,30184
ssai.usajobs.gov,31372,43704,13996,1.3930893790641337,166.2666071656254,7288
usda.usajobs.gov,29260,29603,21760,1.0117224880382776,15.939268626110731,26988
chcoc.gov,29207,38317,25404,1.3119115280583422,36.336871297976515,29180
dhs.usajobs.gov,28282,31689,22605,1.120465313627042,42.29478113287603,26909
hrmanagement.usajobs.gov,27992,158498,22262,5.6622606458988285,238.04676336096028,26302
ai.usajobs.gov,25562,81071,22922,3.1715436976762383,97.84887723965261,26223
pmf.gov,21786,61397,16188,2.818185991003397,115.7501147525934,21707
acquisitions.usajobs.gov,15211,94064,9982,6.183945828676616,303.3364670304385,14471
dhscs.usajobs.gov,15105,23529,11514,1.5576961271102283,134.4466070837471,13996
armycivilianservice.usajobs.gov,14894,16822,10589,1.1294480999060024,24.758560494158722,14841
nurse.usajobs.gov,14788,86854,11725,5.873275628888288,302.3112658912632,13626
irs.usajobs.gov,11619,36099,9480,3.106893880712626,174.34770634305877,12068
usastaffing.gov,11382,19674,6813,1.7285187137585662,99.94570374275172,11382
natsec.usajobs.gov,11302,64012,10801,5.66377632277473,308.78694036453726,10457
tech.usajobs.gov,10853,54531,9956,5.024509352252833,221.2824103934396,10246
intelligencecareers.usajobs.gov,10193,53053,8001,5.204846463259099,211.8921809084666,9295
doscareers.usajobs.gov,9850,45579,9031,4.627309644670051,223.3189847715736,9797
dod.usajobs.gov,9639,10035,8688,1.0410830999066294,42.59881730469966,9322
faa.usajobs.gov,8899,40536,7394,4.5551185526463644,148.3942015956849,9084
auditing.usajobs.gov,8450,35756,8292,4.231479289940828,263.99065088757396,6998
arscareers.usajobs.gov,7579,18168,5862,2.397150019791529,73.80089721599155,7473
informationtechnology.usajobs.gov,7077,45553,6892,6.436766991663134,289.12802034760495,6602
usms.usajobs.gov,6919,11487,7421,1.6602110131521897,17.579563520739992,8979
treasury.usajobs.gov,6787,6866,5704,1.0116398998084573,19.76189774569029,6391
cybersecurity.usajobs.gov,6496,26698,6575,4.109913793103448,238.098368226601,5414
gsa.usajobs.gov,6127,28494,5123,4.650563081442794,206.56210217071975,5862
hud.usajobs.gov,6100,6285,5070,1.030327868852459,15.29032786885246,6021
cfccharities.opm.gov,5836,35756,2852,6.126799177518849,265.382796435915,5915
dot.usajobs.gov,5466,25827,4991,4.725027442371021,139.41968532747896,5783
naturalresources.usajobs.gov,5466,31293,4489,5.725027442371021,236.1794731064764,4833
itmanagement.usajobs.gov,5387,37499,4859,6.961017263783182,299.6200111379246,5651
doj.usajobs.gov,5123,24110,3882,4.7062268202225255,148.88815147374586,4965
stem.usajobs.gov,4833,22341,5229,4.622594661700807,287.75046554934823,4436
uat.usajobs.gov,4780,20387,1928,4.265062761506276,126.73953974895397,4780
crossfunctional.usajobs.gov,4674,23265,5044,4.977535301668806,334.93581514762514,2984
dfc.usajobs.gov,4172,9375,3433,2.24712368168744,101.66754554170662,4014
state.usajobs.gov,4120,5678,4120,1.3781553398058253,61.36529126213592,4384
securityhub.usalearning.gov,3988,4621,3882,1.1587261785356069,26.817953861584755,3671
usasoc.usajobs.gov,3855,5915,3327,1.5343709468223088,49.753047989623866,3855
uscis.usajobs.gov,3855,3908,3195,1.0137483787289234,23.742671854734112,3565
sec.usajobs.gov,3829,9480,3248,2.4758422564638285,83.96735440062679,3723
mechanical.usajobs.gov,3803,16399,3644,4.31212200894031,285.26768340783593,3380
computerscience.usajobs.gov,3750,16901,3433,4.5069333333333335,268.0608,3275
othercyber.usajobs.gov,3486,24401,3961,6.999713138267355,234.78886976477338,3671
oshacareers.usajobs.gov,3459,10273,3433,2.969933506793871,147.03902862098872,3512
statistics.usajobs.gov,3142,9111,3142,2.8997453851050286,171.58147676639084,2905
fedscope.opm.gov,3063,5202,2403,1.6983349657198825,114.23408423114593,3275
general.usajobs.gov,3037,11170,3327,3.6779716825814948,238.12841620019756,2509
usace.usajobs.gov,3037,12966,2535,4.269344748106684,147.2976621666118,2878
opm.usajobs.gov,2773,6232,2562,2.247385503065272,139.16083663901912,2588
mathematics.usajobs.gov,2720,8741,2905,3.2136029411764704,167.21176470588236,2324
feb.gov,2588,5519,2245,2.132534775888717,95.96715610510046,2588
ncc.usajobs.gov,2377,2245,1875,0.9444678165755154,28.029448885149346,2086
reclamationcareers.usajobs.gov,2377,8001,1954,3.366007572570467,142.54732856541858,2403
economist.usajobs.gov,2324,11804,2403,5.079173838209983,244.11015490533563,1928
epa.usajobs.gov,2271,9480,1981,4.17437252311757,187.36415675913693,2192
my.usajobs.gov,2245,11831,2746,5.269933184855234,271.10913140311806,2033
uspto.usajobs.gov,2060,2905,2350,1.4101941747572815,32.29126213592233,2218
intel.usajobs.gov,1981,6417,2482,3.2392730943967694,102.12417970721857,1584
talent.usajobs.gov,1928,7156,1901,3.711618257261411,93.26192946058092,1901
nasai.usajobs.gov,1875,2007,1162,1.0704,48.89973333333333,1796
ssa.usajobs.gov,1875,2033,1664,1.0842666666666667,8.6336,1849
fcc.usajobs.gov,1822,2165,1584,1.1882546652030734,9.479143798024149,1875
mccjobs.usajobs.gov,1822,2799,1743,1.5362239297475302,29.813391877058177,1769
civil.usajobs.gov,1796,6945,1954,3.8669265033407574,307.37694877505567,1347
fisherybiologist.usajobs.gov,1664,3961,1690,2.3804086538461537,174.60036057692307,1215
cms.usajobs.gov,1505,1743,1479,1.158139534883721,24.75813953488372,1611
chemistry.usajobs.gov,1426,6206,1505,4.35203366058906,307.20476858345023,1320
dea.usajobs.gov,1400,1769,1347,1.2635714285714286,35.21642857142857,1426
physicalscience.usajobs.gov,1373,8847,1716,6.443554260742899,161.3685360524399,1320
don.usajobs.gov,1320,1743,1320,1.3204545454545455,38.73106060606061,1400
data-science.usajobs.gov,1268,1241,924,0.9787066246056783,517.3201892744479,607
dha.usajobs.gov,1268,1690,1109,1.332807570977918,74.3493690851735,1373
healthphysics.usajobs.gov,1268,4225,1611,3.332018927444795,595.1269716088328,1056
hhs-hrsa.usajobs.gov,1268,1294,396,1.0205047318611988,4.832018927444795,1136
hhs.usajobs.gov,1136,6813,1030,5.997359154929577,216.49031690140845,1136
lab.opm.gov,1136,4252,898,3.742957746478873,55.9762323943662,1347
mathematicalstatistics.usajobs.gov,951,2588,766,2.7213459516298633,185.76866456361725,871
airforce.usajobs.gov,924,1136,924,1.2294372294372293,34.63852813852814,977
ibccareers.usajobs.gov,924,1637,396,1.7716450216450217,13.48917748917749,951
actuary.usajobs.gov,871,1796,1320,2.0619977037887485,148.16647531572906,713
nist.usajobs.gov,739,2429,739,3.286874154262517,234.3085250338295,819
cybereffects.usajobs.gov,687,2614,1056,3.8049490538573507,135.76564774381367,739
dodea.usajobs.gov,687,3459,607,5.034934497816594,286.75400291120815,687
nlrbcareers.usajobs.gov,660,1162,607,1.7606060606060605,9.322727272727272,739
nasa.usajobs.gov,581,581,555,1.0,66.76936316695353,475
arpa-h-careers.usajobs.gov,555,1743,581,3.1405405405405404,50.15135135135135,502
fda.usajobs.gov,555,792,607,1.427027027027027,4.900900900900901,581
cedar.opm.gov,528,1347,475,2.5511363636363638,168.09848484848484,502
nih.usajobs.gov,528,713,502,1.3503787878787878,14.903409090909092,555
tfi.usajobs.gov,528,1400,502,2.6515151515151514,29.30871212121212,555
faai.usajobs.gov,502,713,396,1.4203187250996017,7.7848605577689245,502
navwar.usajobs.gov,423,449,211,1.0614657210401892,15.60756501182033,423
physics.usajobs.gov,423,1611,607,3.8085106382978724,281.4917257683215,423
test.usajobs.gov,423,1452,343,3.4326241134751774,407.16312056737587,423
uat.opm.gov,370,1981,185,5.354054054054054,337.22972972972974,343
dojoigcareers.usajobs.gov,343,1109,475,3.2332361516034984,326.97667638483966,423
cdc.usajobs.gov,317,343,264,1.0820189274447949,20.410094637223974,264
fsr5.usajobs.gov,317,634,290,2.0,36.65299684542587,317
navfac.usajobs.gov,317,449,370,1.416403785488959,27.574132492113566,343
local.cioa.opm.gov,290,1637,26,5.644827586206897,1267.651724137931,290
ncua.usajobs.gov,290,423,290,1.4586206896551723,97.16206896551724,317
nsf.usajobs.gov,290,317,290,1.0931034482758621,67.29310344827586,264
dev.opm.gov,264,1981,106,7.503787878787879,593.5681818181819,343
don-medical.usajobs.gov,264,792,264,3.0,64.81818181818181,264
feedback.opm.gov,264,396,264,1.5,112.83333333333333,264
help.test.usajobs.gov,264,4304,185,16.303030303030305,436.02272727272725,264
armychildcarejobs.usajobs.gov,238,607,238,2.5504201680672267,230.45378151260505,238
slst.usajobs.gov,238,951,238,3.995798319327731,144.2436974789916,211
usda-rd.usajobs.gov,238,449,317,1.8865546218487395,6.214285714285714,238
doe.usajobs.gov,211,343,106,1.6255924170616114,38.4218009478673,158
frtibrecruitment.usajobs.gov,211,634,158,3.004739336492891,270.2085308056872,185
