page_title,event_label,page,total_events
"Priority Mail Flat Rate® Envelope - EP14F | USPS.com",https://www.usps.com/ecp/asset/images/EP_14_F-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-envelope-p_ep_14_f,55
"Priority Mail Tyvek Envelope | USPS.com",https://www.usps.com/ecp/asset/images/EP_14-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-tyvek-envelope-p_ep_14,55
"Ruth Bader Ginsburg Stamp Portfolio | USPS.com",https://www.usps.com/ecp/asset/images/483325-L0.jpg,store.usps.com/store/product/stamp-collectors/ruth-bader-ginsburg-stamp-portfolio-s_483325,55
"Welcome | Postal Explorer",https://pe.usps.com/cpim/ftp/manuals/dmm300/dmmtoc.pdf,pe.usps.com/,55
"25lb Postage and Freight Scale | USPS.com",https://www.usps.com/ecp/asset/images/843031-L0.jpg,store.usps.com/store/product/shipping-supplies/usps-25lb-usb-postal-freight-scale-p_843031,44
"Florida Everglades Stamps | USPS.com",https://www.usps.com/ecp/asset/images/122304-L0.jpg,store.usps.com/store/product/buy-stamps/florida-everglades-stamps-s_122304,44
"Great Smoky Mountains Stamps | USPS.com",https://www.usps.com/ecp/asset/images/129204-L0.jpg,store.usps.com/store/product/buy-stamps/great-smoky-mountains-stamps-s_129204,44
"Hanukkah Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580704-L0.jpg,store.usps.com/store/product/buy-stamps/hanukkah-stamps-s_580704,44
"How to Prepare & Send a Package | USPS",https://www.usps.com/assets/transcripts/usps-how-to-address-a-package.txt,www.usps.com/ship/packages.htm,44
Manuals,https://about.usps.com/manuals/elm/elmc6.pdf,about.usps.com/manuals/elm/elm.htm,44
"Priority Mail Box - 7 | USPS.com",https://www.usps.com/ecp/asset/images/O_BOX7-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-box-7-p_o_box7,44
"Priority Mail Flat Rate® Large Box - LARGEFRB | USPS.com",https://www.usps.com/ecp/asset/images/LARGE_FRB-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-large-box-p_large_frb,44
"Priority Mail Flat Rate® Medium Box - 2 | USPS.com",https://www.usps.com/ecp/asset/images/O_FRB2-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-medium-box-2-p_o_frb2,44
"Priority Mail Shoe Box | USPS.com",https://www.usps.com/ecp/asset/images/0_SHOEBOX-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-shoe-box-p_0_shoebox,44
"Thank You Stamp | USPS.com",https://www.usps.com/ecp/asset/images/572904-L0.jpg,store.usps.com/store/product/buy-stamps/thank-you-stamps-s_572904,44
"Welcome | Postal Explorer",https://pe.usps.com/cpim/ftp/manuals/Imm/ImmTOC.pdf,pe.usps.com/,44
"Western Wear Stamp | USPS.com",https://www.usps.com/ecp/asset/images/683304-L0.jpg,store.usps.com/store/product/buy-stamps/western-wear-stamps-s_683304,44
"Women Cryptologists of World War II Stamps Stamp | USPS.com",https://www.usps.com/ecp/asset/images/482204-L0.jpg,store.usps.com/store/product/buy-stamps/women-cryptologists-of-world-war-ii-stamps-s_482204,44
"2023 Stamp Yearbook | USPS.com",https://www.usps.com/ecp/asset/images/992320-L0.jpg,store.usps.com/store/product/stamp-collectors/2023-stamp-yearbook-s_992320,33
"2023 White House Ornament | USPS.com",https://www.usps.com/ecp/asset/images/992318-L0.jpg,store.usps.com/store/product/stamp-gifts/2023-white-house-ornament-p_992318,33
"Every Door Direct Mail (EDDM) - Targeted Mail Marketing | USPS",https://www.usps.com/assets/images/business/eddm/eddm-retail-indicia.jpg,www.usps.com/business/every-door-direct-mail.htm,33
Forms - Resources - About.usps.com,https://about.usps.com/forms/ps1093.pdf,about.usps.com/resources/forms.htm,33
How to apply - Careers - About.usps.com,https://about.usps.com/video/HowTo_Create.mp4,about.usps.com/careers/how-to-apply/,33
"James Webb Space Telescope Stamps | USPS.com",https://www.usps.com/ecp/asset/images/482704-L0.jpg,store.usps.com/store/product/buy-stamps/james-webb-space-telescope-stamps-s_482704,33
"Kwanzaa Stamp | USPS.com",https://www.usps.com/ecp/asset/images/574904-L0.jpg,store.usps.com/store/product/buy-stamps/kwanzaa-stamps-s_574904,33
"Mariachi Stamp | USPS.com",https://www.usps.com/ecp/asset/images/482304-L0.jpg,store.usps.com/store/product/buy-stamps/mariachi-stamps-s_482304,33
"Pony Cars Stamp Portfolio | USPS.com",https://www.usps.com/ecp/asset/images/482425-L0.jpg,store.usps.com/store/product/stamp-gifts/pony-cars-stamp-portfolio-s_482425,33
"Priority Mail Flat Rate® APO/FPO Box - MILIFRB | USPS.com",https://www.usps.com/ecp/asset/images/MILI_FRB-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-apofpo-box-p_mili_frb,33
"Priority Mail® Forever Prepaid Small Box – PPSFRB | USPS.com",https://www.usps.com/ecp/asset/images/PPSFRB-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-forever-prepaid-small-box-p_ppsfrb,33
"Sailboats Postcard Stamps | USPS.com",https://www.usps.com/ecp/asset/images/122504-L0.jpg,store.usps.com/store/product/buy-stamps/sailboats-postcard-stamps-s_122504,33
Service alerts - Newsroom - About.usps.com,https://about.usps.com/newsroom/service-alerts/msureport.xlsx,about.usps.com/newsroom/service-alerts/,33
"Snow Globes First Day Cover | USPS.com",https://www.usps.com/ecp/asset/images/684516-L0.jpg,store.usps.com/store/product/cards-envelopes/snow-globes-first-day-cover-s_684516,33
"Snowman Greeting Cards | USPS.com",https://www.usps.com/ecp/asset/images/843479-L0.jpg,store.usps.com/store/product/cards-envelopes/snowman-greeting-cards-p_843479,33
"Soft Pink Velvet Love Stamp Cushion | USPS.com",https://www.usps.com/ecp/asset/images/843467-L0.jpg,store.usps.com/store/product/stamp-gifts/soft-pink-velvet-love-stamp-cushion-p_843467,33
"Stamps, Mailing Supplies & Collectibles | USPS",https://www.usps.com/stamp-collecting/assets/pdf/usa_philatelic_catalog.pdf,store.usps.com/store/home,33
"Tulip Blossoms Notecards | USPS.com",https://www.usps.com/ecp/asset/images/684266-L0.jpg,store.usps.com/store/product/cards-envelopes/tulip-blossoms-notecards-s_684266,33
"U.S. Flag 2023 Stamps | USPS.com",https://www.usps.com/ecp/asset/images/122704-L0.jpg,store.usps.com/store/product/buy-stamps/us-flag-2023-stamps-s_122704,33
"U.S. Flags 2022 Stamps | USPS.com",https://www.usps.com/ecp/asset/images/121704-L0.jpg,store.usps.com/store/product/buy-stamps/us-flags-2022-stamps-s_121704,33
"Welcome | Postal Explorer",https://pe.usps.com/cpim/ftp/manuals/Imm/immctry.pdf,pe.usps.com/,33
(not set),https://www.usps.com/ecp/asset/images/580804-L0.jpg,store.usps.com/store/product/buy-stamps/love-2023-stamps-s_580804,22
"2023 Mail Use Stamp Packet | USPS.com",https://www.usps.com/ecp/asset/images/992304-L0.jpg,store.usps.com/store/product/stamp-collectors/2023-mail-use-stamp-packet-s_992304,22
"2024 Promotion & Incentives Calendar | PostalPro",https://postalpro.usps.com/mnt/glusterfs/2023-07/CY%2024%20Calendar%20Approved%20Final-7-27-23.pdf,postalpro.usps.com/promotions/2024-cal,22
"Certified Mail Receipt | USPS.com",https://www.usps.com/ecp/asset/images/FORM_3800-L0.jpg,store.usps.com/store/product/shipping-supplies/certified-mail-receipt-form-p_form_3800,22
Compensation and Benefits - Careers - About.usps.com,https://about.usps.com/careers/job-application/background-check-requirement.pdf,about.usps.com/careers/working-usps/benefits.htm,22
"Elegant Lettering Greeting Cards | USPS.com",https://www.usps.com/ecp/asset/images/843504-L0.jpg,store.usps.com/store/product/cards-envelopes/elegant-lettering-greeting-cards-p_843504,22
"Every Door Direct Mail (EDDM) - Marketing por correo dirigido | USPS",https://www.usps.com/business/pdf/every-door-direct-mail-user-guide.pdf,www.usps.com/business/every-door-direct-mail.htm,22
"Every Door Direct Mail (EDDM) - Targeted Mail Marketing | USPS",https://www.usps.com/business/pdf/eddm-retail-facing-slip.pdf,www.usps.com/business/every-door-direct-mail.htm,22
Freedom of Information Act (FOIA) - Who We Are - About.usps.com,https://about.usps.com/who/legal/foia/documents/identity-certification_07-25-2017.pdf,about.usps.com/who/legal/foia/,22
"Frequently Asked Questions | Postal Explorer",https://pe.usps.com/cpim/ftp/manuals/dmm300/Notice123.pdf,pe.usps.com/faq/index,22
