domain,visits
tools.usps.com,56314713
reg.usps.com,14820264
www.usps.com,13300535
informeddelivery.usps.com,11170625
store.usps.com,1144420
faq.usps.com,1132023
about.usps.com,808805
postcalc.usps.com,358643
holdmail.usps.com,300836
pe.usps.com,232574
poboxes.usps.com,200097
emailus.usps.com,192177
gateway.usps.com,144939
es.usps.com,83576
onlineclaims.usps.com,60070
m.usps.com,59069
postalpro.usps.com,48446
retail-pi.usps.com,40541
es-tools.usps.com,39524
missingmail.usps.com,31377
