page_title,event_label,page,total_events
Manuals,https://about.usps.com/manuals/elm/elmc9.pdf,about.usps.com/manuals/elm/elm.htm,516
"PO Boxes | USPS",https://www.usps.com/pobox/customer-agreement-for-premium-po-box-service-enhancements.pdf,www.usps.com/manage/po-boxes.htm,516
"Priority Mail Box - 4 | USPS.com",https://www.usps.com/ecp/asset/images/O_BOX4-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-box-4-p_o_box4,516
"Priority Mail Flat Rate® Padded Envelope | USPS.com",https://www.usps.com/ecp/asset/images/EP14PE-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-padded-envelope-p_ep14pe,516
"U.S. Flags 2022 Stamps | USPS.com",https://www.usps.com/ecp/asset/images/121704-L0.jpg,store.usps.com/store/product/buy-stamps/us-flags-2022-stamps-s_121704,516
"Customs Form Envelope | USPS.com",https://www.usps.com/ecp/asset/images/FORM_2976_E-L0.jpg,store.usps.com/store/product/shipping-supplies/customs-form-envelope-form-p_form_2976_e,412
"Every Door Direct Mail (EDDM) - Targeted Mail Marketing | USPS",https://www.usps.com/business/pdf/every-door-direct-mail-user-guide.pdf,www.usps.com/business/every-door-direct-mail.htm,412
"Global: Poinsettia Stamp | USPS.com",https://www.usps.com/ecp/asset/images/565904-L0.jpg,store.usps.com/store/product/buy-stamps/global-poinsettia-stamps-s_565904,412
"James Webb Space Telescope Stamps | USPS.com",https://www.usps.com/ecp/asset/images/482704-L0.jpg,store.usps.com/store/product/buy-stamps/james-webb-space-telescope-stamps-s_482704,412
Manuals,https://about.usps.com/manuals/elm/elmc4.pdf,about.usps.com/manuals/elm/elm.htm,412
Manuals,https://about.usps.com/manuals/elm/elmc5.pdf,about.usps.com/manuals/elm/elm.htm,412
"Military Care Package Kit | USPS.com",https://www.usps.com/ecp/asset/images/MILITARYKIT-L0.jpg,store.usps.com/store/product/shipping-supplies/military-care-kit-p_militarykit,412
"Piñatas! Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684404-L0.jpg,store.usps.com/store/product/buy-stamps/piatas-stamps-s_684404,412
Postal exams - Careers - About.usps.com,https://about.usps.com/careers/global/pdf/vea-guide.pdf,about.usps.com/careers/how-to-apply/exams.htm,412
"Prices | Postal Explorer",https://pe.usps.com/cpim/ftp/manuals/dmm300/Notice123.pdf,pe.usps.com/businessmail101/index,412
"Priority Mail Flat Rate® Medium Box - 1 | USPS.com",https://www.usps.com/ecp/asset/images/O_FRB1-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-medium-box-1-p_o_frb1,412
