domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
tools.usps.com,235749595,353214537,88228844,1.4982614795160094,107.00593252344717,238923272
reg.usps.com,73618970,94090999,20951925,1.2780808940956387,38.27749857136007,64715705
usps.com,68787309,90354350,26635998,1.3135322679943766,47.143661238441524,64759894
informeddelivery.usps.com,40175607,96097636,10125541,2.3919398654014112,72.2204420458414,48264904
store.usps.com,6921374,26722609,4182961,3.8608821023108995,85.51458380951527,7454739
faq.usps.com,4352206,5851550,3782164,1.3445020754991837,88.18621981588187,4143633
about.usps.com,3401694,6598350,2631032,1.9397247371456692,102.99467588795464,3362807
holdmail.usps.com,1809995,3523215,1313307,1.9465330014723798,95.06834162525311,1839602
postcalc.usps.com,1229347,6334981,1030937,5.153126822613957,167.25736346206563,1409198
gateway.usps.com,1109594,1680520,300487,1.5145359473825561,52.881715294062516,1167924
emailus.usps.com,953606,1121525,643838,1.1760884474300708,73.31785454370043,855063
pe.usps.com,769778,1429966,694214,1.857634278973938,102.4644092192814,740613
poboxes.usps.com,764033,1335401,383563,1.7478315727200264,82.74845196477115,749451
es.usps.com,485199,605394,313744,1.2477230991819852,48.56919325884843,461778
m.usps.com,259833,402565,219179,1.54932206455685,97.00688519164233,231110
eddm.usps.com,243925,852412,80866,3.49456595264938,141.39315363328893,237297
retail-pi.usps.com,208574,489618,124172,2.347454620422488,132.4849166243156,188688
onlineclaims.usps.com,196642,574903,91472,2.9236022823201555,206.5690493383916,217411
es-tools.usps.com,171896,334513,92356,1.946019686321962,137.8846919067343,171455
postalpro.usps.com,160407,292975,141848,1.8264477236030847,123.92029649578883,144941
missingmail.usps.com,90146,117102,79099,1.2990260244492269,119.76008918864953,90588
uspsdelivers.com,75564,98984,72470,1.309935948335186,49.70159070456831,74238
servicerefunds.usps.com,58772,97658,38445,1.6616415980398829,127.40558429183965,46841
es-reg.usps.com,54795,110915,30049,2.024181038415914,138.95906560817593,52585
es-store.usps.com,35793,98542,22537,2.7531081496381975,54.469672841058305,34026
zh.usps.com,34910,46841,24746,1.341764537381839,64.06250358063592,34468
cfo.usps.com,34026,186479,48608,5.480485511079762,284.88126726620817,76448
internationalclaims.usps.com,22095,47283,12373,2.1399864222674814,151.99769178547183,17676
gab.usps.com,18560,168803,40212,9.094989224137931,580.8419719827587,34910
zh-tools.usps.com,16792,30049,12373,1.7894830871843734,43.63143163411148,14582
pfsr.usps.com,12815,15908,6628,1.2413577838470542,18.448146703082326,13257
printerdirectory.usps.com,11489,11931,10164,1.0384715815127514,31.57750892157716,9280
catpx-custreg.usps.com,9280,15024,2209,1.6189655172413793,535.08125,8838
prodpx-promotool.usps.com,8838,12815,7070,1.4499886852229011,107.99830278343516,7512
zh-store.usps.com,8396,12373,7070,1.4736779418770842,67.31550738446879,7512
programregistration.usps.com,7070,29607,4861,4.187694483734088,142.44342291371996,5303
loyalty.usps.com,6628,9280,5745,1.40012070006035,367.82211828605915,7954
zh-reg.usps.com,3535,4419,2651,1.2500707213578501,325.76350777934937,2651
cns.usps.com,3093,3093,1768,1.0,4.14322664080181,2651
stage-www.usps.com,2651,4419,2651,1.6669181440965672,172.19011693700492,1768
realmail.usps.com,884,5303,884,5.998868778280543,12.996606334841628,3535
cat-tools.usps.com,442,884,442,2.0,4.997737556561086,442
special.usps.com,442,884,442,2.0,54.98642533936651,442
stage-cns.usps.com,442,442,442,1.0,0.0,442
