exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
tools.usps.com/go/trackconfirmaction_input,115024340,159292922,50651784,1.3848627342699815,99.18079901175699,115024340
tools.usps.com/go/trackconfirmaction,104531519,172779040,37477254,1.6528894026690648,123.95482407559771,104531519
informeddelivery.usps.com/box/pages/secure/dashboardaction_input.action,32127099,67587932,6150010,2.1037670410266425,52.36189828406231,32127099
www.usps.com/manage/informed-delivery.htm,31935258,40404708,7561360,1.265206875735903,38.64751739284524,31935258
reg.usps.com/portal/login,26000501,29848580,4078359,1.1480001866117888,7.167538194744786,26000501
reg.usps.com/entreg/loginaction_input,25276525,33759658,15833415,1.3356131034626002,37.845285655366,25276525
tools.usps.com/go/trackconfirmaction.action,24814461,33234578,10999345,1.3393229858992304,89.61329722213189,24814461
www.usps.com/,23302116,30586828,14065244,1.3126201929472843,54.01829361762683,23302116
informeddelivery.usps.com/box/pages/secure/packagedashboardaction,11611508,28310496,4544269,2.4381411957861117,81.44846638352227,11611508
reg.usps.com/logout,9766644,10414028,3341646,1.06628520503051,19.456212287455138,9766644
informeddelivery.usps.com/box/pages/secure/dashboardaction_input,4538306,8814021,1528156,1.9421389831359983,62.20746948310669,4538306
tools.usps.com/go/trackconfirmaction!input.action,4473914,6181599,2037770,1.381698217712723,92.95044451010905,4473914
tools.usps.com/rcas.htm,3502245,4444122,822068,1.2689352115571584,61.53977377367946,3502245
tools.usps.com/zip-code-lookup.htm,3161849,4145492,1407218,1.3110973990219015,75.72788390590442,3161849
tools.usps.com/find-location.htm,3130410,3943719,2488870,1.2598090984886963,59.05749278848457,3130410
www.usps.com/root/global/server_responses/anyapp_outage_apology.htm,2161404,4135533,1610433,1.913354930406347,122.20196872033178,2161404
store.usps.com/store/myaccount/profile.jsp,2082397,3000789,1090262,1.4410263748939323,34.128519201669995,2082397
faq.usps.com/s/article/where-is-my-package,2074676,2705168,1671127,1.3038990184491457,39.4379435632359,2074676
www.usps.com/help/contact-us.htm,1779020,2547810,1223888,1.4321424154871782,70.06328428010927,1779020
reg.usps.com/login,1686499,2945067,1221242,1.7462607448922294,56.51976313060369,1686499
