source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,6661576,16363123,4358009,2.45634411436573,279.42526734482965,0.3933771828167989
(direct),Direct,5582706,15528656,4028930,2.7815643524842613,247.09337636862324,0.48818314989182665
bing,Organic Search,696864,2108945,377681,3.0263365592138496,382.167289446793,0.33948230931716949
(not set),Unassigned,72864,320809,67729,4.4028463987703121,351.92808851774538,0.998298199385156
yahoo,Organic Search,101574,283650,63239,2.7925453364049857,331.82745653247878,0.34796306141335381
duckduckgo,Organic Search,62282,143023,43730,2.2963777656465751,226.16274489820495,0.39884717896021321
CMRignite_Digital,Display,26676,27138,24878,1.01731893837157,9.6878346833483278,0.96318788424051582
dol_gov_agencies_eta_apprenticeship,Unassigned,3766,20612,2693,5.4731810939989378,365.78962259054697,0.28412108337758896
CMRignite_Digital,Unassigned,17656,19531,15250,1.1061961939284095,32.687732185772546,0.85659265971907572
CMRignite_Digital,Organic Video,13958,15788,11401,1.1311076085399054,33.161005268376563,0.84768591488751965
ecosia.org,Organic Search,4991,12080,3316,2.42035664195552,308.13576306892406,0.37146864355840514
govdelivery,Email,4557,9594,3138,2.1053324555628703,244.51685394360325,0.47904323019530393
google_jobs_apply,Organic Search,3178,8153,2418,2.5654499685336689,263.23831014159845,0.31434864694776588
cmrignite_digital,Display,7946,7934,7725,0.99848980619179462,2.2419935981625971,0.99119053611880192
google,Paid Search,5920,7312,5337,1.2351351351351352,65.295826890878374,0.68445945945945941
hs_email,Email,4008,6017,3326,1.50124750499002,132.98289689446108,0.6576846307385229
aol,Organic Search,1272,4302,917,3.3820754716981134,295.34618708411949,0.22641509433962265
youtube.com,Organic Video,425,3420,127,8.0470588235294116,573.22094442823527,0.29882352941176471
veterans_gov,Unassigned,1855,3389,1462,1.8269541778975742,159.48074171320755,0.38005390835579517
attorneyoscar.com,Referral,279,2485,138,8.9068100358422946,617.13544975627235,0.22939068100358423
