date,screen_resolution,visits
2023-12-31,810x1080,5260
2023-12-31,360x800,5230
2023-12-31,1366x768,4687
2023-12-31,800x600,4408
2023-12-31,360x780,4352
2023-12-31,1280x1024,4167
2023-12-31,768x1024,3197
2023-12-31,412x812,3182
2023-12-31,1280x720,3059
2023-12-31,385x854,2764
2023-12-31,412x892,2713
2023-12-31,384x824,2568
2023-12-31,384x857,2514
2023-12-31,820x1180,2481
2023-12-31,320x693,2449
2023-12-31,2560x1440,2340
2023-12-31,384x854,2038
2023-12-31,412x883,2007
2023-12-31,384x832,1898
2023-12-31,1220x1280,1835
2023-12-31,1024x1366,1788
2023-12-31,1280x800,1677
2023-12-31,412x869,1539
2023-12-31,834x1194,1539
2023-12-31,414x736,1486
2023-12-31,1680x1050,1446
2023-12-31,1600x900,1348
2023-12-31,320x712,1336
2023-12-31,432x960,1111
2023-12-31,320x568,1093
2023-12-31,360x760,1001
2023-12-30,1920x1080,37414
2023-12-30,390x844,31900
2023-12-30,800x600,16328
2023-12-30,428x926,16025
2023-12-30,414x896,13824
2023-12-30,430x932,13720
2023-12-30,375x812,10961
2023-12-30,393x852,10803
2023-12-30,1440x900,9577
2023-12-30,412x915,8138
2023-12-30,1536x864,7893
2023-12-30,360x800,5636
2023-12-30,375x667,5628
2023-12-30,1366x768,5558
2023-12-30,810x1080,4933
2023-12-30,360x780,4510
2023-12-30,1280x1024,4468
2023-12-30,1280x720,3620
2023-12-30,1680x1050,3173
2023-12-30,768x1024,3171
2023-12-30,412x892,2826
2023-12-30,385x854,2814
2023-12-30,384x824,2807
2023-12-30,2560x1440,2698
2023-12-30,384x857,2564
2023-12-30,320x693,2493
2023-12-30,820x1180,2450
2023-12-30,412x812,2413
2023-12-30,1600x900,2343
2023-12-30,384x854,2177
2023-12-30,412x883,2146
2023-12-30,1220x1280,1986
2023-12-30,384x832,1944
2023-12-30,1280x800,1822
2023-12-30,1024x1366,1691
2023-12-30,834x1194,1659
2023-12-30,412x869,1642
2023-12-30,414x736,1443
2023-12-30,320x712,1393
2023-12-30,432x960,1187
2023-12-30,320x568,1101
2023-12-30,360x760,1079
2023-12-29,1920x1080,69300
2023-12-29,390x844,34685
2023-12-29,428x926,18448
2023-12-29,414x896,16041
2023-12-29,430x932,15609
2023-12-29,1536x864,15112
2023-12-29,1440x900,12066
2023-12-29,393x852,11922
2023-12-29,375x812,11409
2023-12-29,412x915,8698
2023-12-29,1366x768,8184
2023-12-29,1280x720,8053
2023-12-29,375x667,6522
2023-12-29,1280x1024,6196
2023-12-29,360x800,5847
2023-12-29,810x1080,5428
2023-12-29,800x600,5391
2023-12-29,360x780,4800
2023-12-29,2560x1440,4754
2023-12-29,1680x1050,4614
2023-12-29,1600x900,4116
2023-12-29,768x1024,3301
2023-12-29,412x892,3053
2023-12-29,385x854,2969
2023-12-29,384x824,2959
2023-12-29,320x693,2898
2023-12-29,820x1180,2762
2023-12-29,1280x800,2612
2023-12-29,412x812,2607
2023-12-29,384x857,2591
2023-12-29,384x854,2424
2023-12-29,412x883,2281
2023-12-29,1920x1200,2242
2023-12-29,384x832,2139
2023-12-29,1220x1280,2037
2023-12-29,1024x1366,1848
2023-12-29,834x1194,1811
2023-12-29,412x869,1753
2023-12-29,414x736,1628
2023-12-29,320x712,1485
2023-12-29,1536x960,1279
2023-12-29,432x960,1247
2023-12-29,320x568,1235
2023-12-29,3440x1440,1200
2023-12-29,1280x960,1139
2023-12-29,360x760,1058
2023-12-29,360x740,1030
2023-12-29,1512x982,1004
2023-12-28,1920x1080,82487
2023-12-28,390x844,36100
2023-12-28,428x926,18600
2023-12-28,1536x864,17325
2023-12-28,430x932,16339
2023-12-28,414x896,15705
2023-12-28,1440x900,13023
2023-12-28,393x852,12424
2023-12-28,375x812,12272
2023-12-28,1280x720,9830
2023-12-28,1366x768,9135
2023-12-28,412x915,8745
2023-12-28,1280x1024,6593
2023-12-28,375x667,6280
2023-12-28,360x800,6137
2023-12-28,810x1080,5446
2023-12-28,2560x1440,5362
2023-12-28,360x780,5059
2023-12-28,1680x1050,5039
2023-12-28,1600x900,4755
2023-12-28,800x600,4498
2023-12-28,768x1024,3414
2023-12-28,412x892,3220
2023-12-28,384x824,3027
2023-12-28,385x854,2977
2023-12-28,320x693,2902
2023-12-28,1280x800,2889
2023-12-28,820x1180,2849
2023-12-28,1920x1200,2835
2023-12-28,384x857,2801
2023-12-28,384x854,2376
2023-12-28,1220x1280,2370
2023-12-28,412x883,2339
2023-12-28,384x832,2176
2023-12-28,412x812,2161
2023-12-28,1024x1366,1974
