date,visits
2024-01-04,394371
2024-01-03,416541
2024-01-02,402470
2024-01-01,272002
2023-12-31,253091
2023-12-30,300604
2023-12-29,387352
2023-12-28,417314
2023-12-27,429516
2023-12-26,382650
2023-12-25,241934
2023-12-24,229005
2023-12-23,272140
2023-12-22,390350
2023-12-21,455605
2023-12-20,435182
2023-12-19,463334
2023-12-18,437560
2023-12-17,254050
2023-12-16,260028
2023-12-15,377015
2023-12-14,435557
2023-12-13,450754
2023-12-12,405161
2023-12-11,405392
2023-12-10,205457
2023-12-09,219119
2023-12-08,355345
2023-12-07,388494
2023-12-06,405323
2023-12-05,440675
2023-12-04,411966
2023-12-03,211316
2023-12-02,217502
2023-12-01,341319
2023-11-30,403073
2023-11-29,401593
2023-11-28,431209
2023-11-27,422754
2023-11-26,211147
2023-11-25,206156
2023-11-24,231072
2023-11-23,180672
2023-11-22,295301
2023-11-21,382021
2023-11-20,408080
2023-11-19,212824
2023-11-18,231091
2023-11-17,354444
2023-11-16,379500
2023-11-15,404575
2023-11-14,408804
2023-11-13,403274
2023-11-12,199702
2023-11-11,213383
2023-11-10,305239
2023-11-09,384022
2023-11-08,402938
2023-11-07,420799
2023-11-06,404667
2023-11-05,212392
2023-11-04,223087
2023-11-03,368379
2023-11-02,423193
2023-11-01,383965
2023-10-31,373317
2023-10-30,407585
2023-10-29,204552
2023-10-28,220151
2023-10-27,355323
2023-10-26,404394
2023-10-25,394854
2023-10-24,404447
2023-10-23,387664
2023-10-22,197447
2023-10-21,207412
2023-10-20,339964
2023-10-19,369751
2023-10-18,392142
2023-10-17,386583
2023-10-16,405636
2023-10-15,197965
2023-10-14,243980
2023-10-13,355753
2023-10-12,398025
2023-10-11,419429
2023-10-10,379575
2023-10-09,357169
2023-10-08,195363
2023-10-07,212580
