date,language,visits
2023-12-30,Indonesian,56
2023-12-30,Danish,53
2023-12-30,Greek,53
2023-12-30,Hebrew,50
2023-12-30,Norwegian Bokmål,48
2023-12-30,Hungarian,45
2023-12-30,(other),43
2023-12-30,Thai,39
2023-12-30,Finnish,29
2023-12-30,Romanian,25
2023-12-30,Catalan,24
2023-12-30,Croatian,24
2023-12-30,Slovak,16
2023-12-30,Bulgarian,15
2023-12-30,Serbian,14
2023-12-30,Slovenian,12
2023-12-29,English,358666
2023-12-29,Spanish,18706
2023-12-29,Chinese,2201
2023-12-29,French,799
2023-12-29,Russian,681
2023-12-29,German,646
2023-12-29,Portuguese,598
2023-12-29,Korean,573
2023-12-29,Persian,392
2023-12-29,Japanese,387
2023-12-29,Turkish,301
2023-12-29,Polish,273
2023-12-29,Italian,265
2023-12-29,Dutch,182
2023-12-29,Arabic,173
2023-12-29,Danish,159
2023-12-29,Vietnamese,151
2023-12-29,Swedish,112
2023-12-29,Ukrainian,101
2023-12-29,Indonesian,74
2023-12-29,Norwegian Bokmål,73
2023-12-29,Czech,68
2023-12-29,Greek,57
2023-12-29,Thai,50
2023-12-29,Finnish,48
2023-12-29,(other),47
2023-12-29,Hungarian,44
2023-12-29,Hebrew,42
2023-12-29,Romanian,37
2023-12-29,Catalan,36
2023-12-29,Slovak,30
2023-12-29,Bulgarian,26
2023-12-29,Lithuanian,16
2023-12-29,Serbian,16
2023-12-29,Slovenian,15
2023-12-29,Croatian,13
2023-12-28,English,387964
2023-12-28,Spanish,18456
2023-12-28,Chinese,3492
2023-12-28,Korean,872
2023-12-28,Russian,847
2023-12-28,French,792
2023-12-28,Japanese,775
2023-12-28,Portuguese,719
2023-12-28,German,658
2023-12-28,Persian,348
2023-12-28,Turkish,315
2023-12-28,Italian,295
2023-12-28,Polish,261
2023-12-28,Arabic,257
2023-12-28,Dutch,184
2023-12-28,Vietnamese,178
2023-12-28,Norwegian Bokmål,136
2023-12-28,Swedish,121
2023-12-28,Ukrainian,102
2023-12-28,Indonesian,91
2023-12-28,Hebrew,77
2023-12-28,Danish,75
2023-12-28,Czech,74
2023-12-28,Thai,55
2023-12-28,Finnish,54
2023-12-28,(other),53
2023-12-28,Romanian,53
2023-12-28,Greek,50
2023-12-28,Hungarian,43
2023-12-28,Slovak,37
2023-12-28,Bulgarian,25
2023-12-28,Catalan,25
2023-12-28,Lithuanian,23
2023-12-28,Croatian,19
2023-12-28,Serbian,17
2023-12-28,Slovenian,14
2023-12-27,English,392436
2023-12-27,Spanish,21426
2023-12-27,Chinese,5173
2023-12-27,Japanese,964
2023-12-27,Korean,957
2023-12-27,French,837
2023-12-27,Russian,829
2023-12-27,Portuguese,740
2023-12-27,German,545
2023-12-27,Persian,410
2023-12-27,Turkish,341
2023-12-27,Arabic,282
2023-12-27,Polish,259
2023-12-27,Italian,245
2023-12-27,Vietnamese,212
2023-12-27,Dutch,155
2023-12-27,Ukrainian,123
2023-12-27,Indonesian,109
2023-12-27,Swedish,107
2023-12-27,Greek,93
2023-12-27,Thai,77
2023-12-27,Hebrew,73
2023-12-27,Czech,69
2023-12-27,Danish,67
2023-12-27,(other),60
2023-12-27,Finnish,50
2023-12-27,Norwegian Bokmål,50
2023-12-27,Romanian,47
2023-12-27,Hungarian,41
2023-12-27,Catalan,32
2023-12-27,Croatian,31
2023-12-27,Slovak,25
2023-12-27,Bulgarian,20
2023-12-27,Lithuanian,19
2023-12-27,Serbian,17
2023-12-27,Latvian,12
2023-12-27,Hindi,11
2023-12-26,English,353162
2023-12-26,Spanish,18889
2023-12-26,Chinese,3659
2023-12-26,Japanese,1159
2023-12-26,Korean,988
2023-12-26,Russian,824
2023-12-26,French,778
2023-12-26,Portuguese,639
2023-12-26,German,446
2023-12-26,Turkish,393
2023-12-26,Persian,386
2023-12-26,Arabic,276
