date,hour,visits
2023-12-12,12,3470585
2023-12-12,11,3444259
2023-12-12,13,3412945
2023-12-12,14,3360051
2023-12-12,10,3327643
2023-12-12,15,3294832
2023-12-12,16,3107583
2023-12-12,9,3068324
2023-12-12,17,2714144
2023-12-12,8,2447993
2023-12-13,12,2443845
2023-12-12,18,2416182
2023-12-12,19,2329797
2023-12-13,11,2212293
2023-12-12,20,2154152
2023-12-12,21,2059613
2023-12-13,10,2045278
2023-12-13,9,1842842
2023-12-12,22,1832157
2023-12-13,8,1800334
2023-12-12,7,1736942
2023-12-12,23,1459152
2023-12-13,7,1382985
2023-12-12,0,1255203
2023-12-13,0,1176600
2023-12-12,6,1095127
2023-12-13,6,987452
2023-12-12,1,963161
2023-12-13,1,891047
2023-12-13,5,779033
2023-12-12,2,768766
2023-12-12,5,760832
2023-12-13,2,718376
2023-12-12,3,683929
2023-12-12,4,665748
2023-12-13,3,662707
2023-12-13,4,657886
2023-12-13,13,545673
