source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
(other),(other),1199205309,2612222541,612610711,2.1782946768125089,216.057687825929,0.46589077934110446
(direct),Direct,82818466,306857167,72648021,3.7051781060518558,250.8893470329003,0.62903816643983723
google,Organic Search,9568091,79272398,7018119,8.2850798555323113,816.23331683561742,0.032834762963688369
(not set),Unassigned,944729,37557379,854144,39.754658743406843,4399.6759113898715,0.99610470304182475
bing,Organic Search,830271,6422973,637243,7.7359958375036584,720.16821865233283,0.023059940669974022
google,Paid Search,751335,2873344,587931,3.8243180472093008,449.78663196884349,0.047148076423965339
yahoo,Organic Search,165160,1463603,126543,8.8617280213126666,804.66489581269673,0.0019617340760474692
govdelivery,Email,480961,852319,479832,1.7721166581074141,49.82240944609854,0.61437205927299721
other,Email,134859,707472,76560,5.2460125019464776,677.07585394022647,0.06428195374428107
adcouncil.org,Display,68356,680772,13242,9.9592135291708122,2468.7979855125518,0.055913160512610451
duckduckgo,Organic Search,83172,539678,62722,6.4886981195594675,664.10103017710287,0.0024888183523301111
outfordelivery,Email,64735,366207,44818,5.6570170695914115,888.52660837006249,0.1507067274272032
expected,Email,66821,334217,43838,5.0016761197827027,552.61771812768438,0.1416919830592179
baidu,Organic Search,20376,186609,13954,9.158274440518257,575.225588031115,0.025716529250098156
(unlinked SA360 account),Unassigned,30822,167903,24558,5.4475050288754785,536.73992245993122,0.0025955486340925311
feature,Email,38789,128150,36406,3.3037716878496481,173.94582893508468,0.35517801438552166
bing,Paid Search,34195,126165,32721,3.6895744991957891,370.25981354075157,0.080625822488667939
delivered,Email,21243,112779,15183,5.3089959045332584,509.645594663748,0.037612389963752768
googlediscovery,Organic Social,94592,95469,93930,1.009271397158322,11.70268844764885,0.97313726319350469
google-my-business-url,Unassigned,11410,86794,7104,7.6068361086766,1443.9263168853636,0.0013146362839614374
